fra,baw,eng
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Anwɔ̀ɔ yə ghò teʼe mɨ̀ zaà a nɔ àghɔɔ yə adzwì abè bə̀ tɔg̀ɔ̀ ni CORONAVIRUS kə̀ ni COVID-19,What you need to know about the CORONAVIRUS or COVID-19
,,
,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroun"
,,
                                                  SOMMAIRE,                      MƗ̀ TSÈTÌ MƗ̀NWƆƆ ,                    SUMMARY
- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles,- Àghɔɔ wu (coronavirus) - Bə̀bəə kaʼa àghɔɔ wù azàŋsi ngàga a wə̀ - Bɨ̀ məndum mɨ zà ngə̀ àghɔ wù dzwi a nò ŋwè - Loʼowə̀ bu àghɔɔ wù a lèm - Ìloʼo mɨ̀ tòʼònì ni ìno yò - Ànwɔɔ yə̀ fu ghò gè tə̀fu àghɔɔ wù a gàgà ghò ,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
p.2 p.3 p.4 p.5 p.6 p.7 p.8,p.2  p.3  p.4  p.5 p.6  p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.","Àghɔɔ wu (coronavirus)  Àghɔɔ wu (COVID-19) tə bɨ bè ntɔgə̀ ni COVID-19, là àghɔɔ fi. A mbəə la no ŋwɨ̀ clìsì (31 december, 2019) a làʼà China tə̀ bɨ̀ nchyəmbì i shɨgə̀ a nɔ  àghɔɔ wù. A dzà là no ŋwɨ̀, kə̀ nò àkwe tə̀ngtì kàʼa a jwìlə̀ ŋwè. Àghɔɔ wù zaalì a nò ìtùm ghàʼannì a mbì wè. Bɨ bì tìni zà ngə̀ àghɔɔ wù a lwoo là ìfə̀ lə̀.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
Personne âgée,Bɨ̀təŋkaŋ bə̀,Elderly person
Personne cardiaque ou souffrant de maladie,Ŋwè wə tə aghɔɔnə nʼaghɔɔ ntim,Person with a heart condition or disease
"Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.","Bə̀bəə̀ kàꞋa àghɔɔ wù zàŋsì ngàgà a wə̀  Bwò àghɔɔ fì ze a gàgà a ŋwè ntsàm. Ìlwè bə̀, nì bə̀bəə̀ tə̀ bɨ̀ ghɔ̀nə̀ nʼàkwe ndzòʼò, àlèbə̀ ghàʼa, diatetes, nʼàghɔɔ ntìm. Yə̀ bə̀bəə̀ tə̀ fù àghɔɔ zè lòtì fɨ̀ ǹgə̀ʼə a mbuu bù naa tìkaŋ.","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
- Fièvre - Fatigue,-nò ŋimni no -nikɔɔ,Fever Fatigue
- Toux sèche - Douleurs musculaires,-àkwe zhubɨ̀li -zàŋnì no,Dry cough Muscle aches and pains
"Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.","Bɨ̀ mə̀ndùm mɨ̀ zà ngə àghɔɔ wù dzwì à nò ŋwè  Àghɔɔ fì zè tə̀ dzà lè a dzwe laa nò ŋimni no, àkwe zhubɨ̀li, ìzàŋnì no, ni nìkɔɔ. Ngang ghɔɔ wù chɨ̀gɨ tèʼe zàŋnì no, ŋwɨ̀ ntɨɨ, ìshwìʼìnì mɨ̀lwi nì kìm ntòŋ kə̀ luʼusi. Bəə chɨ̀gɨ̀ bɨ beʼe àghɔɔ zè, i mbɔ̀ɔnì tingə̀ buu kwè mɨ̀fù.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
Personne qui tousse,Ŋwè wə teʼe akwe,Person with a cough
"Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.","LoꞋowə̀ bù àghɔɔ wu à lèm  Àghɔɔ fì zè kaʼa lèmsì tì bə̀bəə bɨ̀ tèʼe àghɔɔ wù. Bwò ŋwè wə̀ teʼe àghɔɔ wù a kwè kə̀ njinni, boo bɨ djum bə̀chɨ̀gɨ bɨ feekɨ a ntsoo yì kə̀ a mɨ̀lwɨ yi te bù ŋwè Kwè ajwè wù kaʼa a beè ǹkwe àghɔɔ zè. Kə̀ te fù boo bɨ djum bè bɨ fè kəə noo àkə̀, ŋwè dza ǹkùm nì mbwɔ mi, mbɨʼɨ nkum imii mi, nìlwi yi kə̀ ntsoo yi, à bèʼè àghɔɔ wù.","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
Comment se protéger ?,IloꞋo mɨ̀ toꞋònì ni ìnò yò,How to protect yourself
"1. Eviter de se toucher les yeux, le nez, la bouche.","1. Toʼònə̀ mɨ̀ kə̀ ǹkum imii moo, nìlwi yo ni ntsoo gho.","1. Avoid touching eyes, nose, mouth."
2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.,"2. Suu mbwɔ moo àmbò tsàm ni nìki, ni ntsa ŋwaʼa wə bɨ nɨŋtə̀, i ti zi nʼa tsəʼə ŋwaʼa.",2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
