lts,wew,eng,ind
Olumbe lwa Korona,Karodukka Korona,About Coronavirus,Tentang Virus Corona
,,,
,,,
,Kata pa ate ngge ne karodukka Korona a dala mbolo tana ,,
,Nganda dana ,,
,Korru dana ,,
,Mata dana,,
,Na tama we ,,
,Ata a ella na ,,
,Ata a karodukka ,,
,Ne Korona patekki na lede ngge ngawuta/we’e pani’i,,
,Marro ni. Engnga manno mi wali mapesikka na we’e pani’i na roppa marrona ,,
,1,,
,"2m-0,5m",,
,Diora!!!,,
,"Bai eta ko ata a tengge, a karorroka korru na, a ngangnga:",,
,"Ka tengge waYandi pakaboro wai nganda (kamba). Ka tengge wa’i mono kadiora wa’i kamba dana, ka ndana dikki ka mbarra ata eka. ",,
,2,,
,Malangi na ,,
,BAKA ,,
,"Ndana karodukka ki, taka na dadara wekki douna. ",,
,Na ata a karodukka dapa eta ki tanda-tanda na. takka enga dikki na we ne karodukka na. ,,
,Marro ge pakuwa na ata mangeda. Ndai pandeki ba garra ni a karodukka. ,,
,Panga’a wai ,,
,Oto deta ,,
,Knop lift ,,
,Kamba ,,
,Koba deta ,,
,Hp baka laptop ,,
,Ne mbali na kamba pa kaboro wai ngada ,,
,Nauta deta ,,
,maus ,,
,Kalaki tulis deta ,,
,Kalaki binna deta ,,
,Limma deta na ,,
,Ne we’e pani’i ata karodukka na kadakka wa’i ngge : ,,
,na ma pande we bai karodukka kua wu mi.,,
,todo we wekki na ata pamanawarra mi ,,
,kose wi mata ,,
,"Ba ndai wunnu du bai tondo wi hidda pa tekki nena, monno torro dou ngge tou mi, ",,
,"Nyawe ka enga ngge bai pacete ngge bai pario waidi sabo, wai na we’e a kokora. ",,
,"Ne korona, na dukki ia gedde ia loddo bana ndangngi we ne’e pa kadakka wa’i na. ",,
,Sabo,,
,Na louka padua powe bai gobba mema ngge toma ndana dukki po we ne karroduka. ,,
,Pario wi limma waina sabo dukki barra kasi’u,,
,Kasi’u ,,
,"Ndau tondo ka ne mata mu (monno mata ata eka). Ka hinna we ba lummu ko, pario wai belli ndi sabo limmamu. ",,
,Kambu ku’u ,,
,Nda na mado’i madangngi ki we ,,
,Kadanga limma ,,
,Pario wi bendo limma ,,
,Peina pata pario limma a zingira? ,,
,"Ba na zoputa ko we ba torro ngge, letto pario wi limma wai na sabo. ",,
,Nda tondo ka we mbali wa’i na we kamboro ngada. ,,
,We’e pani’i ,,
,Ne karodduka na tollu wa’i ngge kamboro ngada dana bana mado’i kowe ba waingge. ,,
, Leto ngge kamboro nganda ba ndana zingira ba do we. Dai waika ngge kamboro nganda dukki a duada loddo na (Wai ngge kamboro nganda ia loddo ki do na we)! ,,
,Wai na tako tondo,,
,Lakawa,,
,Pa ama ,,
,Pa inna ,,
,Wai dou na kamba opi ,,
,"Nda paddo ka na panga’a, panga’a wai monno kamba opi. ",,
,"Dana ma pande ki we bau todo we mata mu, bou waini kasi’u dou mu. Nungnga amo. ",,
,"Pata (4). Wukke mono todi binna wai na kasi’u maka ba lako ko, bana ma pande do we. ",,
,UMMA,,
,Lengnga pa wali nggyounga ,,
,Toma inda nga’a po ,,
,Pario wai paduu ndi limma mu waina sabo…. ,,
,Kadukka na ,,
,Ndangga we tou mu! ,,
,Ndangga we tou mu!,,
,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
,"Kana lua kyangge pa pande da tutuna ne karodukka, wa’i ndi pa tanda buku dana:",,
,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
,,Diterjemahkan dalam Bahasa Wejewa oleh Barnabas Bili Ole dan Herlina Dedo ,
,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org",
,,"Created by Weiman Kow, instagram: weimankow",
Olumbe lwa Korona                                                                                      Olumbe lwa Korona        ,"Karodukka Korona    Kata pa ate ngge ne karodukka Korona a dala mbolo tana   Nganda dana  Korru dana  Mata dana Na tama we  Ata a ella na  Ata a karodukka  Ne Korona patekki na lede ngge ngawuta/we’e pani’i Marro ni. Engnga manno mi wali mapesikka na we’e pani’i na roppa marrona  1 2m-0,5m Diora!!! Bai eta ko ata a tengge, a karorroka korru na, a ngangnga: Ka tengge waYandi pakaboro wai nganda (kamba). Ka tengge wa’i mono kadiora wa’i kamba dana, ka ndana dikki ka mbarra ata eka.  2 Malangi na  BAKA  Ndana karodukka ki, taka na dadara wekki douna.  Na ata a karodukka dapa eta ki tanda-tanda na. takka enga dikki na we ne karodukka na.  Marro ge pakuwa na ata mangeda. Ndai pandeki ba garra ni a karodukka.  Panga’a wai  Ata a ella na  Oto deta  Knop lift  Kamba  Koba deta  Hp baka laptop  Ne mbali na kamba pa kaboro wai ngada  Nauta deta  maus  Kalaki tulis deta  Kalaki binna deta  Limma deta na  Ne we’e pani’i ata karodukka na kadakka wa’i ngge :  na ma pande we bai karodukka kua wu mi. todo we wekki na ata pamanawarra mi  kose wi mata  Ba ndai wunnu du bai tondo wi hidda pa tekki nena, monno torro dou ngge tou mi,  Nyawe ka enga ngge bai pacete ngge bai pario waidi sabo, wai na we’e a kokora.  Ne korona, na dukki ia gedde ia loddo bana ndangngi we ne’e pa kadakka wa’i na.  Sabo  Na louka padua powe bai gobba mema ngge toma ndana dukki po we ne karroduka.  Pario wi limma waina sabo dukki barra kasi’u Sabo Kasi’u  Ndau tondo ka ne mata mu (monno mata ata eka). Ka hinna we ba lummu ko, pario wai belli ndi sabo limmamu.   Kambu ku’u  Nda na mado’i madangngi ki we  Kadanga limma  Pario wi bendo limma  Peina pata pario limma a zingira?  Ba na zoputa ko we ba torro ngge, letto pario wi limma wai na sabo.  Nda tondo ka we mbali wa’i na we kamboro ngada.  We’e pani’i  Ne karodduka na tollu wa’i ngge kamboro ngada dana bana mado’i kowe ba waingge.   Leto ngge kamboro nganda ba ndana zingira ba do we. Dai waika ngge kamboro nganda dukki a duada loddo na (Wai ngge kamboro nganda ia loddo ki do na we)!  Wai na tako tondo Lakawa Pa ama  Pa inna  Wai dou na kamba opi  Nda paddo ka na panga’a, panga’a wai monno kamba opi.  Dana ma pande ki we bau todo we mata mu, bou waini kasi’u dou mu. Nungnga amo.  Pata (4). Wukke mono todi binna wai na kasi’u maka ba lako ko, bana ma pande do we.  UMMA Lengnga pa wali nggyounga  Toma inda nga’a po  Pario wai paduu ndi limma mu waina sabo….  Kadukka na  Sabo Ndangga we tou mu!  Ndangga we tou mu! Sabo  ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020) ""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020) Kana lua kyangge pa pande da tutuna ne karodukka, wa’i ndi pa tanda buku dana: Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com Karodukka Korona        ","About Coronavirus                                                                                      About Coronavirus  Diterjemahkan dalam Bahasa Wejewa oleh Barnabas Bili Ole dan Herlina Dedo  Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org Created by Weiman Kow, instagram: weimankow    ",Tentang Virus Corona                                                                                      Tentang Virus Corona        
