spa,dig,eng
Sobre el Coronavirus,Dzula ya virusi vya korona,About Coronavirus
,,
,Kuna chitu chimwenga ufwaacho kumanya dzulu ya virusi vya korona.,There's only ONE thing ﻿you need to understand about how a coronavirus
,CHINA ENEA,SPREADS
,Mromoni,Mouth
,Pulani,Nose
,Matsoni,Eyes
,vichikuinjira,Get into your
,Mutu asiye na virusi vya korona.,Healthy Person
,Mutu mwenye virusi vya korona,Sick Person
,Virusi nkuenea napho vidzitoni vya mahe.,The virus spreads when ﻿these droplets
,Dzivwehe kanda.Kala mita 2 kure kpwa usifikirwe na vidzitoni.,Keep your distance.﻿2m will keep you safe from large droplets.
,1,1
,Mita 2,2m
,Achuuu!,Achoo!
,"Uchiona mutu  anakolola/anapiga myasa, unaweza kutsambula ku:",So if you see someone who is visibly coughing/sneezing/sick you can choose to:
,Mphe maski kpwa achikolola ama achipiga myasa asiambukize ayae.,Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby.
,2,2
,santa,Thank you﻿*sniffles*
,ama,"OR,"
,Pengine siye mkpwongo anadzirinda tu,"Maybe she's not sick, just protecting herself"
,Atu anjina ni akongo na taonyesa dalili za korona ele anaweza kuambukiza.,"People who are infected can show no symptoms, but are still﻿infectious"
,Usikale phatu phenye atu anji kpwa kumanya niani ariye mkpwongo.,"And in general, it's a good idea to avoid crowds, because you don't know who might be sick."
,vidziko,Chopsticks
,Mutu asiye na virusi.,Healthy person
,Vyuma vya kugbwira garini,Train straps
,Viunde vya kubofya kpwenye lifti.V,Lift buttons
,Karatasi,Tissues
,vikombe,Cups
,Vifwaya vya chidijitali,Digital devices
,Uphande wa kondze wa maskiyo.,& even on the outside of your face mask
,Vyuma vya kugbwira  napho unapanda ngazi za gorofa.,Stair bannisters
,Chiunde cha kompyuta chakuolohera.,Mouse
,kalamu,Pens
,Vitasa vya miryango,Door knobs
,Mikono,Their hands
,Marazanjina mahe ga mutu mkpwongo nkuguta kpwatu kpwanjina…,"However, sometimes a sick person's saliva can get on other things…"
,unaweza kukala akongo.,you might all fall sick.
,Ama uso wa mutu umendzaye,or your loved one's face
,Ufwikitse matso,rub eyes
,"Uchiguta vitu hivyo bila kumanya alafu ugute uso,","And if you do touch any of these things by accident, and then touch your face,"
