eng,xmg,fra
What you need to know about the CORONAVIRUS or COVID-19,MENO PƐ́ A ZƆŊƆ NGÂ PUŊ ZƐ́ NDÚŊÚ KORONAVIRɄSƏ YƐ́ PÉ KE MBÓ FÚ NÉ KOVÍD-19 NƐ́,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
,,
,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
,,
                    SUMMARY,                       Tó meno péré,                                                  SOMMAIRE
- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,"- Koronavirʉsə - Pɔŋ pɛ́ tɛ̂mbɛ ghɔŋ yéré bgáá wɔ́b nɛ́ - Kiŋi ghɔŋ yéré - Mbziʼe njʉ́ a záʼá gbaa ŋɔŋ nɛ́ - Tɛ̂mbɛ pé ywóʼó níŋ? - Nkhoʼyɛ́ a kɛ gbaa ŋɔŋ nɛ́, pe zhyɛ́ɛ́ níŋ? - Nkéʼne pɛ ndii tsəhó ntʉ̌ŋme pɛ ndzó ŋweʼe yɔŋ nɛ́ ",- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3 p.4 p.5 p.6 p.8 p.9 ,p.2 p.3 p.4 p.5 p.6 p.7 p.8
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Koronavirʉsə  Koronavirʉsə, yɛ́ pé ke mbó fú né KOVÍD-19 nɛ́, taʼ virʉsə fé. Pé kɛ zhʉ́ wé ne sɔ́ kɛɛ mbəb ŋɔŋ pe ndzó ngɔŋ Shînə ne hyémvé 31 ndúŋú ménab Krisemɛ́d ne ngǒʼmvé 2019. Nkiŋi pé fwɛ́ ye mépɔd. Nkhoʼyɛ́ a shʉyɛ́ mbəb ŋɔŋ nɛ́ tɛ̂mbɛ a nɔ́ʼ wé. A gbáʼá ndzó pɛ ngɔŋ zááme ndzó kɔŋɔ mbǎʼmvé náá. Pé kɛ zɛ́ ywoʼ yɛ́ ghɔŋ yéré twɔ́ nɛ́ pó.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
