fra,bwt,eng
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Yə̌ ɛ́yə́ sí lɔ́líní ɛ bî  tɛ́ngɛnɛ KORÓNAVAYRUSƏ tɔ̂ COVID-19,What you need to know about the CORONAVIRUS or COVID-19
,,
,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
,           MATƆTI MÁ MBYÁ,                    SUMMARY
,- Korónvayrɔsə - Baʼ ábə́ nyambɛ̌ a tingání ɛ wáli - Biyəmblan  - Likutan lí kɛ́n ɛ koróna - Yə̌ ɛ́yə́ sí lɔ́líní ɛ bwə nána nyambɛ̂ a nínán a si kután sə́ - Yə̌ sí tíngání ɛ bwə njí nyambɛ̂ anín a kutání sə́? ,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
,p.2 p.3 p.4 p.5  p.6   p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
,"Korónavarusə tɔ̂ COVID-19, ɛ́ dí kɛ́n ɛ kɔ́nə́. Ɛtî ɛ́ wusuwə ɛ́yə́ ndúm ɛ nyítíní tɛ́ngɛnɛ nyambɛ̂ anín ɛ́ bílí á ɛkumbu ɛ́ Chǐna, á madû 31 má December, 2019. Nyambɛ̂ anín a wɔ́ŋí biyəmblan ngə bí ŋgɔ́nkɛlɛ, a tingání pə́ mɔ ɛ bulu njí a dí mɔ á nyǔ bwám bwam. A mə́ ɛ kután baʼ á bikumbu jǐta á nkí n shiyə̌. Mɔ ká fɔ́ a bíyǎ á fə́ nyambɛ̂ anin a fíní.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
,Batína,Elderly person
