lts,khc,eng,ind
Olumbe lwa Korona,Te Kabara u Virusu Corona,About Coronavirus,Tentang Virus Corona
,,,
,,,
,Buntu sa asa ako waralu kodhumahani wana umpa na virusu corona o linda kua mia hele,,
,Ngusu ,,
,Ngo'o ,,
,Mata ,,
,Maso kua laro ,,
,Mia nami leama ,,
,Mia moho ,,
,Te virusu o dhari o linda ara ane kene ilu,,
,"Bhara i hetangku, Ikoo ako ki umama mina i winsa u uwe u ilu ara kijumaga helaiasi ano lai dhua metere ",,
,1,,
,"2m-0,5m",,
,Haaachi!! ,,
,"Dhari ara i ita temia more, umatiho, moho, te i komiu dhumari kipumili ako; ",,
,"Hu""uke te maskere. Ako dhari o atiho/more i laro u maskereno, bhara ako o lindati te mia. ",,
,2,,
,Tarima kasih *SROOOT* ,,
,Atawa ,,
,"Umura te mia meana'e mbeaka nomohoo, buntumo o opa'ama te orunguno. ",,
,"Te mia i rahomo umohoo umura mbeaka otoita na tanda tandano, toka ojari uka na lumindatiko te mohoono. ",,
,"Sabanaranomo, helaisi'e na rame toumpa mbeaka u dhahani'e te emai na mia mohoo. ",,
,I ala alati u manga'a,,
,I konta'a u kereta ,,
,I tindisi'a u lift,,
,I tisu ,,
,I tonde ,,
,I ala alati u digital mai ,,
,Umura uma i liku u maskere atawa i bhanto u ngusu kene ngo'o ,,
,I uranga u parangkai'a i au soha ,,
,Tetikus ,,
,I pena ,,
,I konta'a u soha ,,
,I Limano ,,
,Mou wana umpa te ilu mia moho ojari na rumapi i ,,
,sabha'angkomiu odhari ki moho.,,
,"Atawa te rou umia i lepe miu atawa te hesulu miu, wana kua te ana miu, ",,
,Kilumole te mata ,,
,"Ara te ikomiu mbeaka ki mepu mepu kidhumingku te bara bara i ngaa i bhaiya ha atu, maka amo kidhumingku te rou miu, ",,
,"Sa'asa asano ako dhunari umambe te virusu meana'e ai sa buntumo kiwumuwu'i na lima miu kene ki pumake te sabo, atawa te Pemutih, atawa te al kohol.",,
,Te virusu meana'e ai o dhari na umidho i wawo u bara bara awana: ,,
,Sabo,,
,"te mingku bhara ako raho kita, umane dhi gau ako u parenta, mea na'e.",,
,"Dhari bhara ako i moho, hengantulu ",,
,Wu ike te sabo apa ana ,,
,Siku lima ,,
,"Bhara i dhingku dhingku na rou miu atawa te roumo u emai emai. Ara kua tabedha ki kumontane na rou atu, wuwuike na lima miu lagi lagi te sabo. ",,
,Awana kilumagu ako te lagu Selamat Ulang tahun dhua Wali ,,
,I woru uka ukuku lima miu ,,
,Salengo 20 detiki ,,
,I antara uka u wunga u lima miu ,,
,Wuwuike na liku lima miu ,,
,Wana umpa na cara hewanu'a atawa wuwuika nulima kumobhe?,,
,"Buntu kua ara i sala dhingkune bhara uka i harai sambira, hagori wuwu ike na lima miu te sabo. ",,
,Bhara i dhingku dhingku te luara u maskere miu. ,,
,Te wiwinsa u ilu ,,
,Te bakteri o dhari na umidho i laro u maskere ara ki pumake'e harai molengo. ,,
,Kabhiemo na maskere miu ara i namisie kua o rakisomo. Bhara i pake te maskere o labhi mina sa'oloo! ,,
,Pake te sidhu ro'okau ,,
,Anabhou ,,
,Ama,,
,Ina,,
,Pake te handu miu samia nsamia ,,
,"Bhara i pake koruo te i manga, te bara bara wana i pake i manga'a wana te piri, te tonde, kene uka wana handu. ",,
,"Toumpa mbeaka ako na dhmari kodhuningku te rou'u kene kopumake te siku'u, soba'e gara ara mbeaka u piri saea hehehe. ",,
,"Ara ane nodhari, leka'e atawa sopone na sona pake te siku atawa te bhahu miu. ",,
,Wunua,,
,Ara i waliako mina dhi halia'a i luara u wunua ,,
,Mina mbeadho i manga ,,
,Pande wuwuike na lima miu te sabo ,,
,"Ahirino, ",,
,Dhagane na kesehatan niu bhara i moho mohoo! ,,
,Basa te cara cara heleno mai i buria umane i buria i wawo ,,
,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
,Te tampa basaa lumeama ako te nguru u kesehatan ,,
,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
,,Diterjemahkan dalam Bahasa Tukang Besi Utara oleh Sumiman Udu ,
,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org",
,,"Created by Weiman Kow, instagram: weimankow",
