eng,bhs,fra
What you need to know about the CORONAVIRUS or COVID-19,"Səkan maa kadak, hune san ka ata dawar maa əy kayaɓa KAWRAWNAVƏYRUS askwaw ca, KAWVƏYD-19",
,,
,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
,,
                    SUMMARY,             MA MA Ŋ ƊEREWEL ŊGHE ,                                                  SOMMAIRE
- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,"- Kawrawnavəyrus - Hejəye maa dawar anta kula ŋ mɓəlata ege - Səkan ege ma kaghwalza dawar anta - Lazav dawar Kawrawnavəyrus - Ŋ həbar kusam ata dawar anta ca, vaŋgay?  - Mada dawar anta kaḿ balahaw aza ca, hwa nala vaŋgay? - Laghwal ma ma ɓarɓar ege ",- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2  p.3 p.4 p.5   p.6  p.8 p.9 ,p.2 p.3 p.4 p.5 p.6 p.7 p.8
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Dawar maa əy kayaɓa Kawrawnavəyrus wese ca, əy kayaɓa zeney a Kawvəyd-19, ara sekan mewe ma kaval dawar. A mar ŋ ghwalha mampar anta ca, ŋ hayak Səyn ata wan 31 mala ŋtəra matakam mala va 2019. Sekan ege ma kaghwalza dawar anta mada kaḿ bal ɗala aza ca, əy nja ana mala dawar damara. Cemey, dawar anta, mada kaḿ bal ɗala aza mambaza ca, a kajahəjə. Dawar anta keŋ́ tez anta ŋ hayak ege vəram ŋ manhayak tewtew. Hejəye əy kasan dawar anta a daha ta ŋ akatay kwagwa səkwaw.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
Elderly person,Ɗala maa va anta aka,Personne âgée
Person with a heart condition or disease,"Ɗala maa dawar unaf a heɗe askaw ca, ɗala maa dawar a kesene gef",Personne cardiaque ou souffrant de maladie
