lts,eng,llg,ind
Olumbe lwa Korona,About Coronavirus,Na'de Virus Korona ,Tentang Virus Corona
,,,
,,,
,,Hambu kada dalak esa ka fo ei malelak tao leo be de virus korona ana la’e hataholi-la. ,
,,bafak ,
,,iduk ,
,,mata ,
,,Neni dalek neu nesik ,
,,Hataholi neulauk ,
,,Hataholi kamahedik ,
,,Virus ana la’e hataholi mete ma mbinu-ambe mana lambuk ia ,
,,Makadodook. Mete ma O makadodook meter 2 na mbinu-ambe ta lambu la’e O. ,
,,1,
,,"2m-0,5m",
,,Haaaci ! ,
,,De mete ma O mita hataholi esa ana bo’o/kisufani/namahedi na: ,
,,"Fe sala lalapa idu-bafak. De ala kisufani/bo’o nai lalapak dalek, fo suek ndia boso ana dai hataholi manai ba’ianak sila. ",
,,2,
,,Makasi no’uk *SROOT*,
,,DO,
,,Meda hataholi ia ta kamahedik. Kada ana nanea ao-inan. ,
,,"Hataholi fo mana hambu virus ia meda ta ana natudu hedis esa boe, tehu ana bisa neni virus fe hataholi fe’ek. ",
,,"Malole lenak makadodook neme hataholi mana makabubuak ala mai, te O ta bubuluk se ndia kamahedik. ",
,,Suluk ,
,,Kereta/oto toto’un ,
,,Lift nene’en ,
,,Tisu ,
,,Nggalaas ,
,,Bua elektronik ,
,,Boema lalapak dean,
,,Edak toto’un ,
,,komputer mous ,
,,Bolpoin ,
,,Lelesu toto’un ,
,,Sila liman ,
,,Hataholi kamahedik mbinu-amben bisa ana la’e… ,
,,Ei basanggei bisa mamahedi. ,
,,Do hataholi fo O suek ala mata-mbanan ,
,,Kokose matak ,
,,"Mete ma O kame la’e hata sila, boema O kamen neu O mata mbanan ala, ",
,,"mae tao heni virus ia na dalan kada esa ka, ndia safe henin nenik sabu, pemutih do alkohol.",
,,"Ei basanggei bisa mamahedi,",
,,Sabu,
,,"Hu ndia, de malole lenak tao tungga dalak fo nakadodook hedis ia. ",
,,Mafui oe munik sabu losa ia. ,
,,Lima bu’uk ,
,,Boso kame la’e O mata-mbanan (do hataholi fe’ek mata-mbanan). Mete ma leo ndiak na safe malalao ei limam makahuluk menik sabu.,
,,Samak leo soda sosodak “selamat ulang tahun” la’e dua. ,
,,lima fanggak ala ,
,,Losa detik 20,
,,lima ku’uk tadan ala ,
,,Safe lima deak ,
,,Nafui oe losa lalaok na tao leo bek? ,
,,Mete ma kame la’en na boso bi. Lai-lai fo mafui oe munik sabu.,
,,Boso kame la’e lalapak dean. ,
,,Ambe ana mbilu ,
,,"Mete ma lalapak nanapakek don seli, na bakteri la bisa lasoda lai lalapak dalen. ",
,,Mete ma O lalapa idu-bafan manggenggeok na nggali henin. Boso pake lalapak lena heni faik esa. ,
,,Pake sulu aidoo,
,,Kakanak,
,,Amak,
,,Ina,
,,Esa ko handun ,
,,"Boso pake makabubua nana’ak, pingga-suluk, nggalaas, ma handuk. ",
,,"O ta bisa la’e O matam ma lima bu’um pake lima bu’uk, hena O soba sudik.",
,,Malole lenak soi do kena lelesu pake lima bu’uk do aluk.  ,
,,UMA,
,,fali neme dea mai ,
,,Deifo mu’a-minu ,
,,Masanenedak fo mafui oe makahuluk munik sabu…. ,
,,"Hu ndia de, ",
,,Manea O ao-inam! ,
,,Les basa natutuduk fo manai susulak sila!,
,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",
,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",
,,Susula natutudu hedi-laus: ,
,,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja. Saat membagikan komik ini, ingat 3 hal berikut: ﻿1) Dilarang mengedit gambar komik yang akan dibagikan. ﻿2) Komik ini tidak dapat diperjualbelikan. ﻿3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",
,,,Diterjemahkan dalam Bahasa Lole oleh Jermy Balukh
,,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi bahasa daerah : www.suluh.org"
,,,"Created by Weiman Kow, instagram: weimankow"
Olumbe lwa Korona                                                                                      Olumbe lwa Korona        ,About Coronavirus                                                                                      About Coronavirus        ,"Na'de Virus Korona     Hambu kada dalak esa ka fo ei malelak tao leo be de virus korona ana la’e hataholi-la.   bafak  iduk  mata  Neni dalek neu nesik  Hataholi neulauk  Hataholi kamahedik  Virus ana la’e hataholi mete ma mbinu-ambe mana lambuk ia  Makadodook. Mete ma O makadodook meter 2 na mbinu-ambe ta lambu la’e O.  1 2m-0,5m Haaaci !  De mete ma O mita hataholi esa ana bo’o/kisufani/namahedi na:  Fe sala lalapa idu-bafak. De ala kisufani/bo’o nai lalapak dalek, fo suek ndia boso ana dai hataholi manai ba’ianak sila.  2 Makasi no’uk *SROOT* DO Meda hataholi ia ta kamahedik. Kada ana nanea ao-inan.  Hataholi fo mana hambu virus ia meda ta ana natudu hedis esa boe, tehu ana bisa neni virus fe hataholi fe’ek.  Malole lenak makadodook neme hataholi mana makabubuak ala mai, te O ta bubuluk se ndia kamahedik.  Suluk  Hataholi neulauk  Kereta/oto toto’un  Lift nene’en  Tisu  Nggalaas  Bua elektronik  Boema lalapak dean Edak toto’un  komputer mous  Bolpoin  Lelesu toto’un  Sila liman  Hataholi kamahedik mbinu-amben bisa ana la’e…  Ei basanggei bisa mamahedi.  Do hataholi fo O suek ala mata-mbanan  Kokose matak  Mete ma O kame la’e hata sila, boema O kamen neu O mata mbanan ala,  mae tao heni virus ia na dalan kada esa ka, ndia safe henin nenik sabu, pemutih do alkohol. Ei basanggei bisa mamahedi, Sabu  Hu ndia, de malole lenak tao tungga dalak fo nakadodook hedis ia.  Mafui oe munik sabu losa ia.  Sabu Lima bu’uk  Boso kame la’e O mata-mbanan (do hataholi fe’ek mata-mbanan). Mete ma leo ndiak na safe malalao ei limam makahuluk menik sabu. Samak leo soda sosodak “selamat ulang tahun” la’e dua.  lima fanggak ala  Losa detik 20 lima ku’uk tadan ala  Safe lima deak  Nafui oe losa lalaok na tao leo bek?  Mete ma kame la’en na boso bi. Lai-lai fo mafui oe munik sabu. Boso kame la’e lalapak dean.  Ambe ana mbilu  Mete ma lalapak nanapakek don seli, na bakteri la bisa lasoda lai lalapak dalen.  Mete ma O lalapa idu-bafan manggenggeok na nggali henin. Boso pake lalapak lena heni faik esa.  Pake sulu aidoo Kakanak Amak Ina Esa ko handun  Boso pake makabubua nana’ak, pingga-suluk, nggalaas, ma handuk.  O ta bisa la’e O matam ma lima bu’um pake lima bu’uk, hena O soba sudik. Malole lenak soi do kena lelesu pake lima bu’uk do aluk.   UMA fali neme dea mai  Deifo mu’a-minu  Masanenedak fo mafui oe makahuluk munik sabu….  Hu ndia de,  Sabu Manea O ao-inam!  Manea O ao-inam!  Sabu Les basa natutuduk fo manai susulak sila! ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020) ""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020) Susula natutudu hedi-laus:  Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja. Saat membagikan komik ini, ingat 3 hal berikut: ﻿1) Dilarang mengedit gambar komik yang akan dibagikan. ﻿2) Komik ini tidak dapat diperjualbelikan. ﻿3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com Na'de Virus Korona         ","Tentang Virus Corona                                                                                      Tentang Virus Corona  Diterjemahkan dalam Bahasa Lole oleh Jermy Balukh Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi bahasa daerah : www.suluh.org Created by Weiman Kow, instagram: weimankow    "
