jmx,spa,eng
"Xa̱ꞌá kue̱ꞌe̱ ña̱ naní ""Coronavirus""",Sobre el coronavirus,About Coronavirus
,,
​​​ ​,,
,,
Iin ña̱ꞌa kúú ña̱ xíninúꞌu﻿kuntaa ini‑ún ña̱ na̱xa ku̱va ntíku̱n míí kue̱ꞌe̱ ña̱ naní﻿CORONAVIRUS yóꞌo﻿iinka na̱ yuví,Solo hay UNA cosa que tienes que entender sobre cómo se contagia el,There's only ONE thing ﻿you need to understand about how a coronavirus
 ​,CORONAVIRUS,SPREADS
yuꞌú‑yó,boca,Mouth
xi̱tín‑yó,nariz,Nose
nu̱ú‑yó,ojos,Eyes
Nu̱ú kíꞌvi‑ña̱ kúú,Entran a tus,Get into your
Na̱ va̱ꞌa,Persona Sana,Healthy Person
Na̱ kúꞌvi̱,Persona Enferma,Sick Person
Míí kue̱ꞌe̱ yóꞌo﻿ntíku̱n‑ña̱ iinka‑na̱ xíꞌin﻿﻿tiá sǐꞌi‑na̱.,El virus se﻿contagia cuando estas﻿gotas de saliva,The virus spreads when ﻿these droplets
Xíka koo‑ún.﻿Ku̱va u̱vi̱ á nta̱a̱ u̱ꞌu̱n metro koo‑ún ña̱ ná xäa̱ tiá sǐꞌi‑na̱ nu̱ú‑ún.,Mantener tu distancia.﻿Calcula entre 2 a 5 metros para evitar contacto con las gotas de saliva.,Keep your distance.﻿2m to 0.5m will keep you safe from large droplets.
1,1,1
2 - 5 m,2 - 5m,2m-0.5m
¡Achís!,¡Achís!,Achoo!
"Átu xíni‑ún iin na̱ kátá su̱kún, á na̱ káxán, á na̱ kúꞌvi̱, kuvi:","Si ves a alguien que tose, estornuda, o está enfermo, puedes:",So if you see someone who is visibly coughing/sneezing/sick you can choose to:
"Taxi iin ña̱ ntási yuꞌú ntaꞌá‑na̱.﻿Saá, ra kuvi katá su̱kún‑na̱ á kaxán‑na̱,﻿ra ïyo nti̱ku̱n kue̱ꞌe̱ iinka‑na̱.","Darle un cubrebocas.﻿Así, la persona puede toser o estornudar sin poner en riesgo a los demás.",Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby
2,2,2
¡¡Tixa̱ꞌvi‑ún!!,¡¡¡Gracias!!!,Thank you﻿*sniffles*
Saá tu ña̱ kuvi kasa‑ún kúú‑ña̱:,Tambien puedes:,"OR,"
"Sana ñá yóꞌo kökúꞌvi̱ ví‑ñá, suu ntiáa‑ñá mií‑ñá ña̱ ná ntïku̱n‑ña̱‑ñá",Quizá ella no esté enferma y solamente se está protegiendo.,"Maybe she's not sick, just protecting herself"
"Na̱ yuví na̱ xa̱ íyo míí kue̱ꞌe̱ ikán iín kuvi﻿könáꞌa̱ ví‑na̱ ﻿ña̱ kúꞌvi̱‑na̱, suu kuvi sánti̱ku̱n‑na̱‑ña̱ iinka na̱ yuví.","Las personas que ya tienen contagio pueden no presentar síntomas, per aún así, te pueden﻿transmitir﻿el virus.","People who are infected can show no symptoms, but are still﻿infectious"
"Ña̱ va̱ꞌa ka kúú‑ña̱ ná küꞌu̱n‑ún nu̱ú íyo kua̱ꞌá na̱ yuví, chi xïni‑ún ntáa kúú na̱ kúꞌvi̱.","En general, conviene evitar lugares con mucha gente, porque no sabe quén podría estar enfermo.","And in general, it's a good idea to avoid crowds, because you don't know who might be sick."
nu̱ú﻿kuchára,palillos/﻿cubiertos,chopsticks
na̱ va̱ꞌa,persona sana,Healthy person
so̱ꞌo ña̱ꞌa,agarraderas,Train straps
íki ‌saꞌmá,botones,Lift buttons
paíto,pañuelos,Tissues
váso,vasos,Cups
"nu̱ú celular,﻿á computadora",dispositivos digitales,Digital devices
sa̱tá﻿ña̱ ntási yu̱ꞌú‑na̱,hasta en el exterior del cubrebocas,& even on the outside of your face mask
nu̱ú tíin ntiaa‑na̱,pasamanos,Stair bannisters
ña̱ tíin‑na̱﻿tá kéꞌé‑na̱ computadora,ratón,Mouse
lápi,lapiceros,Pens
nu̱ú tíin‑na̱ xúná‑na̱ yéꞌe,perillas,Door knobs
ntaꞌá‑na̱,las manos,Their hands
"Sava ra, míí tiá sǐꞌi iin na̱ yuví kúꞌvi̱ kuvi koo‑rá:","A veces, la saliva de una persona enferma puede entrar en contacto con:","However, sometimes a sick person's saliva can get on other things…"
ntiꞌi‑na̱ kuvi kiꞌin míí kue̱ꞌe̱ yóꞌo.,todos podrían enfermarse.,you might all fall sick.
á nu̱ú na̱ táꞌan‑ún,o la de tus seres queridos,or your loved one's face
á ntuchí nu̱ú‑ún,"o frotas los ojos,",rub eyes
"Átu kökíꞌin‑ún kuénta ra keꞌé‑ún ntáa ña̱ꞌa yóꞌo ra tá nti̱ꞌi kéꞌé‑ún nu̱ú‑ún,","Si tocas cualquiera de estas cosas sin querer y después te tocas la cara,","And if you do touch any of these things by accident, and then touch your face,"
"Ntakatia ña̱ꞌa xíꞌin na̱má, klóro, á alcohol, ra ntiꞌi xa̱ꞌá‑ña̱.","Lavarlos con jabón, cloro, o alcohol medicinal es la única forma de eliminarlos.","and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol."
