sea,eng
Amen Pek Dapat Et nu Hospitel: Icare Hiha-jaga Mai de Nyik COVID-19,Where There Is No Hospital: A Home Care Guide for People with COVID-19
,
,"Gambar bilukes ya Mark Marcuson, © 2021 SIL International. CC BY-NC 4.0."
,"Mong kebenaran untok bitejemah ju bop COVID-19 Home Based Care: How to do it best for the patient and the family, 2020, Difaem - German Institute for Medical Mission, www.difaem.          Bop bibeh bedasarkan sumber maklumat mengenai Kesihatan Awam bagi tujuan pendidikan taleh. Bop adeh pek sesuei bipejadi sebagei nasihat perubatan. Ma-ma taleh soalan bekenaan hal-hal di bipasal ku padeh, sila behubong ru Pegawai Kesihatan. "
Iisi,Table of Contents
Pengenalan ha Bop Panduan Adeh .......................................... 2  Pekare Asas Mengnai Covid-19 ........................................ 3  Care ha Jaga Mai de Sihat ....................................................... 6  Care ha Jaga Mai de Nyik ....................................................... 8  Care ha Jaga Mai de Pek Nyik Terok .................................... 10  Care ha Jaga Mai de Nyik Terok ........................................... 12  Care ha Jaga Mai de ya Kaha-bor .......................................... 17  Pekare Utama ................................................................... 18,Introduction to this Guide..................................... 2  Basic Information about COVID-19....................... 3  Home Care for Well People ................................... 6  Home Care for the Sick Person or People................ 8  Home Care for Someone with Mild Sickness............ 10  Home Care for the Very Sick Person or People........ 12  Home Care as a Person Gets Better....................... 17  Key Points............................................................ 18 
Pengenalan ha Bop Panduan Adeh,Introduction to this Guide
"• Virus Covid-19 kibeh jeoi mai nainyik. Tapi kebanyakkan mai buleh naibor ju nyaknik ajeh ku padeg taleh. Bile nenumom de nyik ajeh mula kirasa pek lalu kibelehem, atau pek kigu-bor-bor telas seminggu kinyik, bor amen sengoi ajeh bien nu klinik atau hospitel akibakek dokte. • Tapi, kadang-kadang mong mai de pek dapat naicip naiha-bakek dokte, ru mong juga ikeadaan mai de terok inyaknik hot bijaga ku padeg. Hal ajeh ihat besengngoh nu mai de nyaknyik, ru nu mai de bejaga juga. • Tujuan bop adeh ha pasal bageiharok icare hiha-jaga mai de nyik Covid-19 ku padeg. Dalam mase de sama ha pasal juga bageiharok ha lindog mai kilek de mong ku kateh deg de sama, ru mai sekelileg de pek nyik. COVID-19 adeh nyaknik de ihat terok, tapi mong memerip icare de buleh hibeh dea sengoi de nyik ajeh kirasa selesa, ru kebanyakkan mai buleh naislamat ju nyaknik ajeh. • COVID-19 adeh nyaknik de serious, ru bor amen bijaga ku hospitel.Tapi, kebanyakan mai de nyik pek kep naibakek dokte atau pek mong hospitel de buleh betulog ha enai. Tujuan bop adeh sebagei panduan icare hiha-jaga mai nyik Covid-19 ku padeg, ru care hiha-beh nairasa selesa, ru juga hiha-tulog anaibor ju nyaknik ajeh. • Pihak kerajaan mong garis panduan de patot hijoi. Joileh panduan ju kerajaan ajeh.  ","• The COVID-19 virus is making many people sick. Most people can recover at home. When someone starts feeling short of breath, or when they do not begin to feel better after a week, it is best to take them to a Doctor or health clinic.  • But sometimes that is not possible. There are times when even very sick people must be cared for at home. This can be frightening for both the sick person and for those who are taking care of them.  • This book tells how to give home-based care while also protecting others in the household and community who are not sick. COVID-19 is a serious illness, but there are ways to help the sick person be more comfortable, and most survive the illness.  • COVID-19 is a serious disease, and is best cared for in the hospital. But many people who get very sick don't have a doctor or hospital to help. This book gives guidance on how to care for people at home in ways that can make them more comfortable while they are sick, and help many of them recover from the illness.  • Your country/government will have guidelines that should be followed."
,Basic Information about COVID-19
"Pekare utame de hot hibeh untok hiha-elak ju COVID-19, pekare de sama ajehleh juga hot hibeh amen hiha-jaga mai nyik ku padeg.",The main points for avoiding COVID-19 are also the main points for Home-based Care.
Sentiase hijarak diri 2 meter ju mai kilek.,Keep 2 meters distance between people.
Log tuntop moh ru empag mase engkek mong ku tempat mai jengoi.,Wear a mask when in a shared space.
Sentiase suj teg. Teg de berseh aguk sentoh renes atau tuntop moh ru empag.,Wash hands frequently and don’t touch your face or mask
"Tanda-tanda awal nenumom ajeh kikena Covid-19: • Beket iberog atau kikereg • Kikehol • Nyik irungkog • Imoh pek dapat kikerngoi • Iberog pehot-pehot atau kirasa kinyaknyik • Kiciret • Jot atau sumbat imoh  Hamapen bagei ajeh, mong juga mai de naikena Covid-19 tapi pek nainyik ru pek mong tanda-tanda nyaknik de bipasal ajeh.","Early Signs that someone has COVID-19: • Fever • Cough • Sore Throat • Loss of taste/smell • General body pain, general bad feeling • Diarrhea • Runny or stuffy nose  People who are sick with the virus may not show all the signs."
"Mai de ya mong tanda-tanda nyaknik de bagei ajeh, enai hotleh biswap tes. Mai de nyik mesti hot naipasal nu mai kilek dea mai kilek pen buleh naibejaga-jaga ha tanda-tanda nyaknik Covid-19 ku diri liknai sendiri. Mai de nyik hotleh naiaseg diri liknai ju mai kilek 14 arik iluniu dea nyaknik enai ajeh pek jekjog nu mai kilek.","If someone has any of these signs, they should be tested, if possible. It is important to tell other people who they have been close to about their illness so those people can also watch for signs of illness. Those people should also stay away from other people for fourteen days to avoid spreading the illness."
"Nenumom sengoi ihat senang kaha-og inyaknik ajeh kijekjog nu mai kilek ku mase mula-mula kinyik. Mong mai de nairasa pek memerip terok nainyik, tapi enai lekat buleh naiog nyaknik enai ajeh kijekjog nu mai de senang naiha-nyik terok.","People are most contagious when they first feel they are getting sick. Many people have very mild symptoms, but they can still spread the illness to other people, who may get very sick."
Icare Sengoi Sihat Naijaga Diri ku Padeg,Home Care for Well People
"Ku kateh pringak de sama, mai de nyik hotleh abijaga ya sengoi de sihat. Sengoi de bejaga ajeh hotleh kilindog diri ilei sendiri canuk. Adeh icare kaha-lindog idiri: • kilog tuntop moh ru empag. • kisuj iteg ya sabon jap kali kisentoh ha mai nyik. • ilei juga hot mong cukop mase untok kiberihat ru kicakcak. • pek kiluang jeoi mase ru mai de nyik ajeh.  Mai kilek de pek naijaga ha mai de nyik, de mong ku kateh deg de sama ajeh hotleh pek naiperek nu sengoi de nyik. Enai juga hotleh selalu naisuj teg enai ya sabon, ru pek sentoh renes liknai. Enai hotleh lailog tuntop moh ru empag amen enai mong ku tempat atau ku bilek mai de nyik ajeh.","If possible, one healthy person in the family should be the caregiver for those who are ill. The carer needs to take care of herself/himself too: • wear a mask • wash hands with soap after every contact • take time to rest and eat, • spend as little time with the sick person/people as possible.  Everyone else in the household should stay away from the sick person, wash their hands often, and avoid touching their faces. They should wear masks when they are in any area where the sick person goes."
"Mai kilek de pek ju pringak de sama buleh naien barang caknak ha pringak de nyik, ru naidek barang caknak ajeh ku luar pintu. Enai buleh naibelwal ju kennyak, tapi agukleh muj nu kateh deg.","Other people from outside can bring food and leave it outside the door, and can come to encourage from a distance, but they should not come into the house. "
"Sesanget ju pringak de nyik ajeh agukleh bibiar naibemaen ru sesanget kilek.  Amen Mai Kesihatan naihol madeg, enai hotleh nailog baju pelindog diri de lengkap.","Children in the family should not play with other children.  If Health workers visit, they should wear a coat, face and eye coverings."
Care ha Jaga Mai de Nyik,Home Care for the Sick Person or People
