,eng
0,Avoid Covid-19 (Africa)
1,
5,Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 6.4.2020
6,Literacy for Women in Africa
10,"Wash your hands regularly with soap and water, or clean them with an alcohol-based hand rub.  "
11,"Avoid touching your eyes, nose and mouth. "
12,Cover your nose and mouth with your bent elbow or tissue when you cough or sneeze. Dispose of the used tissue immediately.
13,Maintain a distance of 2 meters between yourself and others.  Avoid unnecessary travel and stay away from large groups of people.    
14,Wear a mask in public.  
15,"Stay at home if you feel unwell. If you have a fever, cough or difficulty breathing, seek medical attention early.  "
16,Stay informed about the latest developments on COVID-19.  Find information from reliable sources and  follow the advice given by your healthcare provider.  
19,"Avoid Covid-19 (Africa)    Avoid Covid-19 (Africa) Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 6.4.2020 Literacy for Women in Africa    Wash your hands regularly with soap and water, or clean them with an alcohol-based hand rub.   Avoid touching your eyes, nose and mouth.  Cover your nose and mouth with your bent elbow or tissue when you cough or sneeze. Dispose of the used tissue immediately. Maintain a distance of 2 meters between yourself and others.  Avoid unnecessary travel and stay away from large groups of people.     Wear a mask in public.   Stay at home if you feel unwell. If you have a fever, cough or difficulty breathing, seek medical attention early.   Stay informed about the latest developments on COVID-19.  Find information from reliable sources and  follow the advice given by your healthcare provider.    "
