,cak,spa
0,Ri q'axomal nub'än ri COVID-19,Coronavirus COVID-19 Síntomas
1,,
2,Ruchituy Tijonïk richin Paxil Kayala' Tijonïk pa ka'i' Ch'ab'äl pa ka'i' B'anob'äl,
5,"Dirección: Lisseth Amaya, FUDIPES Lengua de Señas Salvadoreña (LESSA): Cindy Blanco Grabación: Cindy Blanco Consultoría lingüística: Griselda Zeldón Asesoría Técnica: Sonia Shannon, SIL-GSLT Imagen de la portada: Ronald Escobar, © 2020 Ronald Escobar. CC BY-NC-ND 4.0. Imagen en la página 12: Elena Maria de Escobar, © 2020 FUDIPES. CC BY-NC-ND 4.0.",
6,-,
9,978-9929-794-28-3,
11,¿Achike nub'än ri coronavirus chiqe?,
13,Chaqi'j ojob'.,
15,Man yatikïr ta najiq'aj awuxla'.,
17,Yalan k'atän chawij.,
19,Yalan katän chawij.,
21,Nuya' k'atän chuqa' tew chawij.,
23,Nq'axo' ri ach'akul.,
25,Nq'axo' ri ajolom.,
27,Nqa'xo' ri aqul.,
29,Man jun chïk nasëq.,
31,Man jun nawajo' natij.,
32,Totojtob'enik,
34,nuya' ütz qawa'in,
35,nuya' k'atän chiqij,
36,nuya' ütz qak'aslem,
41,¿Achike yalan nub'än re coronavirus chawe'?,
42,ruq'axomal aqul,
43,nuya' akikotem,
44,nuya' ütz asamaj,
49,Re tzij k'o chupam re wuj re ja re wawe' xk'an wi. https://espanol.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html  (abril 2020),
52,"Ri q'axomal nub'än ri COVID-19  Ruchituy Tijonïk richin Paxil Kayala' Tijonïk pa ka'i' Ch'ab'äl pa ka'i' B'anob'äl  Ri q'axomal nub'än ri COVID-19 Dirección: Lisseth Amaya, FUDIPES Lengua de Señas Salvadoreña (LESSA): Cindy Blanco Grabación: Cindy Blanco Consultoría lingüística: Griselda Zeldón Asesoría Técnica: Sonia Shannon, SIL-GSLT Imagen de la portada: Ronald Escobar, © 2020 Ronald Escobar. CC BY-NC-ND 4.0. Imagen en la página 12: Elena Maria de Escobar, © 2020 FUDIPES. CC BY-NC-ND 4.0. -   978-9929-794-28-3  ¿Achike nub'än ri coronavirus chiqe?  Chaqi'j ojob'.  Man yatikïr ta najiq'aj awuxla'.  Yalan k'atän chawij.  Yalan katän chawij.  Nuya' k'atän chuqa' tew chawij.  Nq'axo' ri ach'akul.  Nq'axo' ri ajolom.  Nqa'xo' ri aqul.  Man jun chïk nasëq.  Man jun nawajo' natij. Totojtob'enik ¿Achike nub'än ri coronavirus chiqe? nuya' ütz qawa'in nuya' k'atän chiqij nuya' ütz qak'aslem    Totojtob'enik ¿Achike yalan nub'än re coronavirus chawe'? ruq'axomal aqul nuya' akikotem nuya' ütz asamaj     Re tzij k'o chupam re wuj re ja re wawe' xk'an wi. https://espanol.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html  (abril 2020)  ",Coronavirus COVID-19 Síntomas    Coronavirus COVID-19 Síntomas                                               
