,lts,amk,eng,ind
0,Olumbe lwa Korona,Aitawang kariri Virusi Corona nei,About Coronavirus,Tentang Virus Corona
1,,,,
3,,,,
4,,Todoni kontai taramuo kaiwo fuba nei ambori boitawanai na mai kariri Virus Corona nei sefarane. ,,
6,,borong,,
7,,ubong,,
8,,ureng ,,
9,,wuai to rorong afui ,,
10,,inontarai biriai,,
11,,inontarai meninang ,,
12,,Virusi sefarane na aiwiwahi tiparai na taborominei,,
13,,Boa woiroi – toyari 2 meteri - nana mani aiwiwahi tiparai weru inontaraifoi wiro sobu wau kaha.,,
14,,1,,
15,,"2m-0,5m",,
16,,e..hee!!! ,,
17,,"Ampafe, boti manei sea, kenita, meninang, nanamani wau boyo; ",,
18,,OHONG MASKERI WESA ampafe ekanita ete esea na maskerifoi ambori niai pi weru inontarai kefang nansa. ,,
19,,2,,
20,,Mahikai *srooot* ,,
21,,ETE ,,
22,,"Tarahio inontarai nini wiro meninang kahai, mae deitawang niari wedua ne taraifoi terane.",,
23,,"Mano sobu maninangfoi mani, tarahai wiro deinawia kaha, wape ambori sefa fimaninangfoi ki. ",,
24,,"Fi fuba ne mani, mahikai mani, wiro kohefang kaiwasafoi fanai, weo wau wera wawerahaifa we mantei dino sobu maninangfoi ampa. ",,
25,,Fiampinai ,,
26,,inontarai biriai ,,
27,,wa dereung ete andefo ,,
28,,Aisu lifi autai nai foi ,,
29,,tisufoi ,,
30,,gelasi,,
31,,Radio tuti hp ,,
32,,Ete wea mani niai na maskeri dereung boriai fo,,
33,,taru tawarami ,,
34,,Fi rufi nai na komputeri ,,
35,,Fitoi nai foi ,,
36,,Fi taba aisu rahutu ,,
37,,ewarami fo ,,
38,,"Tonanaiki wape, wea mani aiwiwahio inontarai meninang foi, tetaha na... ",,
39,,"nana mani, miawa we maninangfoi sau we mea kiai ki.",,
40,,"ete euremi, mano enemuwawusa fosa ",,
41,,wukoya uremu ,,
42,,"Enemufunong wau we waramu kariri fianggeng fuba nani, maiweai waramu we uremuwa nariai ahang, ",,
43,,"Rang boyari denteng we kaharai weru virusinei mani ruai fianggeng nani na sabong, baiklini, ete alkohol. ",,
44,,"Virusinei saha na fiea mani, wiataia paria rahida bei sentenang. ",,
45,,Sabong,,
46,,"na kofane, ambori kaharai weru virusinei.",,
47,,Ampafe mai mani nari kariri fi ,,
48,,Ruai waramufangwa paria waramurengwa,,
50,,waramubuka ,,
51,,"DOHONA WARAMU WE UREMUWA FE (ete inontarai siai euremifo konta fe). Ete, wiro ru uremu ete euremi kaharai mae ruai waramuwa mararebanai na sabong. ",,
52,,Kariri rohi rarung Yesusi de damato. ,,
53,,Waramudiwa,,
54,,Paria detiki 20 ,,
55,,Waramu kikeha ruhia wa ,,
56,,Ruai waramufang yai wa,,
57,,Ampafe todoni e taruai tawarami paria mararebanai? ,,
58,,"Waramu wea mani, dohona mutai fe, mae wukahera we ruai rurang waramuwa na sabong.",,
59,,Dohona waramu we maskeri dereung boriai foi fe. ,,
60,,Aiwiwahifoi tipa ,,
61,,Maskerinei tatari waroi mani ambori fimaninang antitungfoi sinsung dereung rorong fo. ,,
62,,Numuroainso maskeriwai werarikara mani kobioi weruai. Tatari paria rahida bei terai. ,,
63,,Ruai fiang na aikahai raung bei. ,,
64,,arikang ,,
65,,Dai,,
66,,Ai,,
67,,Meiri wau bufi na nemu handukiwai terai. ,,
68,,Dohona metang ruhia fiang fe; dohona metang na rewanguai bei ruhia fe; tuti metunung na gelasi ruhia fe ete handuki ruhiai fe.,,
69,,"Aweo waramubukawai wiro kefang we uremuwai kaha, nari tituaitai. ",,
70,,"Mawa mani, fai tuti kufe rahutu na waramubukawai. ",,
71,,Munu,,
72,,na kutu baraberawau nano kaiwasa bitoya foi ,,
73,,na kutu bampi kaharai fo   ,,
74,,Ruai waramuwa na sabong... ,,
75,,"Werea ne mani, ",,
77,,Boitawang biriawa! ,,
78,,Boitawang biriawa!,,
80,,Roto firabang siai kontai kariri fitoi na yai fenina!,,
81,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
82,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
83,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
