spa,eng,nxl,ind
Sobre el Coronavirus,About Coronavirus,,Anamanae rerihoni Virus Corona
,,,
,,Diterjemahkan oleh: Huna Matoke dan Rosemary Bolton,
,,,
,There's only ONE thing ﻿you need to understand about how a coronavirus,Kahurae ianei rerihoni sapani na virus corana,
,SPREADS,RENAE,
,Mouth,Hohari,
,Nose,Okori,
,Eyes,Matari,
,Get into your,Renusu na pani,
,Healthy Person,Ia wain ikupu tewa,
,Sick Person,Ia kupue,
,The virus spreads when ﻿these droplets,Virus renae sani apana na oko tin-tinia rapeu,
,Keep your distance.﻿2m will keep you safe from large droplets., na isaka ruata arihoni sae waron rapeu,
,1,,
,2m,"Meter 2-0,5",
,Achoo!,Haaach!!!,
,So if you see someone who is visibly coughing/sneezing/sick you can choose to:,"Reiso sani anoo ia isa wain iakihuha te iasinara te ikupui, mo, kahuraesaka na:",
,Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby.,Rui nipa sinte wani renete hohari na okori (masker). Na oakihuha te iasinara renete hohai na renete ia sia man wain ihainekei.,
,2,,
,Thank you﻿*sniffles*,Uainisi iake arihonia ano wani asinara,
,"OR,",,
,"Maybe she's not sick, just protecting herself","Kani ikupu tewa, ne hasae nani inete ruai.",
,"People who are infected can show no symptoms, but are still﻿infectious","Ia waini isupu virus rei nea mo, inoo tewa ata wain ikupui. Ne masike san rei bisa renae sinia.",
,"And in general, it's a good idea to avoid crowds, because you don't know who might be sick.","Nene iake mo, hainau arihon mansia hutue. Tau ianei tewa ata ia sia sahoro ikupui.",
,Chopsticks,Sondo te sae wani ipakei tau iai,
,Healthy person,Ia waini ne patane maka-makae,
,Train straps,Mamrime noi kereta api,
,Lift buttons,Tampa iese na ihuka mitanunue na ihukai,
,Tissues,Tisu,
,Cups,Koinanae,
,Digital devices,Sani Hp te komputer,
,& even on the outside of your face mask,Nipa sinte wani ipakei na renete hohari okori rei nene muie.,
,Stair bannisters,Oane nene mamrime,
,Mouse,Maisene tau komputer,
,Pens,Pena te pensil,
,Door knobs,Mitanunue nene hanae,
,Their hands,Hanao atua,
,"However, sometimes a sick person's saliva can get on other things…","Masike sapan iae sio kupua no tunna mo, bisa rakina tau apia san;",
,you might all fall sick.,Pusimo bisa okupumo.,
,or your loved one's face,Te oakahuu ia isa wain anom runai uai anoe.,
,rub eyes,Oasioi matamo usena,
,"And if you do touch any of these things by accident, and then touch your face,","Na sani anei tewa ne akahuu apia waron sinasi rei, oyo akahuu uam anoe.",
,"and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol.","Onina na virus rei tihoniki mo, kahurae osohu apia rai tau saponi, bayklin, te alkohol.",
,"Viruses can last for quite a few hours on objects,",Virus bisa reruei noi apia rai yam nimasa te wanusa san rei.,
,soap,Saponi,
,precautions,arenau waron rakahaita na inete iroha virus rei. Sani rei;,
,Which is why it is also good to follow these,"Areiso nene iake mo, opusu",
,wash with soap up to here,Sohu tau sapon rotu kua rei.,
,soap,Sapon,
,elbow,kua siuri,
,"Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first.","Pene akahuu uam anoe. Te ia sia man uai anoe. Ne nesi na akahuui sirinia mo, kahurae asohu hanam atua tau sapon ia-ia ee.",
,Enough time to sing “Happy Birthday” twice,Noo sani iahina ahina selamat ulang tahun nai ua.,
,under the nails,Tanikure aikuna,
,for 20 seconds,Potuina kani 20 detik,
,between the fingers,Hanari nakata tihua,
,wash the back of your hands,Sohu hanari hahaya,
,What is thoroughly?,"Sohu hanari wani iake na kitataya tewa mo, sapan?",
,"If you did, don't worry. Just wash your hands with soap after.","Sani oakahui nea mo, rapu sohu hanamo tau saponi.",
,"Also, don't touch the outside of the mask if you can.",Pene akahu nipa sinte te masker rei nene muie.,
,droplets,reroti,
,*Bacteria grows on the insides of your mask if you wear them too long,Kupue inae bisa remahaiki pani nipae sinte te masker rei anoe sani ipakei potuina.,
,Throw away masks once they feel gross. Don't wear them for more than a day!,Pesi te papa nipa sinte (masker) wani ipakei renete hohari na okori sani iahana ikitataie nea. Pene pake nipa sinte te masker rei rotu ranie hatae.,
,Use a serving spoon,Pake sondo tau ketu utane te ana.,
,Baby,Ia ikine.,
,Daddy,Ama,
,Mommy,Ina,
,Everyone gets their own towel,Pake mamkusa hana sakakau,
,"Do not share food, utensils, cups, towels.","Pene sama muaine, pirune, kalasi, sondo te mamkusa hana.",
,You can't touch your face with your elbow even if you tried,"Bisa oakahu ruamo uamo anomo tau siumo tewa. Sani bisa mo, rea mana tea.",
,"Open & close doors with your elbows or shoulders instead of hands, if possible.",Huka na raru mitanunue tau siuri te saniri sani bisa una sani rei.,
,Home,Numa,
,and after being out in the public,Onuni on noi mui wani mansia hutue.,
,Before you eat,,
,Always wash your hands with soap…,Sohu hanam tau saponi sui osa.,
,"And finally,",Tau muie,
,"Stay safe, everyone!",Saka na mo patana maka-makaya,
,"Stay safe, everyone!",Saka na iamahaita iake.,
,Read the articles for more tips!,"Baca tau nomor 1, 2 na 3 na oanei panesi honu rerihoni virus corona",
,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)",,
,"""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020",,
,Main references for medical info:,,
,"Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVID19 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com",,
,,,Diterjemahkan oleh Hunanatu Matoke
,,,"Created by Weiman Kow, instagram: weimankow"
