,eng,mmu,fra
0,Ce que vous devez savoir sur le CORONAVIRUS ou COVID-19,Manda má KOLÓNA FILÍS gúmén KOFÍD 19 mófonó gɔlɛns,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
1,,,
2,,Giɔ́b gá Kemelún gá Gúdúmbenyi gugál gá Gɔdányá na Gufúnyifunyi megélídié,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
5,,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
8,,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
10,,,
11,                    SUMMARY,       MANDA MÁNYÁ AGÁ MBƆBƆNƆ,                                                  SOMMAIRE
12,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,"- Kolónafilís - Band bá kand magɛ́nda - Bulinsi bá gunúma - Nanyá Kolónafilís nyá bágɔ́dɔ́mbɛ́n mɔnd - Nanyá buófonó gubɛ́nɔ́na ? - Giág buófonó gual, gunúma mágɔdɔ́mbɛ́n ? ",- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
16,p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3 p.4 p.5 p.6 p.8  ,p.2 p.3 p.4 p.5 p.6 p.7 p.8
17,"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Kolónafílis bábɛ́laná sɔ́n ká KOFÍD-19, nyɛ gɛŋɛ́lɛŋɔ́siɔ gá mfig. Bómodógí yɛ́ gɛsɛgɛl góbusió agá gɛdɔŋ bábɛ́laná ká Sín, buɔ́s bá 31 bá bilɔndɔ, yɔŋ 2019. Mfig iyány gúnúmanɛn anyɛ ginɔɔ́n, inyɛ bágual yɔɔ́n mɔnd ímámányɛ́ganɛná wɔ́. Inyɛ isálámándán agá bɛdɔŋ bá gus giod. Mɔnd mányɛ udɛlɛnsɛ niílín ná mfig iyány.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
20,Elderly person,Band bá duɔŋ giod,Personne âgée
