,fra,bfd,eng
0,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,ÀNNÙ A ǸZI ǸLOŊƏ KORONA VIRUS KƏ̀ KOVID-19,What you need to know about the CORONAVIRUS or COVID-19
1,,,
2,,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
5,,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
8,,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P. O. Box: 16 550 Yaoundé, Cameroon"
11,,                  A NLWÌʼISƏ ,                    SUMMARY
12,,- Koronavirus - Bə̀ bìi nɨ̀ghɔɔ̀ nû wàŋsə̀ ǹtwa nɨ waa aà - Ɨ̀lìŋsə̀ - Àjaŋnə nɨ̀ghɔ̀ɔ̀ nu dàŋnə̀ aa - Àjaŋ yìi mbə ò bɛ m̀bɨ̀ɨ̀ nû yu aà - Ànnù yi ghɨrə̀ a noò yìi nɨ̀ghɔ̀ɔ̀ nû tswa mə ghô ,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
16,,p.2 p.3 p.4 p.5 p.6  p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
17,,"Koronavirus  Koronavirus, mə bɨ kɨɨ twoŋə nɨ KOVID-19, àa nɨ̀ghɔ̀ɔ̀ ni feè. Ni lɛ mfùù m̀fɛ̀ʼɛ̀ a China a nɨ NJwi mùghûm mitarə̀ ntsù mɔʼɔ̀ a nɨ saŋ kɨrɨsə̀ 2019. ƗꞋ lɨŋsə bə̀ aa tsò ɨjɔ̀ʼɔ̀. Ǹzi nɨ nɨ̀wô Nɨ jàʼarə mə ǹghɛɛ nɨ ntoò toò fàa m̀bî. Kàa à dɨ̀gə̀ yii nɨ̀ghɔ̀ɔ̀ nû ǹlo ghu aà bɨ burə̀ tɨ zî.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
20,,Bɨ̀lɨɨ̀,Elderly person
22,,Nɨ̀ghɔ̀ɔ̀ nɨ ǹtɨɨ̀,Person with a heart condition or disease
23,,"Bə̀ bìi nɨ̀ghɔɔ̀ nû wàŋsə̀ ǹtwa nɨ waa aà   Bə̀ bɨtsɨ̀m m̀bə bɨ bìʼì nɨ̀ghɔ̀ɔ̀ nî fee ma nû. Bɨ̀ lɨɨ boʼo bə̀  bìi bɨ fuù ǹtswe nɨ mɨ̀ghɔ̀ɔ̀ mìi bɨ sɨ tsuʼu aa tsǒ (àkwɛʼɛ àzwìtə̀, nɨ̀ghɔ̀ɔ̀ nɨ suga, nɨ̀ghɔ̀ɔ̀ nɨ ǹtɨɨ̀, al̀ləə yi kɔ̀ʼɔ̀) ɨ̀jaŋ bə ma jû nɨ̀ghɔ̀ɔ̀ nû wàŋsə̀ ǹtswa nɨ waa aa ŋ̀tɨɨ, ŋ̀tɛɛ ǹzwitə. ","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
26,,-Fibà -Nɨ̀kaà,Fever Fatigue
28,,-Àkwɛʼɛ yî yoorə̂ -Mɨ̀ŋgɨrə̀nɨ̀ mi yàŋnə̀,Dry cough Muscle aches and pains
29,,"Ɨ̀lìŋsə̀  Ɨ̀liŋsə koronavirus ju kɨ bə̀ aa tsǒ jɨ ǹjɔ̀ʼɔ̀. Fibà, à kwɛʼɛ yì yoorə, mɨ̀kɨ̀rɨ̀nə̀ mi yaŋnə̀ nɨ̀kaà, bə̀ bi mɔ̀ʼɔ yuʼù nɨ nyàŋə̂ ɨ̀jɔ̀ʼɔ̀ sɨgɨ̀nə̀ nɨ mɨlwî. Ntɔ̀ŋ yaŋə̀ a mî nɨ mɨ̀tswɛ kɨkaŋə a toonsə̀. Kàa bə bimɔʼɔ tswe nɨ nu tɨ yuʼu ni nyaŋe, bə bi ghàʼàntə̀ tɨ̀ɨ̀ tɨ kwɛtə.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
31,,Ŋu yiì a kwɛʼɛ,Person with a cough
