,eng,fub,fra
0,What you need to know about the CORONAVIRUS or COVID-19,Sey on annda ɗu’um dow NGILŊGU KORONA malla  KOVID-19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
1,,,
2,,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
5,,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
8,,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
11,,     KO TAWETE DOW ƊEREYEL NGE’EL,                                                  SOMMAIRE
12,,- Ngilŋgu Korona - Yimɓe ɓe nyawu ngu’u naŋngata bee koyɗum - Alaamaaji nyawu ngu’u - Bana noy ngilŋgu Korona raaɓirta yimɓe ? - Bana noy faddaago? - Noy waɗugo to nyaw man naŋngi goɗɗo ? - Sifa kalimaaji caɗɗi,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
16,,p.2  p.3 p.4 p.5 p.6 p.8 p.9,p.2 p.3 p.4 p.5 p.6 p.7 p.8
17,,"Ngilŋgu Korona  Ngilŋgu Korona ewneteeŋgu boo Kovid-19, ɗum ngilŋgu kesu. Ɗum aarti waŋgugo haa lesdi Sin bee nyalaade 31 lewru Desember 2019. Ngu ɗon waŋga bee alaamaaji nannduɗi ɗi   ndammba, ɗum mbaran to ɗum tulliti. Ɗum ɗon tawe nder lesɗe ɗuuɗɗe  haa duniyaaru fuu. Iwde nyawu ngu’u anndaaka tawon.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
20,,Goɗɗo marɗo duuɓi ɗuuɗɗi,Personne âgée
22,,Goɗɗo marɗo nyawu ɓernde malla maatanɗo nyawu ngoɗŋgu,Personne cardiaque ou souffrant de maladie
23,,"Yimɓe ɓe nyawu ngu’u naŋngata bee koyɗum  Ngilŋgu ngu’u foti nasta haa yimɓe marɓe duuɗi koo ɗiye fuu. Ngu naŋngan bee koyɗum e ngu torran marɓe duuɓi ɗuuɗɗi e marɓe nyawuuji  masin (bana cukku, nyawu sukar, nyawuuji ɓernde, tansiyon).","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
26,,-Yontere -Comri,- Fièvre - Fatigue
28,,-Ndammba caatuka -Naawral haa jokke,- Toux sèche - Douleurs musculaires
29,,"Alaamaaji nyawu ngu’u  Alaamaaji nyawu ngilŋgu korona nanndi bee ɗi marɗo ndammba: yontere, ndammba caatuka, naawral haa jokke, comri. Nyawuɓe woɗɓe boo ɗon maata naawral, kine cukkan, kine ilan, daande naawan malla caarol. Yimɓe woɗɓe ɓe nyawu ngu’u naŋngi mbaŋgintaa koo alaama ngoota, ɓe ɗon maata ɓe yamɓe. Ɓurna yimɓe ɗon nyawndo kurgun kastaaɗum.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
31,,Goɗɗo mo ɗon sonnda,Personne qui tousse
32,,"Bana noy yimɓe ndaaɓirta nyawu ngilŋgu Korona?  Marɓe ngilŋgu KOVID-19 raaɓan woɗɓe. To nyawuɗo sonndi malla ɗisli, kuukon ɗon ngurto  gal kine malla gal hunnduko muuɗum. To goɗɗo foofi, kuukon kon nastan haa maako, nden foti nyaw man raaɓa mo. To goɗɗo meemi huunde nde kuukon kon ɗon dow maajum e to o meemi gite malla kine malla huunduko maako, foti nyaw man raaɓa mo.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
37,,Bana noy faddaago?,Comment se protéger ?
38,,"1. Taa meeme gite, kine malla huunduko mon.","1. Eviter de se toucher les yeux, le nez, la bouche."
40,,2.  Loote juuɗe bee ndiyam laaɓɗam e bee saabulu. Nden ngooste juuɗe mon bee sarvet laaɗɓum.,2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
