,dug,eng
0,Dzulu ya virusi vya K’orona,About Coronavirus
1,,
2,"Translated by Lilian Nyanje, Samuel Zaka & Hamisi Askari",
4,Kuna chit’u CHIMWENGA tu uhenzwacho uchimanye dzulu ya jisi chirusi cha k’orona,There's only ONE thing ﻿you need to understand about how a coronavirus
5,CHIGOT’AVYO,SPREADS
6,Mulomoni,Mouth
7,P’ulani,Nose
8,Matsoni,Eyes
9,Gaphenya,Get into your
10,Mut’u ariye ni muzima,Healthy Person
11,Mut’u mukongo Gaphenya ,Sick Person
12,Cho chirusi chinagot’a chikala madenwa gaga,The virus spreads when ﻿these droplets
13,Fyalaluka k’anda. Mita 2 zinaidima kukwika salama kulaa kwa madenwa mabomu.,Keep your distance.﻿2m to 0.5m will keep you safe from large droplets.
14,1,1
15,Mita 2,2m-0.5m
16,Hech’ii!,Achoo!
17,Kwa vivyo uchona mut’u lwazu-lwazu unakohola/ unach’emula/ni mukongo unaidima kutsagula ku:,So if you see someone who is visibly coughing/sneezing/sick you can choose to:
18,Aphe vitambaa vya kufunga p’ula na mulomo/masiki. Anaidima kukoholera hebu akach’emulira na kurinda chila mut’u ariye phephi,Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby
19,2,2
20,Mumvera *kuch’emula*,Thank you﻿*sniffles*
21,HEBU,"OR,"
22,"Phanjine hata ts’i mukongo, ela mwenye yunadzirinda tu.","Maybe she's not sick, just protecting herself"
23,"At’u odziambukizwa anaidima kuts’aonyesa dalili, ela acheri anaambukiza","People who are infected can show no symptoms, but are still﻿infectious"
24,"Na kwa jumula, ni azo idzo kudzitenga na virundu, kwa kukala k’umanya ni ani ariye ni mukongo.","And in general, it's a good idea to avoid crowds, because you don't know who might be sick."
25,,chopsticks
26,Mut’u yets’ikala mukongo.,Healthy person
27,Mikowa kahi za gari ya moshi,Train straps
28,Vidude vya kufyeha vya mashine ya kupandira na kutsererera gorofani,Lift buttons
29,Makodza ga chooni,Tissues
30,Vikombe,Cups
31,Vifaa vya chidijitali,Digital devices
32,na hata konze ya masikiyo,& even on the outside of your face mask
33,Mut’u mwa kugwirira ngazini,Stair bannisters
34,Chidude cha komupyuta,Mouse
35,K’alamu,Pens
36,Vigwarya vya miyango,Door knobs
37,Mikono yao,Their hands
38,"Hata vivyo, ukati unjine mahe ga mut’u mukongo ganaidima kugwerera vit’u vinjine…","However, sometimes a sick person's saliva can get on other things…"
39,mosi munaidima kukala akongo,you might all fall sick.
40,hebu uso wa umuhenzaye,or your loved one's face
41,ufikitse matso,rub eyes
42,"Na uchigwira zani chit’u chochosi kati ya vivi, chidzako ukumbe usoo,","And if you do touch any of these things by accident, and then touch your face,"
43,"na njira ya tende ya kuvyusa ni kuvyoga na sabuni, jik’i, hebu uchi.","and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol."
44,Virusi vinaidima kukala kwa masaa machache dzulu ya vit’u,"Viruses can last for quite a few hours on objects,"
45,Sabuni,soap
46,Mizizo,precautions
47,Ndo mana ni vidzo piya kutuwa yiyi,Which is why it is also good to follow these
48,oga na sabuni muhadi hipha,wash with soap up to here
50,Chikokorito,elbow
51,"Uts’ikumbe usoo. (Hebu uso wa munzio.) Ichikala ni seti ukumbe, oga mikonoyo na sabuni chividzo kwanza.","Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first."
52,"Ukati wa kutosha wa kwimba, “Ts’iku ya raha ya kuvyalwa” k’ano mbiri",Enough time to sing “Happy Birthday” twice
53,ts’ini ya k’ombe,under the nails
54,kwa sekunde 20,for 20 seconds
55,Kati-kati ya vyala,between the fingers
56,oga nyuma ya mikonoyo,wash the back of your hands
57,Chividzo nini?,What is thoroughly?
58,"Uchikala udzikumba, uts’ijali. We chidzako oga mikonoyo na sabuni.","If you did, don't worry. Just wash your hands with soap after."
59,"Chisha, uts’ikumbe konze ya masiki ichikala vindaidimikika.","Also, don't touch the outside of the mask if you can."
60,madenwa,droplets
61,Vidudu vinakula ndani ya masikiyo uchikala undazivala muno.,*Bacteria grows on the insides of your mask if you wear them too long
62,Tsupha vitambaa vya kufunga p’ula na mulomo/masiki uchisikira zitsoka. Uts’izivale zaidi ya ts’iku mwenga!,Throw away masks once they feel gross. Don't wear them for more than a day!
63,Humira chikasi,Use a serving spoon
64,Mwanache,Baby
65,Baba,Daddy
66,Mayo,Mommy
67,Chila mut’u ahumire tauloye.,Everyone gets their own towel
68,"Uts’irye leu phamwenga na at’u, hebu mukats’anganya viya, vikombe hebu t’aulo.","Do not share food, utensils, cups, towels."
69,Kw’idima kukumba usoo na chikokorito hata ukakala wajeza.,You can't touch your face with your elbow even if you tried
70,Fugula na kufunga muyango na chikokorito hebu mafuzi kurichisa mikono pharipho yinaidimikika.,"Open & close doors with your elbows or shoulders instead of hands, if possible."
71,Mudzini,Home
72,,and after being out in the public
73,Phots’i kurya,Before you eat
74,Chila ukati oga mikonoyo na sabuni…,Always wash your hands with soap…
75,"Na kumarigiza,","And finally,"
77,"Kalani salama, chila mut’u!","Stay safe, everyone!"
80,Soma vitabumajarida kwa utumia unji Zaidi!,Read the articles for more tips!
81,"1.     “This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ","""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)"
82,"1.     “The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report.  (Jan 25, 2020) ","""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)"
83,"1.     “How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times, opinion.  (Jan 28,2020) ","""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020"
84,Wiidimao kwauzira enye hasa dzulu ya udzumbe wa chiafya:,Main references for medical info:
85,"Additional notes: Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References: lnformation in comic is based on understanding of COVID19 up till 28 Feb 2020, and mainly from these three references.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Additonal lnformation A PDF version of the comic is available for free download here: https://gumroad.com/weimankowart  Sharing Guidelines This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: 1) No edits to the comics is allowed in any way when sharing. 2) Comics cannot be used for any commercial project 3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow For all other uses, please send a request in to: comicsforgood@gmail.com","Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVI 019 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-1O Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com"
88,,"Translated by Lilian Nyanje, Samuel Zaka & Hamisi Askari: Bible Translation & Literacy, E.A"
90,,"Created by Weiman Kow, instagram: weimankow"
