,rus,fra,eng
0,Что нужно знать о КОРОНАВИРУСЕ или COVID-19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,What you need to know about the CORONAVIRUS or COVID-19
1,,,
2,Камерунская ассоциация перевода Библии и распространения грамотности,,
5,Информация для этого буклета взята с сайта Всемирной Организации Здравоохранения https://www.who.int/home,,
6,SIL LEAD,,
7,Дарья Давидовская,,
8,"Все иллюстрации принадлежат CABTAL. За исключением страницы 2, которая принадлежит Pixabay; страницы 6 (мясник) и страницы 7 (толпа), которые принадлежат Wikimedia Commons; страницы 7 (люди смотрят телевизор), которая принадлежит ООН (Фото № 616869 Фото ООН / Марко Дормино).  Контакты CABTAL  Сайт : www.cabtal.org Электронная почта : info_cabtal@cabtal.org  Телефон : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun",,
10,,,
11,Краткое содержание,                                                  SOMMAIRE,                    SUMMARY
12,-Коронавирус -Уязвимые люди -Симптомы -Распространение коронавируса -Как защитить себя -Что делать в случае заражения? -Определения сложных слов ,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
16,с. 2 с. 3 с. 4 с. 5 с. 6 с. 7 с. 8,p.2 p.3 p.4 p.5 p.6 p.7 p.8,p.2 p.3 p.4 p.5 p.6 p.7   p.8
17,"Коронавирус, также известный как COVID-19, - это новый вирус. Впервые о нем было сообщено в Китае 31 декабря 2019 года. Он имеет симптомы, похожие на грипп, и в некоторых тяжелых случаях может привести к смерти. Распространен во многих странах мира. Происхождение болезни пока не известно.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
20,Пожилой человек ,Personne âgée,Elderly person
