,cak,kek,spa
0,Ri q'axomal nub'än ri COVI D19,Li kaqi yajel,Covid-19 K'a' ru li majelal naxk'e
1,,,
2,,Xjolomil li Tzolok re Watemaal Xna'il Xjolomil li Tzolok sa' Ka'paay chi Aatinob'aal,
5,,,"Dirección: Lisseth Amaya, FUDIPES Lengua de Señas Salvadoreña (LESSA): Cindy Blanco Grabación: Cindy Blanco Consultoría lingüística: Griselda Zeldón Asesoría Técnica: Sonia Shannon, SIL-GSLT Imagen de la portada: Ronald Escobar, © 2020 Ronald Escobar. CC BY-NC-ND 4.0. Imagen en la página 12: Elena Maria de Escobar, © 2020 FUDIPES. CC BY-NC-ND 4.0."
6,,,-
7,,,"Coordinación: Emilio Ajquejay, Justo Magzul y Sophia Maldonado. Contextualización:  Elías Caal Oxom. Edición: Roberto Coc Caz y Hermelindo Quim."
9,,978-9929-794-28-3,978-9929-794-28-3
10,,,
11,¿Achike nb'än ri coronavirus chiqe?,B'ar wankeb' li yajel naxk'e li kaqi yajel,
13,Chaqi'j ojob'.,Ojb'il,
15,Man yatikïr ta najq'aj awuxla'.,Ch'a'ajkilal re musiq'ak,
17,Yalan k'atän chawij.,Tiq,
19,Yalan katän chawij.,Tiq,
21,Nuya' k'atän chuqa tew chawij.,Ke,
23,Nq'axo' ri ach'akul.,Rahil tib'elej,
25,Nq'axo' ri ajolom.,Rahil jolomej,
27,Nqa'xo' ri aqul.,Rahil sa' kuxej,
29,Man jun chik nasëq.,Ink'a' chik tat-utz'u'q,
31,Man jun nrajo' natij.,Ink'a' chik taaweek'a xsahil li tzekahemq,
32,Totojtob'enik,Il maa xa taw ru,
33,¿Achike nub'än ri coronavirus chiqe?,K'a' ru yajel naxk'e li kaqiyajel,
34,nuya' ütz qawa'in,Rahil oq,
35,nuya' k'atän chiqij,ojb'il,
36,nuya' ütz qak'aslem,rahil sa' sa'ej,
41,¿Achike yalan nub'än re coronavirus chawe'?,k'a' ru chi yajelil naxk'e li kaqi yajel,
42,ruq'axomal aqul,rahil tib'elej,
43,nuya' akikoten,wara,
44,nuya' ütz asamaj,rahil sa' u,
49,Re tzij k'o chupam re wuj re ja re wawe' xk'an wi. https://espanol.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html  (abril 2020),,
52,Ri q'axomal nub'än ri COVI D19    Ri q'axomal nub'än ri COVI D19       ¿Achike nb'än ri coronavirus chiqe?  Chaqi'j ojob'.  Man yatikïr ta najq'aj awuxla'.  Yalan k'atän chawij.  Yalan katän chawij.  Nuya' k'atän chuqa tew chawij.  Nq'axo' ri ach'akul.  Nq'axo' ri ajolom.  Nqa'xo' ri aqul.  Man jun chik nasëq.  Man jun nrajo' natij. Totojtob'enik ¿Achike nub'än ri coronavirus chiqe? nuya' ütz qawa'in nuya' k'atän chiqij nuya' ütz qak'aslem    Totojtob'enik ¿Achike yalan nub'än re coronavirus chawe'? ruq'axomal aqul nuya' akikoten nuya' ütz asamaj     Re tzij k'o chupam re wuj re ja re wawe' xk'an wi. https://espanol.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html  (abril 2020)  ,Li kaqi yajel  Xjolomil li Tzolok re Watemaal Xna'il Xjolomil li Tzolok sa' Ka'paay chi Aatinob'aal  Li kaqi yajel     978-9929-794-28-3  B'ar wankeb' li yajel naxk'e li kaqi yajel  Ojb'il  Ch'a'ajkilal re musiq'ak  Tiq  Tiq  Ke  Rahil tib'elej  Rahil jolomej  Rahil sa' kuxej  Ink'a' chik tat-utz'u'q  Ink'a' chik taaweek'a xsahil li tzekahemq Il maa xa taw ru K'a' ru yajel naxk'e li kaqiyajel Rahil oq ojb'il rahil sa' sa'ej    Il maa xa taw ru k'a' ru chi yajelil naxk'e li kaqi yajel rahil tib'elej wara rahil sa' u       ,"Covid-19 K'a' ru li majelal naxk'e    Covid-19 K'a' ru li majelal naxk'e Dirección: Lisseth Amaya, FUDIPES Lengua de Señas Salvadoreña (LESSA): Cindy Blanco Grabación: Cindy Blanco Consultoría lingüística: Griselda Zeldón Asesoría Técnica: Sonia Shannon, SIL-GSLT Imagen de la portada: Ronald Escobar, © 2020 Ronald Escobar. CC BY-NC-ND 4.0. Imagen en la página 12: Elena Maria de Escobar, © 2020 FUDIPES. CC BY-NC-ND 4.0. - Coordinación: Emilio Ajquejay, Justo Magzul y Sophia Maldonado. Contextualización:  Elías Caal Oxom. Edición: Roberto Coc Caz y Hermelindo Quim.  978-9929-794-28-3                                          "
