,eng,mgg,fra
0,What you need to know about the CORONAVIRUS or COVID-19,"Sá ɓí dālā nɛ ɛgú tɔ̂p pɔ́s ɛkpay ɛ ɓɛ́ jōō naá Kolóna ɔ, ɓɛ̀ ɓākā jōō naá Kovi-19 ɔ",Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
1,,,
2,,Gós ɓót ō ɗí tí ɛtil Mɛkaná mɛ́ Zɛ́mb nɛ ɛlyakɛl ɓót Ɛláŋ nɛ Ɛtil tí ilüii ɓyɔ̄ɔ̄ ɓīk,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
5,,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
8,,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
10,,,
11,                    SUMMARY,"Mɛkanā mák maa ɓɛ tí ɛsu lɛ ɛ́ɓɔm. Thɔk ɛ, nɔl mōt āā dála nɛ ɛcenj sinɔŋ, gu thɔk ɛ da nyɛl ɛɓɛla nɛ mɛ́ ɗyaŋ ta nyɛ̂ ji ɓót ɓa kus mɛkaná mɛték ɓāk. Min mɛ ɓót ɓa símsa nɛ ɛtil isá iték ɓak māā dála ɛɗüisaa.",                                                  SOMMAIRE
12,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,- Pɔs ɛ́kpay ɛ kolóna ɓɛ́ ɓákā jóó naá kovi 19 ɔ - Ɓot o ɗí nɛ khul ɛnwɔŋ ɛ́kpay ɛték ɓâk - Ɛdoŋgla pɔ́s ɛkpay ɛ́ kolóna - Mindɛm mi ɛ́kpay - Ɗɛ mót ɗí́ nɛ khul ɛkandɔɔ ɛ́kpay ê - Mot ɛ nɛ khul ɛsá ná tɛ́m ɗí ɛ́ɛ́ nwɔŋ ɛ́kpay ê - Mɛtián mɛ mɛ́kɛ́l mɛ aɗiáɗiá ,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
16,p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2  p.3 p.4 p.5 p.6 p.8  p.9 ,p.2 p.3 p.4 p.5 p.6 p.7 p.8
17,"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Pɔs ɛ́kpay ɛ kolóna ɓɛ́ ɓákā jóó naá kovi 19 ɔkɛ, ɛ myenj pɔ́s ɛkpay. Ɓa nyɛl ɛmɛt mot nɛ pɔ́s ɛkpay ték ɓɛ Sîn tí ɛlú mɛkám mɛlɛ̄l nɛ ŋgwát mɛ ŋgɔ́n mɛsil mɛ mbú 2019. Ɛkpay ɛtēk lí mɛ̄t mot ɗɛ̌ kɔ́s. Li nɛ khul ɛkend mót ti ɓīl ítɛ́m ɓɛ ɛsüee. Ɛkpay ɛ ték líí dalǎ thund ókanda tí sî nyɛ̂s. Ɓot ɓāā gu gú ɓɛ ɛ́kpay ɛ ték ɛ ɗüis ê. ","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
20,Elderly person,Otōmbá,Personne âgée
