,eng,jgo,fra
0,What you need to know about the CORONAVIRUS or COVID-19,Yúu mi pʉʉ gẅɛɛ nɛjí nǔu gɔɔ yi pɛ́ fúŋnɛ ŋgɔ Kɔlɔ́navilus covid19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
1,,,
2,,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
5,,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
8,,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
10,,,
11,                    SUMMARY,                      MƐTÚ-NU,                                                  SOMMAIRE
12,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,- Gɔɔ-kɔlɔ́navilus - Pʉɔ pínɛ ḿbɔ́ gɔɔ yɔ fɛ́Ꞌnɛ ŋ́kúu nǔu pɔ́p - Mɛsap mɛ́ - Ntɛ́ yi ɛ́ lɔknɛ ńdɛɛtɛ - Ḿbɔ́ pɛ́ páa gɔɔ yɔ ŋgɔ ku? - Ɛ́ laa ŋ́gẅɛɛ wú ɔ gɛ páꞋa? ,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
16,p.2 p.3 p.4 p.5 p.6 p.7   p.8,P.2  p.3 p.4 p.5 p.6 p.8 ,p.2 p.3 p.4 p.5 p.6 p.7 p.8
17,"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Gɔɔ-kɔlɔ́navilus  Kɔlɔ́navilus yi pɛ́ pɛnnɛ ɛ́fúŋ ŋgɔ Covid19, ɛ́ táꞋ cucu fí, nduŋmbi zʉꞋ nɛlɛꞋlɛ ka pɔ́ Shînɛ nǔu lɛ́Ꞌ ntsɔ̌pmɔ́Ꞌ mɛgɛ́mɛ́ntát nǔu pɛsaŋ ntsɔ̌ppá nǔu ŋguꞋ ntsáꞋ yɛ́pá nɛ́ ntsɔ̌pnɛ́pfúꞋú. Mɛsap mɛ́ páꞋ fúꞋ lá. Ɛ́ lɛɛ tɛ ŋ́gáꞋ ḿbɔ́ yi ḿbɔ́ ɛ́ jẅí ŋu. Ɛ́́ sat zʉꞋ tsɛt mɛgɔŋ tɛ ńzáa. Pɛ́ pɛ́t kɛ́ jí fúnɛ gɔɔ ɛ̂yá.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
20,Elderly person,Pʉɔ tsʉklɛ́nɛ,Personne âgée
22,Person with a heart condition or disease,"Pʉɔ pɔ́p gẅɛɛnɛ gɔɔ nzɔꞋ pɔ́p, mba pagẅɛɛ mɛcɔ́ mɛgɔɔ",Personne cardiaque ou souffrant de maladie
23,"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Pʉɔ pínɛ ḿbɔ́ gɔɔ yɔ fɛ́Ꞌnɛ ŋ́kúu nǔu pɔ́p  Ḿbɔ́ cucu fí ɛ̂yá kúu nǔu pʉɔ pínɛ pɔ́p gẅɛɛnɛ mba yɛ́tɛ́ ndɛn ŋguꞋ lá. Pʉɔ tsʉklɛnɛ mba pʉɔ pínɛ pɔ́p gẅɛɛnɛ mɛgɔɔ páꞋ: (kẅak tʉʉ, gɔɔ-súkaa tsɛt mɛci, gɔɔtʉ́m (taŋsyɔŋ) ḿbɔ́ pɔ́p vu gɔɔ ɛ́ gáꞋ ntɛ́ cucu ɛ̂yá.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
26,Fever Fatigue,-Lyɔknút -Káa,- Fièvre - Fatigue
28,Dry cough Muscle aches and pains,-Kẅak tʉʉ -Mbʉʉ záŋnɛ,- Toux sèche - Douleurs musculaires
29,"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Mɛsap mɛ́  Mɛsap-kɔlɔ́na páꞋ yɛ́ fúꞋ: lyɔknút, kẅak tʉʉ. mbʉʉ záŋnɛ, káa, pɛcɔ́ gaŋgɔɔ pɔ́p zúꞋnɛ kɛpɔŋ mbʉʉ pɔ́p, mɛlẅí cúnɛ, gák záŋnɛ mba fʉꞋnɛpɛm. Cucu ɛ̂yá nǔu pɛcɔ́ pʉɔ lá mbɔɔ nyɛt mɛsap mɛ́ pɔ́, pɔ́p pɔ́p pɔ sʉ́Ꞌnɛ. Nɛzáa pʉɔ fíitɛ mba kɛ́ nɔ́ yɛcɔ́ fu.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
31,Person with a cough,Ŋu ẅinɛ a kẅáknɛ,Personne qui tousse
32,"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Ntɛ́ yi ɛ́ lɔknɛ ńdɛɛtɛ  Kɔlɔnavilus covid19 sɛ́ ńdɛɛtɛ ɛ́fú nǔu pʉɔ pi pɔ́p gẅɛɛnɛ cucu, ŋgaŋ lɛɛ tɛ ŋ́kẅák, mba nɛtíkŋɛ, mɛtɛ́ cẅɛt ntsu wɛ́ mba puu nɛcẅɛt mɛlẅí wɛ́. Ḿbɔ́ ŋu laa ńzẅikŋɛ mɛtɛ́ ɛ̂má kúu mbʉʉ yɛ́, ḿbɔ́ kɔlɔ́navilus gʉ ŋ́ḱúu nǔu wɛ́. Ŋu laa ŋ́kuu yúu mi mɛtɛ́ ɛ̂má nǔu ḿbɛn ŋ́kúu mík mɛ́ mba mɛlẅí mɛ́ kɛ pɔ ntsu wɛ́ ɔ́ɔ, ḿbɔ́ gɔɔ ŋ́kúu nǔu wɛ́.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
37,How to protect yourself,Ḿbɔ́ pɛ́ páa gɔɔ yɔ ŋgɔ ku?,Comment se protéger ?
38,"1. Avoid touching eyes, nose, mouth.","1- Ḿbáa nɛkuu mík mú, mɛlẅí mú mba ntsu wú.","1. Eviter de se toucher les yeux, le nez, la bouche."
40,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,"2- Ɛ́suk mbɔ́ mú nɛ́ ŋki cʉ́ɔnɛ nɛ́ suk, ḿbɛn ńdɔ́k yúundẅí lɛ́ɛnɛ́nɛ ńtuk.",2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
42,3. Cough and sneeze into the crook of your arm. ,3- Ŋ́kẅák mba nɛtsíkŋɛ tsɛt ŋgít-pɔ́ yu.,3. Tousser et éternuer dans le creux de son bras.
44,4. Avoid eating raw meat and touching live animals.,4- Ḿbáa nɛkwɛ́t mbap kɛ́ pí mba nɛkuu mɛnaa mi pɔ́p pɛ́t ntʉʉ.,4. Eviter de manger de la viande crue et de toucher des animaux vivants.
49,5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,5- Ḿbáa nɛtʉ́ʉ mɛtaa nɛjɔ́ŋ ŋu ẅí a kẅaknɛ mba nɛjɔ́ŋ ŋu ẅí fúꞋ nǔu wɛ́ a pɔ́ ńtsíkŋɛ.,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
51,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,6- Ḿbáa nɛcɛꞋlɛ ŋu nɛ́ pɔ́. maꞋlɛ pɔ́ mba ntsu ńdɔk ńcɛꞋlɛ.,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
53,7. Avoid gatherings. ,7- Ḿbáa zʉꞋ pɛ́ cúꞋlɛ́nɛ zúꞋ tɛ ńzáa.,7. Eviter les rassemblements.
