tom,spa,eng
UN TOTOZ KATA'UANTA TUMORO U VIRUS CORONA,Sobre el Coronavirus,PERLU KALYANTA SO SAPA SI VIRUS CORONA
,,
,,TONTEMBOAN MAKÉLA'I
,,Waya esa en perlu kalya’an you kénsya en virus Corona
,,MALAWÉ
,,Semu’d
,,Ngilung
,,Welen
,,Muntep an nuntep
,,Tou  nyaman
,,Tou semakit
,,Virus lemawé so kareputan ni lua’ anio’
,,Sia’am tatawi.  Co aman ca kareputan lua’ so masére antara 2 m.
,,1
,,"0,5m - 2m"
,,Haaachii!!
,,"Ané, so ko semeré tou masekol/masait/sumakit,co rona:"
,,"Wé’an masker sélya. Ané sélya rona semait/semekol an nuntep maskerna, sityu karun ca lemawé asé tou-tou antawina."
,,2
,,Makapulu’sama’ “SROOT”
,,"Ato,"
,,Semangkum si tou anyo’ ca semakit. Sia waya temaruy nowa’kena.
,,"Tou si kinyalawéan nem, semanggkum ca temuru’ myendam, ta’an tetap sakitna lemawé"
,,"Pakasaan, loor tarén siya’am ma kumpul, éh ca kalyan you so séy-séy sé syémakit."
,,Pakakas pakanan
,,Tou nyaman
,,Patemboyan kereta
,,Kenop lift
,,Tisu
,,Paleppan
,,Eletronik
,,Wo an bagean luar masker
,,Patemboyan tangga
,,Mous
,,Polpén
,,Kenop papalen
,,Kama é lya
,,"Ta’an  ma’an kéna, semangkum lua’tou sumakit leméngkét an…"
,,Camo waya semangkum semakit
,,"Ato namo tou-tou an tawinu,"
,,Mapisyi mbelen
,,"So ca sengaja kinyatuliannu pakakas tyu, oh sontongngennu en namonu nesa,"
,,"Waya esa en cara rona myusér virus, muas kama maké sabong, pyakelo’, ato alkohol."
,,"Virus rona temang makad 24 jam an dior esa pakakas,"
,,Sabong
,,Éma’an cegan kélé sinyo’
,,"Ané tyu, loor kii’ten"
,,Muas kama maké sabong makad ambi’
,,Siku kama
,,Siaa’m syontong namonu (ato namo sey)
,,Kélé kemantar lagu “ Happy Birthday” maka rua waréngen.
,,An bawa’ sulu
,,Sangapulu’ o rua detik
,,An pabu’un popondol
,,Uwasan an somoy kama
,,Kénsya cara muas kama makaa’d wersi?
,,"So katulian, siam ményéndé’. Pedioren muas kama maké sabong."
,,Sia’am ka tulian an bagéan kesot i masker.
,,Pentakan lua’
,,*Bakteri rona mamuali keli an nuntep masker so talosem uré pinaké.
,,Wangkillem en masker so karasaannu kotorem. Siam pakén en masker lébé asi esa ngando!
,,Pakén lépér sayor
,,Toyang
,,Amang
,,Inang
,,Pakén handuk mengesa-esa.
,,"Siam pakén mebali-wali pakanen, pakakas pakanan, palepan, o handuk."
,,"Co carona tulyinu en namo maké sikunu nesa, epe’ kadén"
,,"So rona, muka’an ato pyalen papalen maké siku ato tongka’."
,,Walé
,,Maka waréngé' an balé pinyontaran
,,So keman nem
,,Mento’ toyo’ uasen en kamanu maké sabong…
,,"Kasampetan,"
,,Taruyan en nowa’ sityu ca saki’tan!
,,Wacan pakasa sisinou tarépé an natas!
,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)"
,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)"
,,"""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020"
,,Referensi  kataré informasi kesehatan:
,,"A yawes cua: émaan pencegahan an komik anio’ sinyo’ paling gampang cemega sakit ma lawé pakasa walina, kélé, flu dan pilek, o musti éma’an se susud nendo, o ma’an cawana waba. Referensi: Nunuwu’ an komik anio’ nyéma’ kumi’it ke’ an COVID 19 aka’d 28 Februari 2020, o kelian nindyo an telu referensi anio’.                                                                                                                                   https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html                                      https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/                                       https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Iyawes Cua: Komik an bentu PDF rona ndyon ambi’:                                                                          https://gumroad.com/weimankowart  En Pedoman Semerar Komik. Komik anio’ rona wyagé  ca wéran an media daring,ato an Whattspp o an Telegram, o rona ndyon ca wéran o cetaken an poster peken nesa ato éma’an paajaren am balé, sekolah o an tampa pa tawoyan.  So magé si komik anio’, taneyan nangé en telu  a patik ambawa’ anyo’:     ﻿1)  Sia’am roban  en gambar komik anio’ é wyage pé.﻿2)  Komik anio’ catoro pya bangkér.﻿3) So wyagé an media social FB, tyulis kredit si myéma’wo cua @weimankowart, wyagé IG @weimankow (IG), ato tyulis kredit si myéma’wo cua instagram.com/weimankow﻿So maké walinya, rangaten sinyo’: comicsforgood@gmail.com"
,,Diterjemahkan dalam bahasa Tontemboan Makelai oleh Pusat Penerjemahan Alkitab-GMIM
,,"Created by Weiman Kow, instagram: weimankow"
,,"Hak cipta © 2020, Weiman Kow  Sia’m sawelan teks materi anio’, ta’an co rona semaléng, ato indyon an kélé sapaké’, o wyagé an bentuk walina, o siam pawangkér. O tyulis si myéma’ anio’ o tulis si penulis o si jemambar komik anio’ Weiman Kou.  An versi Bahasa Inggris, nyéma’ I Paul Frank  So versi asli nyéma’ i Weiman Kow, Instagram: weimankow  Rangatén ambi’:  Website: www.sil-lead.org Facebook: www.facebook.com/sillead/ Youtube: www.youtube.com/silleadinc Email: bloomhelp@sil-lead.org"
UN TOTOZ KATA'UANTA TUMORO U VIRUS CORONA                                                                                    UN TOTOZ KATA'UANTA TUMORO U VIRUS CORONA        ,Sobre el Coronavirus                                                                                    Sobre el Coronavirus        ,"PERLU KALYANTA SO SAPA SI VIRUS CORONA  TONTEMBOAN MAKÉLA'I  Waya esa en perlu kalya’an you kénsya en virus Corona MALAWÉ Semu’d Ngilung Welen Muntep an nuntep Tou  nyaman Tou semakit Virus lemawé so kareputan ni lua’ anio’ Sia’am tatawi.  Co aman ca kareputan lua’ so masére antara 2 m. 1 0,5m - 2m Haaachii!! Ané, so ko semeré tou masekol/masait/sumakit,co rona: Wé’an masker sélya. Ané sélya rona semait/semekol an nuntep maskerna, sityu karun ca lemawé asé tou-tou antawina. 2 Makapulu’sama’ “SROOT” Ato, Semangkum si tou anyo’ ca semakit. Sia waya temaruy nowa’kena. Tou si kinyalawéan nem, semanggkum ca temuru’ myendam, ta’an tetap sakitna lemawé Pakasaan, loor tarén siya’am ma kumpul, éh ca kalyan you so séy-séy sé syémakit. Pakakas pakanan Tou nyaman Patemboyan kereta Kenop lift Tisu Paleppan Eletronik Wo an bagean luar masker Patemboyan tangga Mous Polpén Kenop papalen Kama é lya Ta’an  ma’an kéna, semangkum lua’tou sumakit leméngkét an… Camo waya semangkum semakit Ato namo tou-tou an tawinu, Mapisyi mbelen So ca sengaja kinyatuliannu pakakas tyu, oh sontongngennu en namonu nesa, Waya esa en cara rona myusér virus, muas kama maké sabong, pyakelo’, ato alkohol. Virus rona temang makad 24 jam an dior esa pakakas, Sabong Éma’an cegan kélé sinyo’ Ané tyu, loor kii’ten Muas kama maké sabong makad ambi’ Sabong Siku kama Siaa’m syontong namonu (ato namo sey) Kélé kemantar lagu “ Happy Birthday” maka rua waréngen. An bawa’ sulu Sangapulu’ o rua detik An pabu’un popondol Uwasan an somoy kama Kénsya cara muas kama makaa’d wersi? So katulian, siam ményéndé’. Pedioren muas kama maké sabong. Sia’am ka tulian an bagéan kesot i masker. Pentakan lua’ *Bakteri rona mamuali keli an nuntep masker so talosem uré pinaké. Wangkillem en masker so karasaannu kotorem. Siam pakén en masker lébé asi esa ngando! Pakén lépér sayor Toyang Amang Inang Pakén handuk mengesa-esa. Siam pakén mebali-wali pakanen, pakakas pakanan, palepan, o handuk. Co carona tulyinu en namo maké sikunu nesa, epe’ kadén So rona, muka’an ato pyalen papalen maké siku ato tongka’. Walé Maka waréngé' an balé pinyontaran So keman nem Mento’ toyo’ uasen en kamanu maké sabong… Kasampetan, Sabong Taruyan en nowa’ sityu ca saki’tan! Wacan pakasa sisinou tarépé an natas! ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020) ""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020 Referensi  kataré informasi kesehatan: A yawes cua: émaan pencegahan an komik anio’ sinyo’ paling gampang cemega sakit ma lawé pakasa walina, kélé, flu dan pilek, o musti éma’an se susud nendo, o ma’an cawana waba. Referensi: Nunuwu’ an komik anio’ nyéma’ kumi’it ke’ an COVID 19 aka’d 28 Februari 2020, o kelian nindyo an telu referensi anio’.                                                                                                                                   https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html                                      https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/                                       https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Iyawes Cua: Komik an bentu PDF rona ndyon ambi’:                                                                          https://gumroad.com/weimankowart  En Pedoman Semerar Komik. Komik anio’ rona wyagé  ca wéran an media daring,ato an Whattspp o an Telegram, o rona ndyon ca wéran o cetaken an poster peken nesa ato éma’an paajaren am balé, sekolah o an tampa pa tawoyan.  So magé si komik anio’, taneyan nangé en telu  a patik ambawa’ anyo’:     ﻿1)  Sia’am roban  en gambar komik anio’ é wyage pé.﻿2)  Komik anio’ catoro pya bangkér.﻿3) So wyagé an media social FB, tyulis kredit si myéma’wo cua @weimankowart, wyagé IG @weimankow (IG), ato tyulis kredit si myéma’wo cua instagram.com/weimankow﻿So maké walinya, rangaten sinyo’: comicsforgood@gmail.com PERLU KALYANTA SO SAPA SI VIRUS CORONA  Diterjemahkan dalam bahasa Tontemboan Makelai oleh Pusat Penerjemahan Alkitab-GMIM  Created by Weiman Kow, instagram: weimankow  Hak cipta © 2020, Weiman Kow  Sia’m sawelan teks materi anio’, ta’an co rona semaléng, ato indyon an kélé sapaké’, o wyagé an bentuk walina, o siam pawangkér. O tyulis si myéma’ anio’ o tulis si penulis o si jemambar komik anio’ Weiman Kou.  An versi Bahasa Inggris, nyéma’ I Paul Frank  So versi asli nyéma’ i Weiman Kow, Instagram: weimankow  Rangatén ambi’:  Website: www.sil-lead.org Facebook: www.facebook.com/sillead/ Youtube: www.youtube.com/silleadinc Email: bloomhelp@sil-lead.org  "
