,row,eng
0,So'al Koronavirus,About Coronavirus
1,,
3,,
4,Hambu 'aka' 'a dala' ESA fo hei parlu mihine so'al ta'o bee fo koronavirus a,There's only ONE thing ﻿you need to understand about how a coronavirus
5,dai atahori hetar.,SPREADS
6,bafa ma,Mouth
7,mbana ma,Nose
8,mata ma,Eyes
9,maso' nisi',Get into your
10,Atahori nda mamahed'i' sa,Healthy Person
11,Atahori mamahed'i',Sick Person
12,"Virus a dai atahori, lele' oe titi' ia ra,",The virus spreads when ﻿these droplets
13,Mu'ud'od'oo'! Meter 2 fo fe'e na nda dai oe titi monae' sa.,Keep your distance.﻿2m will keep you safe from large droplets.
14,1,1
15,meter 2,2m
16,Acii!,Achoo!
17,"Dad'i, mete ma mita atahori esa boo, 'esufani, namahed'i na:",So if you see someone who is visibly coughing/sneezing/sick you can choose to:
18,"Fee se masker. Ara bisa boo do 'esufani neu e, naa fo 'afi' dai atahori mana deka-deka' ra.",Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby.
19,2,2
20,Makasi nae'!﻿*boo ho'u-ho'u*,Thank you﻿*sniffles*
21,"DO,","OR,"
22,Mbei ma ana nda namahed'i sa te ana  nanea ao na mia hed'is.,"Maybe she's not sick, just protecting herself"
23,"La'e faa na atahori mana dai koronovirus a nda natud'u tanda sa, te ana bisa tao atahori laen dai koronavirus.","People who are infected can show no symptoms, but are still﻿infectious"
24,"Boe ma, malole lena' mu'ud'odoo' mia atahori mana ma'ab'ub'ue' ra, huu nda muhine atahori bee mamahed'i' sa.","And in general, it's a good idea to avoid crowds, because you don't know who might be sick."
25,Susurut,Chopsticks
26,Atahori nda mamahed'i' sa,Healthy person
27,Toto'u' sia Kareta do bemo,Train straps
28,Lift a tetendes na,Lift buttons
29,Tisu,Tissues
30,Mok,Cups
31,Sud'i' a saa elektronik,Digital devices
32,& hita masker na dean boe.,& even on the outside of your face mask
33,Tangga ra toto'u na,Stair bannisters
34,Mous,Mouse
35,Bolpoin,Pens
36,Lelesu toto'u na,Door knobs
37,Lima na ra,Their hands
38,"Te la'e faa na, atahori mamahed'i' esa mirun bisa dai sud'i a saa laen ra.","However, sometimes a sick person's saliva can get on other things…"
39,Basa nggi bisa mimihed'i.,you might all fall sick.
40,do atahori fo hoo sue' ra mata na ra.,or your loved one's face
41,"'o'ose mata ma ra,",rub eyes
42,"Ma mete ma, hoo nda sangaja sa, te nggama dai sud'i 'a saa, naa ra, basa ma nggama mata ma,","And if you do touch any of these things by accident, and then touch your face,"
43,"ma hambu 'aka' dala malole' esa fo tamopo' virus ra, naeni safe hendi se tendi' sab'u, pemutih, do alkohol.","and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol."
44,"Virus ra bisa ra'atataa' losa jam hira sia sud'i 'a saa ra,","Viruses can last for quite a few hours on objects,"
45,Sab'u,soap
46,,precautions
47,Naa de malole lena' ata tao tungga dala-dala pencegahan ia ra.,Which is why it is also good to follow these
48,Safe mendi' sab'u losa ia.,wash with soap up to here
50,Lima buku',elbow
51,"'Afi' nggama mata ma. (Do atahori laen mata na ra.) Mete ma hoo musi nggama, na, safe malolole basa lima ma ra mendi' sab'u dei.","Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first."
52,Naa doo na 'ona' hita sod'a sosod'a fai bob'onggi' lao rua.,Enough time to sing “Happy Birthday” twice
53,Lima 'u'u' ra rala na.,under the nails
54,Losa detik 20.,for 20 seconds
55,Safe lima 'u'u ma ra talad'a na ra.,between the fingers
56,Safe lima ma ra dea na ra.,wash the back of your hands
57,Safe malolole na 'ona' bee?,What is thoroughly?
58,"Mete ma nggama dai masker a dea', na, 'afi' dud'ua nae'. Sad'i basa na safe lima ma ra mendi' sab'u.","If you did, don't worry. Just wash your hands with soap after."
59,"Boe ma, kalo bisa na 'afi' nggama masker a dea'.","Also, don't touch the outside of the mask if you can."
60,Oe titi' ra.,droplets
61,*Bakteri ra mori sia masker ra rala' mete ma hita pake se losa doo' talalu.,*Bacteria grows on the insides of your mask if you wear them too long
62,"Nggari hendi masker ra, mete ma rasa ara manggenggeo' ena. 'Afi' pake se lena' fai esa.",Throw away masks once they feel gross. Don't wear them for more than a day!
63,Pake sosod'et.,Use a serving spoon
64,Anadiki',Baby
65,Papa,Daddy
66,Mama,Mommy
67,Esa' handuk na.,Everyone gets their own towel
68,"'Afi' mia mi'ib'ue nanaat, ma pake mi'ib'ue sud'i 'a sa ra, mok, handuk.","Do not share food, utensils, cups, towels."
69,"Mae hoo sob'a o, hoo nda bisa nggama mata ma mendi' lima buku ma sa.",You can't touch your face with your elbow even if you tried
