,snl,ceb,eng
0,Mga Pamadareng Jà Taya Makaesé COVID-19,Mga Pamaagi Aron Malikayan Ang Pagkalat Sa COVID-19,Mga Pamaagi Aron Malikayan Ang Pagkalat sa COVID-19
1,,,
5,,"Image on page Front Cover by pixabay, © 2020 pixabay. CC BY-NC-SA 4.0. Image on page 1 by International Illustrations; The Art Of Reading 3.0, © 2009 SIL International. CC BY-SA 4.0. Images on pages 2–4 by Meriel Quitco, © 2020 Meriel Quitco. Image on page 5 by World Health Organization, © 2019 Alec P Estalila. Image on page 6 by World Health Organization, © 2019 Alec P Estalila. CC BY 4.0. Image on page 7 by meriel quitco, © 2020 meriel quitco. CC BY-NC-SA 4.0. Image on page Front Cover by pixabay, © 2020 pixabay. CC BY-NC-SA 4.0.",
7,,Meriel Quitco,
8,,Alec P Estalila,
10,,,
11,Ménteng mangurasé lima su aké wuru sabunang sarang 20 ka segundo. ,Hugasi kanunay ang imong kamot sa tubig ug sabon sa sulod sa 20 segundo.,Ménteng mangurasé lima su akè wuru sabunang sarang 20 segundo.
13,"Aŕiyè tambinay gatinu, labinete matanu, iŕung ẃuru moŕong bila ikaw taya deng nangurasé limanu.","Ayaw hikapa ang imong nawong labi na ang imong mata, ilong ug baba kung wala pa nahugasi ang imong kamot.","Aŕiyè tambiney gatinu, labinete matanu, iŕung wuru morong bila kaw taya deng nangurasé limanu."
15,Kadaitange mérure mask bila sumébang bò u ẃaŕe.,Kinahanglan mag-mask kung mugawas sa balay.,Kadaitange mérure mask bila sumébang su ẃaŕe
17,"Aŕiyè kaẃuŕenay papélinisé mga apa pupantageng su ẃaŕe kéŕe lamisa, tukadé, selfon ẃuru mga apa sénggà.","Ayaw kalimti paglimpyo sa mga gamit sa balay sama sa lamisa, pultahan, selfon ug uban pa.","Aŕiyè kaẃurenay papélinisé mga apa su ẃaŕe piyà kapantagé keŕe su lamisa, tukadé, cellphone..."
19,Aŕiyè pakasandigé su mga tawmata sénggà.  Péténgkaŕaw bò isiŕe mga séndépa mawaŕa karawne. ,Ayaw pagpaduul sa ubang mga tawo.  Pagpalayo ug 1 ka metro kalayo. ,Ipakaŕaw katiyò ẃatangengu bòu mga tawmata sénggà mga séngkametro karaw.  Aŕiyè pusasandigé su mga tawmatane.
21,Panginung bitamina ẃuru kang mga kaẃaẃiyaré mépakabagé awà kéŕe dukù ẃuru prutas.,Inum ug bitamina ug kaon ug mga pagkaon nga makabaskug sa lawas sama sa utanun ug prutas.,Panginung bitamina wuru kumang mga kaẃaẃiyaré mépakabagé awà keŕe mga dukù wuru prutasé
23,"Daringiray méntì mga balita bò u mga opisyalé ẃuru mga kaŕangetang jà ikaw taya matakù, nu mga balita sénggà taya bénaŕe. ",Pamatia lang ang mga balita gikan sa mga opisyal ug mga lider aron dili ka mataranta kay ang ubang mga balita dili tinuud. ,Dumaringiré méntì mga uŕì bòu mga kaŕangetang wuru mga baŕagéaŕé nu laẃò mga uŕì taya bénaŕe.  Jà kaw taya mataranta.
24,,Thanks to Ana Tacabil and friends who helped in translating this booklet into the Sangil Language. ,
26,"Mga Pamadareng Jà Taya Makaesé COVID-19    Mga Pamadareng Jà Taya Makaesé COVID-19       Ménteng mangurasé lima su aké wuru sabunang sarang 20 ka segundo.   Aŕiyè tambinay gatinu, labinete matanu, iŕung ẃuru moŕong bila ikaw taya deng nangurasé limanu.  Kadaitange mérure mask bila sumébang bò u ẃaŕe.  Aŕiyè kaẃuŕenay papélinisé mga apa pupantageng su ẃaŕe kéŕe lamisa, tukadé, selfon ẃuru mga apa sénggà.  Aŕiyè pakasandigé su mga tawmata sénggà.  Péténgkaŕaw bò isiŕe mga séndépa mawaŕa karawne.   Panginung bitamina ẃuru kang mga kaẃaẃiyaré mépakabagé awà kéŕe dukù ẃuru prutas.  Daringiray méntì mga balita bò u mga opisyalé ẃuru mga kaŕangetang jà ikaw taya matakù, nu mga balita sénggà taya bénaŕe.   ","Mga Pamaagi Aron Malikayan Ang Pagkalat Sa COVID-19    Mga Pamaagi Aron Malikayan Ang Pagkalat Sa COVID-19 Image on page Front Cover by pixabay, © 2020 pixabay. CC BY-NC-SA 4.0. Image on page 1 by International Illustrations; The Art Of Reading 3.0, © 2009 SIL International. CC BY-SA 4.0. Images on pages 2–4 by Meriel Quitco, © 2020 Meriel Quitco. Image on page 5 by World Health Organization, © 2019 Alec P Estalila. Image on page 6 by World Health Organization, © 2019 Alec P Estalila. CC BY 4.0. Image on page 7 by meriel quitco, © 2020 meriel quitco. CC BY-NC-SA 4.0. Image on page Front Cover by pixabay, © 2020 pixabay. CC BY-NC-SA 4.0.  Meriel Quitco Alec P Estalila   Hugasi kanunay ang imong kamot sa tubig ug sabon sa sulod sa 20 segundo.  Ayaw hikapa ang imong nawong labi na ang imong mata, ilong ug baba kung wala pa nahugasi ang imong kamot.  Kinahanglan mag-mask kung mugawas sa balay.  Ayaw kalimti paglimpyo sa mga gamit sa balay sama sa lamisa, pultahan, selfon ug uban pa.  Ayaw pagpaduul sa ubang mga tawo.  Pagpalayo ug 1 ka metro kalayo.   Inum ug bitamina ug kaon ug mga pagkaon nga makabaskug sa lawas sama sa utanun ug prutas.  Pamatia lang ang mga balita gikan sa mga opisyal ug mga lider aron dili ka mataranta kay ang ubang mga balita dili tinuud.  Thanks to Ana Tacabil and friends who helped in translating this booklet into the Sangil Language.  ","Mga Pamaagi Aron Malikayan Ang Pagkalat sa COVID-19    Mga Pamaagi Aron Malikayan Ang Pagkalat sa COVID-19       Ménteng mangurasé lima su akè wuru sabunang sarang 20 segundo.  Aŕiyè tambiney gatinu, labinete matanu, iŕung wuru morong bila kaw taya deng nangurasé limanu.  Kadaitange mérure mask bila sumébang su ẃaŕe  Aŕiyè kaẃurenay papélinisé mga apa su ẃaŕe piyà kapantagé keŕe su lamisa, tukadé, cellphone...  Ipakaŕaw katiyò ẃatangengu bòu mga tawmata sénggà mga séngkametro karaw.  Aŕiyè pusasandigé su mga tawmatane.  Panginung bitamina wuru kumang mga kaẃaẃiyaré mépakabagé awà keŕe mga dukù wuru prutasé  Dumaringiré méntì mga uŕì bòu mga kaŕangetang wuru mga baŕagéaŕé nu laẃò mga uŕì taya bénaŕe.  Jà kaw taya mataranta.  "
