,cak,zaw,spa
0,Ka'i' oxi' tzij pa ruwi' ri coronavirus,Yälguijch guichgaroore nani laa “coronavirus”,Sobre Coronavirus
1,,,
2,Ruchituy Tijonïk richin Paxil Kayala' Tijonïk pa ka'i' Ch'ab'äl pa ka'i' B'anob'äl,,
3,Ri k'atzinel nawetamaj pa ruwi' re coronavirus ja re',,
4,Xa niq'axaj ri' ja ri nk'iyär,,
5,Re itzel yab'il re' niq'äx ri' chi kikojol re winaqi' rik'in ri ak'axëj.,,
6,Pa ruchi',,
7,Pa ruwäch Pa rutza'm,,
8,ye'ok,,
9,Jun ütz winäq,,
10,Ri yawa' winäq,,
11,Nuq'axaj ri yab'il ruma re taq tz'uj ya',,
12,Toq yatat'ixäm chunaqaj jun chïk winäq ri a k'axäj nb'iyin ruma ri' k'atzinel chi:,,
13,"Taya' a kojol K'atzinel chi ri a kojolil ja ri ka'i' metro, richin man napon ta ri ak'axäj rik'in jun chik winäq . ",,
14,1,,
15,1m -2m,,
16,¡Atixäm!,,
17,"Takusaj jun tz'apib'äl Rik'in re' kan man jun ruk'ayewal yatojb'är chuqa' yatat'ixäm, xa ye'ato' konojel ri e k'o chi anaqaj.",,
18,2,,
19,Matyox,,
20,Ruma ri' k'atzinel nakusaj jun tz'apib'äl chi'aj,,
21,"Rik'in re yab'il re' man ruk'amon ta nib'an moloj, man ütz ta ri natun awi'.",,
22,Rik'in jub'a' e k'o winaqi' man e yawa' ta po k'o chi  nikichajij ki' .,,
23,"E k'o winaqi' kik'wan chïk ri yab'il po man kan ta nikik'ut, man rik'in wi ri' nikiq'axaj ri yab'il chike ch'aqa chïk.",,
24,Ri winaqi' e yawa'i' nikiya' kik'axäj pakiwi' re chuxtäq re'...,,
25,Re pitz'b'äl e k'o pa nima'q taq jay,,
26,su't,,
27,qumb'äl,,
28,Re ch'aqa samajb'äl re',,
29,chuqa' chirij ri tz'apib'äl chi'aj.,,
30,chapab'äl q'ab'aj,,
31,Ri samajib'äl richin kematz'ib',,
32,tz'ib'abäl,,
33,chapab'äl,,
34,Ri q'a'aj,,
35,"Chuqa' yayawäj wi man nana' ta nachop ri apaläj, ",,
36,Ke re' toq nak'än re yab'il re'.,,
37,Wi ye'achop ri awäch.,,
38,Wi namäl ri apaläj.,,
39,"Re yab'il re xa nk'ïs el chikij ri chuxtäq k'a pa ka'i' oxi' nima'q ramaj,",,
40,Ja' k'o chi ye'ach'äj ronojel chuxtäq rik'in ya' chuqa' xab'on richin yeköm re yab'il re'.,,
41, K'o chi nakusaj xab'on.,,
42,wo'o' taqonïk re',,
43,Ruma ri' yalan k'atzinel chi niqab'än re',,
44,"Mani nachäp ri apaläj. Wi xa rik'in jub'a' xachäp, k'o chi nach'äj jeb'el rik'in ya' chuqa' rik'in xab'on.",,
45,Tach'aja' rik'in xab'on re aq'a'.,,
46,xab'on,,
47,K'a pa atz'ik,,
48,¿Achike ri kan yalan ruk'amon niqab'än?,,
49,"Tach'aja' jeb'el ri aq'a', yatane' k'a nab'ixaj na ka'i' mul ri ""jeb'el xk'o a juna'.",,
50,Chuqa' chikixe' awixk'äq.,,
51,  Yatane' k'a pa 20 ch'uti ramaj,,
52,Chuqa' ronojel rukojol ruwi' aq'a'.,,
53,Ütz ruch'ajik ' ronojel rij ri aq'a'.,,
54,"Wi ri tz'apib'äl achi' k'iy mul yan xakusaj k'o chi nak'äq el, k'o chi nakusaj chïk jun k'aka'.",,
55,"Wi rik'in jub'a' xachäp rij ri tz'apib'äl, mani naxib'ïj awi', xa k'o chi nach'äj ri aq'a' rik'in ya' chuqa' xab'on.",,
56,Chuqa' mani nach'op rij ri tz'ap'b'äl.,,
57,xa k'o k'axäj chirij,,
