,spa,eng,nxl,ind
0,Sobre el Coronavirus,About Coronavirus,,Anamanae rerihoni Virus Corona
1,,,,
2,,,Diterjemahkan oleh: Huna Matoke dan Rosemary Bolton,
3,,,,
4,,There's only ONE thing ﻿you need to understand about how a coronavirus,Kahurae ianei rerihoni sapani na virus corana,
5,,SPREADS,RENAE,
6,,Mouth,Hohari,
7,,Nose,Okori,
8,,Eyes,Matari,
9,,Get into your,Renusu na pani,
10,,Healthy Person,Ia wain ikupu tewa,
11,,Sick Person,Ia kupue,
12,,The virus spreads when ﻿these droplets,Virus renae sani apana na oko tin-tinia rapeu,
13,,Keep your distance.﻿2m will keep you safe from large droplets., na isaka ruata arihoni sae waron rapeu,
14,,1,,
15,,2m,"Meter 2-0,5",
16,,Achoo!,Haaach!!!,
17,,So if you see someone who is visibly coughing/sneezing/sick you can choose to:,"Reiso sani anoo ia isa wain iakihuha te iasinara te ikupui, mo, kahuraesaka na:",
18,,Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby.,Rui nipa sinte wani renete hohari na okori (masker). Na oakihuha te iasinara renete hohai na renete ia sia man wain ihainekei.,
19,,2,,
20,,Thank you﻿*sniffles*,Uainisi iake arihonia ano wani asinara,
21,,"OR,",,
22,,"Maybe she's not sick, just protecting herself","Kani ikupu tewa, ne hasae nani inete ruai.",
23,,"People who are infected can show no symptoms, but are still﻿infectious","Ia waini isupu virus rei nea mo, inoo tewa ata wain ikupui. Ne masike san rei bisa renae sinia.",
24,,"And in general, it's a good idea to avoid crowds, because you don't know who might be sick.","Nene iake mo, hainau arihon mansia hutue. Tau ianei tewa ata ia sia sahoro ikupui.",
25,,Chopsticks,Sondo te sae wani ipakei tau iai,
26,,Healthy person,Ia waini ne patane maka-makae,
27,,Train straps,Mamrime noi kereta api,
28,,Lift buttons,Tampa iese na ihuka mitanunue na ihukai,
29,,Tissues,Tisu,
30,,Cups,Koinanae,
31,,Digital devices,Sani Hp te komputer,
32,,& even on the outside of your face mask,Nipa sinte wani ipakei na renete hohari okori rei nene muie.,
33,,Stair bannisters,Oane nene mamrime,
34,,Mouse,Maisene tau komputer,
35,,Pens,Pena te pensil,
36,,Door knobs,Mitanunue nene hanae,
37,,Their hands,Hanao atua,
38,,"However, sometimes a sick person's saliva can get on other things…","Masike sapan iae sio kupua no tunna mo, bisa rakina tau apia san;",
39,,you might all fall sick.,Pusimo bisa okupumo.,
40,,or your loved one's face,Te oakahuu ia isa wain anom runai uai anoe.,
41,,rub eyes,Oasioi matamo usena,
42,,"And if you do touch any of these things by accident, and then touch your face,","Na sani anei tewa ne akahuu apia waron sinasi rei, oyo akahuu uam anoe.",
43,,"and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol.","Onina na virus rei tihoniki mo, kahurae osohu apia rai tau saponi, bayklin, te alkohol.",
44,,"Viruses can last for quite a few hours on objects,",Virus bisa reruei noi apia rai yam nimasa te wanusa san rei.,
45,,soap,Saponi,
