,eng,mlw,fra
0,What you need to know about the CORONAVIRUS or COVID-19,Ale aməgəsaka aməsəre nəvá kə koronavəyrəws aka Koronavəyrəws bəyɗu kovəyd-19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
1,,,
2,,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
5,,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
8,,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
10,,,
11,                    SUMMARY,                      MA TOFL GA,                                                  SOMMAIRE
12,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,-Koronavəyrəws -Ndam məsəye avəya ahay -Məwere ahay -Məjəve anga koronavəyrəws -Məjəgorakəvá va ná memey? -Asa ajəvan avá ana məze ná məgəye na ahàŋ ná memey? -Məpəseke ma ahay məgəye gar ahayga  ,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
16,p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3 p.4 p.5 p.6  p.8 p.9,p.2 p.3 p.4 p.5 p.6 p.7 p.8
17,"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Koronavəyrəws  Koronavəyrəws ná, sləmay aháŋ ese ɗəw ná, kovid-19. Ndahan ndana vəyrəws wawəyga, angazlava cecəkem ná a Səyn, məndəye 31 anga kəya hazlav məvəye 2019. Məwere ahàŋ ná azavá nə anga mədegeŋ nata a slam enen ava ɗəw asa adəla gədan avá ná, azala meməɓəsem. Awəɗəvá kə wəyen ahay aka góbay, hərwəyen həddek. Ale amazala cəje ndana məsəre va ga bay.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
20,Elderly person,Məze aməgarəvá məvəye,Personne âgée
22,Person with a heart condition or disease,Məze aməgarəvá cəje a ɓərav bəyɗəw aməsəye avəya nə cəje,Personne cardiaque ou souffrant de maladie
23,"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Ndam məsəye avəya ahay Məze ahay aməgarəvá məvəye kó weley weley bom nata babəza ahay jəyga, vəyrəws wawəyga nehe ná, anjavá aməjəvata. Məze ahay aməgarəvá məvəye nata məze ahay amanday aməsəye avəya nə cəje ɓáɓa fan  ká: Cəje aməsləkəce məze (asme), cəje a ale pəɗococga (diabete), cəje a ɓərav (cardiaque), cəje amədəgele (l’hypertention arterielle). Məze ahay nehe ná asa vəyrəws ná, asa agas ta ná, azakataka ná gam.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
26,Fever Fatigue,-məbiye oko kavaka -məyeɗe,- Fièvre - Fatigue
