,eng
0,Protect yourself from COVID-19 with PPE (Personal Protective Equipment)
1,"Elizabeth is wearing her homemade PPE: a robe, cleaning gloves, a shower cap, a mask, and safety goggles."
2,Hannah Hudson
3,SIM By Prayer Logo
4,"This book is based on content from a video training series produced by SIM International. It is available at https://bit.ly/church-response-covid19. The training is designed for church leaders and lay volunteers, particularly those in contexts where medical resources are limited, medical PPE is unavailable and resources are in short supply. The four-part training aims to equip churches to participate in a gospel-based response to the physical, emotional and spiritual impacts of COVID-19 in communities.  SIM healthcare professionals have reviewed and approved the contents of this version for accuracy. For any questions regarding the use of the original material, contact SIM International at international.covidequip@sim.org."
5,Anyone who is visiting or caring for a COVID-19 patient at home will need Personal Protective Equipment or PPE. PPE can be made from common materials found in your home or at the market. You don't need a fancy white or yellow suit unless you are in the same room as someone on a special breathing machine.
6,Someone is standing and facing the camera wearing a professional PPE suit complete with respirator. There is a circle around them with a slash through it.
7,"To protect yourself adequately, you will need: · Hat or Shower Cap · Face Shield or Mask and Glasses · Gown that covers your torso, arms, and legs · Gloves · Boots (only if you are working with urine or feces)"
8,"Two hands are stapling foam, elastic and plastic film together to make a face shield."
9,
10,"There are many ways to fashion PPE out of common everyday objects. In the picture above, someone is creating a face shield out of plastic film, foam, elastic, and a stapler.  Let's meet some individuals who have created their own PPE out of common household objects."
11,"Benaya is standing in his homemade PPE - a rainjacket, cleaning gloves, and a face shield."
13,"Hi, my name is Benaya. I'm wearing gloves, a raincoat, a cap, and a face shield. I made this [face shield] out of foam, plastic sheeting, and elastic and stapled it all together."
14,"Merri is wearing her homemade PPE: a choir robe, cleaning gloves, and a hard hat with plastic film glued on to the front. She is pointing to her sleeves that she's tied closed with string."
15,"My name is Merri. I am wearing a choir robe from my church. As you can see, I tied my sleeves in with string from the market. I'm also wearing cleaning gloves from the market, and on my head I have face protection made from a hard hat with some plastic from the market glued on."
16,"Louis-Claude is wearing his homemade PPE. It consists of a shower cap, a bandana, cleaning gloves, and a backwards bathrobe."
17,"Hello my name is Louis-Claude. I am wearing some gloves, a men's bathrobe that is backwards, a bandana for a mask, plastic glasses, and a cap. "
18,"Maria is wearing her homemade PPE consisting of: a shower cap, cleaning gloves, a long-sleeved shirt put on backwards, and a garbage bag that she's tied in the back to cover her torso."
19,"I am Maria. I am wearing a black garbage bag that I tied on the back. I am wearing a man's shirt, backwards, to protect my arms. I am wearing a mask and glasses and a hat. I could also wear swimming goggles that I found in the market."
20,"Elizabeth is wearing her homemade PPE consisting of: a shower cap, a mask, plastic safety goggles, cleaning gloves, and a backwards robe."
21,"I'm Elizabeth. I'm wearing a ladies' robe, backwards. I'm wearing a mask. I'm also wearing plastic glasses and a cap on my head."
22,"Dave is wearing his homemade PPE. It includes a long-sleeved shirt that he is wearing backwards. He has sewn extra cloth at the bottom of the shirt to provide more protection. He is also wearing cleaning gloves, and a cap with plastic stapled to the brim."
23,"Hi there, my name is Dave, and I'm wearing a men's shirt that I'm wearing backwards and I've sewn an extra piece of cloth to make it longer. I'm wearing cleaning gloves and I've also fashioned a face shield out of a piece of plastic stapled to an old baseball cap."
