,eng,cuv,fra
0,What you need to know about the CORONAVIRUS or COVID-19,Jə masa akwar da səna da yaŋ KAWRAWNAVIRUS daha aabay KAWVID-19,
1,,,
2,,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
5,,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
8,,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
10,,,
11,                    SUMMARY,                YAŊ TA MA ANA HAY,                                                  SOMMAIRE
12,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,"- Kawrawnavirus - Ndah masa kawrawnavirus ana a zlafa metəhezeceŋ - Jene hay te meɗel mehecey ana - Mezev ta kawrawnavirus - Anda da lalkakwa vaw tandakwa sə, memey? - Anda da ŋgakwa gwagumaw daha andakwa eve mehecey ana cay? - Maŋguzad ma da yaŋ ma hay mazləla",- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
16,p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2  p.3 p.4 p.5   p.6  p.8 p.9 ,p.2 p.3 p.4 p.5 p.6 p.7 p.8
17,"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Kawrawnavirus  Kawrawnavirus sə, aca zaliya saya KAWVID-19, aŋga mawzarɗay waya. E zlerek macaaca ana dapa vavara ta Sinuwa hay da hwaɗ ta manah 31 ta kiya ta Mafaɗ 2019. Jə masa e ŋguzdek vaw kad a vəda ndana hay da səniya anjəkar aŋga ana sə, ara madama, a zlafa mahwad nda kad pa maməc masa e teh bay. Aŋga makwakwaca mabay dapa vavara fakwanay. Mehecey ana masa e zlerekey sə, ndana a səniya bay heley.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
20,Elderly person,Nda masa aŋga ava mavay cay,Personne âgée
22,Person with a heart condition or disease,Nda masa rav tata e ŋgel zef zef daha aabay nda masa mehecey ana a tərda bay,Personne cardiaque ou souffrant de maladie
23,"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Ndah masa kawrawnavirus ana a zlafa metəhezeceŋ Kwa nda masa aŋga ava mavay wula wula fakwanay sə, mehecey waya ana nesey a zlafa matəhaziya. Ndah masa ac ava mavay va ndah eve mehecey hay masa ac ava aŋga dapa vaw dəga zleezle (madama ta rav, mehecey ta sukar, mehecey masa a ŋgal rav, mehecey masa a ŋgal rav a ɓərazla nda) aca zlafa meteɗ zef kad pe mehecey mahwalhwala ana masa a lal nda mafay ta mazarɗay ana nesey.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
26,Fever Fatigue,-Map kwakwaw fa vaw -Meyəvey,- Fièvre - Fatigue
28,Dry cough Muscle aches and pains,-Majajahw uway -Mefətes hay ece hec zef zef,- Toux sèche - Douleurs musculaires
29,"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Jene hay te meɗel mehecey ana Jene hay masa anda ɗalakwa fa ndah masa ac eve mehecey ana sə, jeŋ ana hay ac ara madama: Map kwakwaw fa vaw, majajahw uway, mefətes hay ece hec zef zef, meyəvey. Ndah kwabay hay dərziya vaw e hececeŋ, madazl həteŋ, hətaŋ e gejə jajaja, maŋgwarlam e hecey, mehed da hwaɗ. Ndah dərziya kwa ac eve mehecey ana amaa mehecey ana e sən vere ec aabay, ac manjaha werwer. Ndah dərziya ece mbəl dapa mehecey ana, amaa kwa ac ka ŋgat menjev mekele aabay.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
31,Person with a cough,Nda masa a jajahw uway,Personne qui tousse
32,"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Mezev ta kawrawnavirus Kawvid-19 e zəvek sə, jaka pa ndah masa ac ava mazarɗay ana ɓa. Daha nda gwabay a jajahw uway, a ŋgə weɗcew, e cəhek slesleɓ jaka pa hətaŋ daha aabay jaka pə ma. Daha ndana a səɗak slesleɓ ana kad hwaɗ, a zlafa maŋgat kawrawnavirus ana cay. Daha ndana e jejəhwek jene masa mehecey ana fətiya ɓa cay jaka pe slesleɓ ana hay va daha a ɓəla ndey hay, hətaŋ daha aabay ɗaf ta ma sə, a zlafa mazəvafa mehecey ana cay.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
37,How to protect yourself,"Anda da lalkakwa vaw tandakwa sə, memey?",Comment se protéger ?
38,"1. Avoid touching eyes, nose, mouth.","1. Maŋgəlana vaw ta maɓəla ndey, hətaŋ, ɗaf ta ma.","1. Eviter de se toucher les yeux, le nez, la bouche."
40,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,"2. Mapana ha cəɗem cəɗem ava yam mambəla ana va savaŋw. Ava dəɓa ana, matəkwaɗa ava rəkwat mambəla ana.",2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
42,3. Cough and sneeze into the crook of your arm. ,3. Majajahw uway va meŋgə weɗcew a hwaɗ ta maandalakw ta ha.,3. Tousser et éternuer dans le creux de son bras.
44,4. Avoid eating raw meat and touching live animals.,4. Maŋgəlana vaw mandə slaw dendeɓek va mapafa ha gənaw hay masa ec eve ndey.,4. Eviter de manger de la viande crue et de toucher des animaux vivants.
49,5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,"5. Manjah da cak ta nda masa a jajahw uway daha aabay e ŋgə weɗcew sə, a lada walaŋ dapa taɓa de ŋgə aabay aabay meeter amta. ",5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
51,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,"6. Magərda megweɗ fa vaw ava macam ha. A lada megweɗ fa vaw sə, ava madərazl yaŋ daha aabay ava ma war.",6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
53,7. Avoid gatherings. ,7. Magərda makwas vaw hay.,7. Eviter les rassemblements.
55,8. Restrict movement.,8. Magərda maŋgway hay masa taambəla.,8. Limiter ses déplacements.
57,9. Keep informed and verify the source of information.,9. Manjah dapa macak zləmay va macəna slaslalay ta ma hay masa ndana hay ta gwaɗiya.,9. Se tenir informé et vérifier la source de ses informations.
58,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,Anda da ŋgakwa gwagumaw daha andakwa eve mehecey ana cay? Daha akwar eve meɗeley ana hay nesey: - Magərda madərazl vaw ava ndah mekele. - Manjah da wunam. - Mazal numerew nesey 1510 va macak zləmay fa ma hay masa daɓətar ta gwaɗakwar. Numerew hay mekele kana ɓa saya:,Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
60,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Ta pəsna nesey sə, menjev masa ta mambəl mehecey ta KAWVID-19 sə, aabay heley amaa ndah ta gwaməna hay aca yah wewer hay mekele mekele ta mambəl ndana hay ava aŋga.Kwa waawa da njah bay ta yaŋ tata va mayah wewer hay mambəla ana ta majal vaw tata va ndah da cak tata.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
65,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Maŋguzad ma da yaŋ ma hay mazləla   Mehecey te bef: mehecey te mesfen masa a kəɗa nda. Diyabet : mehecey ta sukar masa aŋga gaa dapa bembez. Madama ta hətaŋ: hətaŋ masa e gejə jajaja Maŋgat mehecey: nda masa mehecey ana ka zəvafa mehecey. Madama: mehecey, madama. Meɓerzley: bembez ka ɗahata elehey dapa dəmbazl te bembez ana a zlafa mahway sabay. Nda masa aŋga eve mehecey: nda masa mehecey ana ka təhaza avəda. Mezəvey: mehecey, mehecey masa e zəvey kad fa ndana hay gaa. Nda gwabay: nda masa aŋga mambəla ana aabay. Manjah gaa: cəɗem cəɗem, a yaŋ a yaŋ, e dey fəma fəma. E ŋgey: a zlafa, e səney. Meɗeley: meɗel te mehecey ana. Membəley: mambas mehecey, menjev hay. ","Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
67,,,"Jə masa akwar da səna da yaŋ KAWRAWNAVIRUS daha aabay KAWVID-19 © CABTAL, 2020"
