arg,eng
Lo coronavirus,About Coronavirus
,
,
Nomás te cal entender UNA cosa sobre cómo CORRE un coronavirus,There's only ONE thing ﻿you need to understand about how a coronavirus
,SPREADS
boca,Mouth
nariz,Nose
uellos,Eyes
arriban ta los tuyos,Get into your
Persona sana,Healthy Person
Persona infectada,Sick Person
Lo virus corre quan estas gotichonas,The virus spreads when ﻿these droplets
Queda-te leixos. A dos metros serás a salvo d’as gotetas mas grans,Keep your distance.﻿2m will keep you safe from large droplets.
1,1
2m,2m
Achús!,Achoo!
"Per ixo, si veyes a belún que ye tusindo / estarnudando / malaudo",So if you see someone who is visibly coughing/sneezing/sick you can choose to:
Da-les una careta. Pueden tusir u estarnudar en ella y protechen a totz los d’alredor.,Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby.
2,2
Gracias ﻿*snif*,Thank you﻿*sniffles*
U,"OR,"
"Talment no siga malauda, nomás ye protechendo-se","Maybe she's not sick, just protecting herself"
"Las personas infectadas puede que no amuestren simptomas, pero son igualment infecciosas","People who are infected can show no symptoms, but are still﻿infectious"
"Y en cheneral, s’ha de privar qualsequier aglomeración de chent, perque no sabes quí puede estar malaudo.","And in general, it's a good idea to avoid crowds, because you don't know who might be sick."
Tochetz,Chopsticks
Persona sana,Healthy person
Agarraderas,Train straps
Botons de l’ascensor,Lift buttons
Moquers,Tissues
Tazas,Cups
Dispositivos dichitals,Digital devices
Y mesmo l’exterior d’a tuya careta,& even on the outside of your face mask
Barandau,Stair bannisters
Ratet,Mouse
Boligrafos,Pens
Pomos de puerta,Door knobs
Las suyas mans,Their hands
"Manimenos, la saliva d’una persona malauda puede arribar ta atras cosas…","However, sometimes a sick person's saliva can get on other things…"
podríatz cayer malaudos,you might all fall sick.
u la cara d’o tuyo amor,or your loved one's face
t’estregas los uellos,rub eyes
Y si tocas qualsequiera d’estas cosas per accident y dimpués te tocas la cara,"And if you do touch any of these things by accident, and then touch your face,"
"y la sola manera efectiva de librar-nos d’ells ye limpiar-los con sabón, leixiva u alcol","and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol."
Los virus pueden permaneixer bellas quantas horas en os obchectos,"Viruses can last for quite a few hours on objects,"
Sabón,soap
consellos,precautions
"Per ixo, ye bueno que sigamos estes",Which is why it is also good to follow these
Lava-te con sabón dica aquí,wash with soap up to here
Ancón,elbow
"No te toques la cara. (Ni toques la cara d’otri). Si l’has de fer, lava-te antes las mans concienzudament con sabón.","Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first."
Lo que cuesta cantar dos vegadas “Bufa ixas velas!”,Enough time to sing “Happy Birthday” twice
baixo las unglas,under the nails
per 20 segundos,for 20 seconds
entre los didos,between the fingers
lava lo dorso d’as tuyas mans,wash the back of your hands
Qué ye “concienzudament”?,What is thoroughly?
"Si lo fas, no te’n fagas. Lava-te las mans con sabón chusto dimpuesas.","If you did, don't worry. Just wash your hands with soap after."
Mira de no tocar tampoco l’exterior d’a careta,"Also, don't touch the outside of the mask if you can."
gotetas,droplets
*Las bacterias creixerán endentro si portas la careta masiau tiempo,*Bacteria grows on the insides of your mask if you wear them too long
Tira la careta malas que la notes puerca. No en portes una per mas d’un día.,Throw away masks once they feel gross. Don't wear them for more than a day!
Usa un cullar pa servir,Use a serving spoon
Bebé,Baby
Papa,Daddy
Mama,Mommy
Cadaún ha de tener la suya propia tovalla,Everyone gets their own towel
"No compartas comida, cubiertos, tazas, tovallas.","Do not share food, utensils, cups, towels."
"No te toques la cara con o codo, ni anque l’intentes",You can't touch your face with your elbow even if you tried
"Siempre que puedas, ubre y zarra las puertas con os tuyos ancons u huembros en cuenta de con as mans.","Open & close doors with your elbows or shoulders instead of hands, if possible."
Casa mía,Home
y dimpués d’estar difuera de casa,and after being out in the public
Antes de minchar,Before you eat
Lava-te siempre las mans con sabón…,Always wash your hands with soap…
"Y pa rematar,","And finally,"
sabón,soap
Guardatz-tos de malo!,"Stay safe, everyone!"
Leye los articlos pa mas consellos!,Read the articles for more tips!
"""This animation shows how far your sneeze can actually travel"" por Chia Yi Hou, en Business Insider (21 de enero de 2020)","""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)"
"""The Wuhan Virus: How to stay safe"", por Laurie Garrett, en Foreign Policy, Repert. (25 de enero de 2020)","""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)"
"""How to avoid the coronavirus? Wash your hands"" por Elizabeth Sosenthal, en The New York Times, Opinion. (28 de enero de 2020)","""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020"
Referencias principals d’información medica,Main references for medical info:
