source,translated,question,answer
"","Rrni fellas, ukan dis mammek wel at-tmussd tamaskt s fus.",,
"","tanuzzut",,
"","Tabaktirit ttekker jaj g tamaskt nnem/k lemmi at-tirṭd sis guda.",,
"","Zzref-tt kull tamaskt lemmi at-semdid sis. Wel at-tirṭd ugar iğğewass !",,
"","Ig s uɣenjay",,
"","Aneɛnuc",,
"","Baba",,
"","Yemma",,
"","Kull iğğen\t s lfuṭet nnes",,
"","Wel ttnemili-d s Učču, Tirukan , Ṭṭwasi(Aqbuc), Lleffeṭ.",,
"","Wel tzemmr-d at-tmusd udem nnem/k s tiɣmert nnem/k",,
"","Arr d aqqes tiwwura s tiɣmert ɣen iɣil muc s ifassen, ukan dis mammek.",,
"","Taddart",,
"","D lemmi  tissi-d berra g uɣlad",,
"","Qbel učču",,
"","Ssird-t ifassen nnwen s Ṣṣabun…",,
"","G uneggaru",,
"","Rret Lbal nnwen/t !",,
"","Γɣer imegrad i ugar isemtar !",,
"","“This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)  Γɣer imegrad i ugar isemtar !",,
"","“The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report. (Jan 25, 2020)",,
"","“How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times, opinion.  (Jan 28,2020)",,
"","Tamselɣut tadasilant i taywalt tadawsant:",,
"","Tazmilt Timernant: irray n lbal s uɣus s Kumik d tɣawsa ɣers asemday g asbeddi a guda n waṭṭanen ama Fluwenza d tameslaɣt, d ilaq uɣus kull ass g ussan nneɣ, d ula wel tella lluhef\arwas. Timselɣa: Talɣut g Kumik tus-d seg tikazt n COVID-19 al 28 Furar 2020,d adasil n Talɣut nnes seg kraḍt Timselɣa tidhat.     https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Talɣut Timernant: Afulyu n PDF seg Kumik a yella i usahwi f umellal dahat: https://gumroad.com/weimankowart  Tamyedrawt n Tamnirt: Kumik a yella f umellal i kull i usebleg g uskar uqqin d f ubrid n  Whatsapp d Telegram, d usehhwi f umellal i useggiz am Akerḍa i yiman nnem\k d usinan g tiddar, tinmal\iɣerbaz d timlilin n twuri. Lemmi at-tig-d ssis tamyedrawt, ig g lbal i 3 n tiɣawsiwin:1) wel ittṣara kull icckel g iẓrag n Ikumiken lemmi at-tig-d sis tamyedrawt.2)Ikumiken ca i usexdem nnesn g usenfar asenzan 3)g uskar uqqin, ari isem n umeslal g FB s @weimankowart, g IG s @weimankow (IG), ɣen ari iqqin\asmel instagramcom/weimankow I usemres iṭen, enki tabraṭt i:comicsforgood@gmail.com",,
"","",,
"","",,
"","",,
"Sobre el Coronavirus                                                                                       Sobre el Coronavirus        ","Γef Avirus n Kuruna    Dis tɣawsa IĞĞET a bac at-takzed ɣef mammek Avirus n kuruna ITTCENTEL Imi nnem/k Tinzert nnem/k Tiṭṭawin nnem/k Ittawwaṭ g Bnadem d Aṣbiḥ Bnadem d Amaṭun Avirus ittcentel lemmi yella g tnuzzut(Tikuffa) Ğğ jar-am/k ag n 2 miter 1 2 miter Attsu ! Lemmi ad tteẓr-d iğğen/t ittban-d fellas akutti/anuzzi/d maṭṭun ttnejjm-d : Uc-as a Tamaskt. T/inejjem sis at/ykutt ɣen at/yenzzu dis d wel aṭurri iṭnin ɣer dis-nnes 2 Tanemmirt a *tiḥiṭṭa* ΓEN Waqila nettat ca ttmaṭunt, ɣer terra labl f yiman nnes Iwdan lli uṭṭnen wel ittban-d dis aṭṭan, welyuc ttsawaṭen gwaṭṭan D rni fellas, taktit tezzɛam  ac seg agejluṭ (guda n iwdan), maɣer wel tessn-d mant dis t/yella t/yuṭen. Tiqecqac Bnadem d Aṣbiḥ Tiddriwin n Cmendfir Taṭbilt n Usensir Lklineks Ṭṭwasi (Aqbuc) Allal Umḍin D rrni I lli yella berra n tamaskt nnem/k Tidderiwin Tafekrunt (Aselkim) Iɣunab Fus n tawwurt Ifassen nnes Dis mak, ittṣara d Amaḍun s tikufsa nnes tassnt-d f tiɣawsiwin… Waqil ad ttaṭnum ukkul nnwen\t ɣen f udem n tayri nnem/k Aḥukki n tiṭṭawin iṣar d ttmuss-d seg tiɣawsiwin tidhat saht, d sdeffr-as ttmused udem nnem/k, D tɣawsa  iğğet tnejjem aten-tesfeḍ s usired nnes s ṣṣabun, tasemellalt, ɣen iɣisem. Virus inejjem itteqqima yella f tɣawsa  ugar timirt Ṣṣabun Irray n Lbal D ayed i matta d tasbiḥt taḍfrawt tad Ssird s ṣṣabun al tiɣmert ṣṣabun tiɣmert Ttmusset-c udem nnem/k (ɣen udem ḥad iṭen) wel dis-c mammek, ssird-t ifassen nnem/k s ṣṣabun s Taneṭṭuft. Gget n luɣed i yinig “Tafaska n ulul “ sent tikwal S addu iccaren Ag 20 tisinin Jar iṭuṭan Ssird s denneg fus nnem/k Matta nettat Taneṭṭuft ? Wel ttqeqet-c kan iṣar ttmuss-tt. S deffer ssird ifassen nnem/k s ṣṣabun Rrni fellas, ukan dis mammek wel at-tmussd tamaskt s fus. tanuzzut Tabaktirit ttekker jaj g tamaskt nnem/k lemmi at-tirṭd sis guda. Zzref-tt kull tamaskt lemmi at-semdid sis. Wel at-tirṭd ugar iğğewass ! Ig s uɣenjay Aneɛnuc Baba Yemma Kull iğğen\t s lfuṭet nnes Wel ttnemili-d s Učču, Tirukan , Ṭṭwasi(Aqbuc), Lleffeṭ. Wel tzemmr-d at-tmusd udem nnem/k s tiɣmert nnem/k Arr d aqqes tiwwura s tiɣmert ɣen iɣil muc s ifassen, ukan dis mammek. Taddart D lemmi  tissi-d berra g uɣlad Qbel učču Ssird-t ifassen nnwen s Ṣṣabun… G uneggaru Ṣṣabun Rret Lbal nnwen/t ! Rret Lbal nnwen/t ! Ṣṣabun Γɣer imegrad i ugar isemtar ! “This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)  Γɣer imegrad i ugar isemtar ! “The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report. (Jan 25, 2020) “How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times, opinion.  (Jan 28,2020) Tamselɣut tadasilant i taywalt tadawsant:  Tazmilt Timernant: irray n lbal s uɣus s Kumik d tɣawsa ɣers asemday g asbeddi a guda n waṭṭanen ama Fluwenza d tameslaɣt, d ilaq uɣus kull ass g ussan nneɣ, d ula wel tella lluhef\arwas. Timselɣa: Talɣut g Kumik tus-d seg tikazt n COVID-19 al 28 Furar 2020,d adasil n Talɣut nnes seg kraḍt Timselɣa tidhat.     https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Talɣut Timernant: Afulyu n PDF seg Kumik a yella i usahwi f umellal dahat: https://gumroad.com/weimankowart  Tamyedrawt n Tamnirt: Kumik a yella f umellal i kull i usebleg g uskar uqqin d f ubrid n  Whatsapp d Telegram, d usehhwi f umellal i useggiz am Akerḍa i yiman nnem\k d usinan g tiddar, tinmal\iɣerbaz d timlilin n twuri. Lemmi at-tig-d ssis tamyedrawt, ig g lbal i 3 n tiɣawsiwin:1) wel ittṣara kull icckel g iẓrag n Ikumiken lemmi at-tig-d sis tamyedrawt.2)Ikumiken ca i usexdem nnesn g usenfar asenzan 3)g uskar uqqin, ari isem n umeslal g FB s @weimankowart, g IG s @weimankow (IG), ɣen ari iqqin\asmel instagramcom/weimankow I usemres iṭen, enki tabraṭt i:comicsforgood@gmail.com Γef Avirus n Kuruna        ",,
