fra,bri,eng
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Mamɛ o angàmɛnɛyi li hwiya lìhvomɛ̀nɛ̀ ène kàndɛ̀ emaè hwɛlɛ̀hwɛ Kòlonà tɔ̀ KOHVID-19,What you need to know about the CORONAVIRUS or COVID-19
,,
,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon"
,,
                                                  SOMMAIRE,    HWEWULUHWELI HWE ENE KAATÌ,                    SUMMARY
- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles,-È kàndɛ̀ yà Kòlonà è hwelì ndi mamɛ e? -Njɛnɛ ène kàndɛ̀ yà Kòlonà e tanɛyi lì lɛ̀mbɛ è? -Hwe èmbàneli hwe ène kàndɛ̀ yà Kòlonà -Nɛ ène kàndɛ̀ yà Kòlonà e tanɛyi lì hvàalɛhwɛ e? -Nɛ o tanɛyi lì aŋgòhwɛ̀lɛ̀ e? -Ò hvàyeli tɛ ène kàndɛ̀ mamɛ o aŋgàmɛnɛyi lì gbèya e?,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
p.2 p.3 p.4 p.5 p.6 p.7 p.8,p.2  p.3  p.4  p.5  p.6  p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.","È kàndɛ̀ yà Kòlonà è hwelì ndi mamɛ e?  È kàndɛ̀ yà Kòlonà ema è hwiyahwi hvɛ nàa KOHVID – 19 è hwelì ndi kàndɛ̀ hvenya. È mà lòma ndi lì wurzèyà o èkòmè ya China o 31st  me è ngbɛ̀ndɛ̀ yà Mèòlì mè Rzàlì o ŋma mo 2019. È ohvì hwèembànèlì nàa èhvòkòhvòkò, ndèŋgànɛ̀lɛ̀, è inyamɛnɛyi tɛ e oŋwà lòŋgò la hwàtò. E ma hvàyeya rzayi-rzayi ja hwèkòmè hwe  rze. Mamɛ e jaani ène kàndɛ̀ e rzi hwiyawi.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
Personne âgée,Hwàmbaki hwa hwàtò,Elderly person
Personne cardiaque ou souffrant de maladie,È nyàmbɛ yà ndoŋgo,Person with a heart condition or disease
