fra,ken,eng
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,ƐNYƗŊ ƐNƐ ƆBHƆŊƆ BƐRƗŊƗ Ɛ̌TI KORÓNÁ VAYRƆS NYƐN ƐNI NƐCHAK BƐ KOVID–19,What you need to know about the CORONAVIRUS or COVID-19
,,
,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon"
,                              BATI KƐPƗ,                    SUMMARY
,- Korónávayrɔs - Bo abhɛn bakway bɛbhɔŋ nɛme ɛnɛn ayak - Bɛrɨŋ ɛbhɛ́n bɛ́tɔŋ bɛ mmu abhɔŋ nɛme ɛnɛn - Ɛnyǔ bo abhɛn babhɔŋ nɔ bákway bɛcharɛ batɨ - Ɛnyu ɔ́kway bɛkɛm mmʉɛt bɛ ɔkɛ bhɔŋ nɔ - Ɛnyɨŋɨ́ mmu abhɔ́ŋɔ́ bɛkʉ mbák nɛme ɛnɛn nɛkɛm yi ,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
,p.2 p.3   p.4  p.5  p.6  p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
,"Korónávayrɔs  Korónávayrɔs anɛ bábhɨŋɨ nkwɔ bɛ KOVID – 19, chí nɛme nɛkɔ. Nɛ́bho chi ɛtɔk China ndu 31 Disɛ́mba, 2019. Nɛ́chyɛ mbʉɛp nɛ nɛkway bɛway mbɔk bho mbak nɛ́taŋ. Nɛ́naŋ nɛtaka ndǔ bɛyǎ bɛtɔk famɨk. Bo bábhɨkɨ re rɨŋɨ ɛnyǔ nɛme ɛnɛn nɛbhoo. ","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
,Baséansi,Elderly person
,Mmu anɛ ábhɔ́ŋɔ́ nɛměntɨ nɛ yɛ̌chi nɛme mbɔŋ antɨ,Person with a heart condition or disease
,"Bo abhɛn bakway bɛbhɔŋ nɛme ɛnɛn ayak   Yɛ̌ntɨkɨ mmu ǎkway bɛbhɔŋ nɛme nɛkɔ ɛnɛn. Kɛ ɛ́chí mbɔ bhɛ baséansi nɛ bo abhɛn manaŋ babhɔŋɔ mame achak mbɔ ɛ̌yú, nɛměngaŋ, nɛměntɨ nɛ nɛmě manoŋ-bɛko bákway bɛbhɔŋ nɛme ɛnɛn nɛ nɛ́ntaŋ bɔ amʉɛt. ","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
,-Mbʉɛ́p -Nɛserǐmʉɛt,Fever Fatigue
,-Ɛwɔ́sí ɛkwáká -Mmuʉɛt bɛsay nɛ bɛbe,Dry cough Muscle aches and pains
,"Bɛrɨŋ ɛbhɛn bɛ́tɔŋ bɛ mmu abhɔŋ nɛme ɛnɛn   Bɛrɨŋ ɛbhɛn bɛ́tɔŋ bɛ mmu abhɔŋ korónávayrɔs chi mbɔ ɛbhɛn: mbʉɛ́p ataŋataŋ, ɛwɔ́sí ɛkwaka nɛ bɛbě mmʉɛ́t nkɛm nɛ mmʉɛ́t bɛseri. Bo abhɛn bábhɔŋɔ neme ɛnɛn bághok bɛbe, nɛ manyuɛn bɛchok manyɛp amfuaka, nɛ ɛfʉɛrɛ́ ngoŋo, nɛ yɛ̌chi njwɛt. Mbɔk bho bábhɔŋ nɛme ɛnɛn kɛ bɛrɨŋ ɛbhɛn bɛpu bhak.  Bɛyǎ bho abhɛn babhɔ́ŋɔ́ nɔ bátaŋ ɛnɛ bábhɨ́kɨ́ sɔt ɛsáyrí babhe.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
,Mmu anɛ ábhɔ́ŋɔ́ ɛkwaka,Person with a cough
