,rus,eng
0,Коронавирус,Coronavirus
1,,
2,Информационный буклет о Covid-19,
5,SIL LEAD﻿,
6,"Иллюстрации взяты из поисквой системы Google. Опубликовано: Cristian Education Trust, Май 2020",
7,Дарья Давидовская,
8,"Иллюстрации взяты из поисковой системы Google. ﻿ Опубликовано: Christian Education Trust, May 2020",
10,,
11,"Что такое коронавирус? Коронавирус — это семейство вирусов, которые вызывают болезни у животных или людей.",   What is Coronavirus? Coronaviruses are a large family of viruses which may cause illness in animals or humans.
13,Некоторые виды вирусов вызывают дыхательные инфекции.,Several corona viruses cause respiratory infections ranging
14,"Заболевания варьируются от простуды до серьёзных заболеваний, таких как Ближневосточный респираторный синдром или Тяжелый острый респираторный синдром. Самые недавно обнаруженные коронавирусные заболевания — это COVID-19.",from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). The most recently discovered coronavirus causes coronavirus disease COVID-19.
15,"Что такое COVID-19? COVID-19 - это инфекционное заболевание, вызванное недавно обнаруженным коронавирусом. Данный вирус и болезни были неизвестны до декабря 2019 года, когда началась вспышка в Китае, в провинции Ухань."," What is COVID-19?  COVID-19 is the infectious disease caused by the most recently discovered coronavirus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 2019. "
16,"Как распространяется COVID-19? Если зараженный кашляет или чихает, не прикрывая лица или носа, то капли изо рта или носа попадают в воздух. Из воздуха, инфицированные капли могут попасть в нос, рот или глаза другого человека, и заразить его COVID-19.","How does COVID-19 spread? If an infected person coughs or sneezes without covering their mouth or nose, then droplets from their mouth or nose will be released into the air around them.  From the air, these infected droplets can enter the nose, mouth or eyes of another person and cause them to become infected with COVID-19."
18,"Если зараженный человек дотрагивается до своего рта или носа, затем прикасается к столу, ручке от двери, ключам или другим предметам, то на поверхности остается Коронавирус. Вирус может жить на поверхности на протяжении нескольких часов. Если другой человек прикоснётся к зараженной поверхности, а затем дотронется до своих глаз, носа или рта, он тоже может заразиться COVID-19.","If an infected person touches their mouth or nose,then touches a surface like a table, door handle, keys, money and so on, then this surface will become infected with the Coronavirus.  The virus can live on surfaces for many hours.   If another person touches this infected surface, then touches their eyes, nose or mouth, they may also become infected with COVID-19."
19,Вот как COVID-19 распространяется между многими людьми.,This is how COVID-19 is spreading to so many people.
22,"Что я могу сделать, чтобы защитить себя и других от COVID-19? Вы можете защитить себя и других, соблюдая простые правила: A. Соблюдайте ""Социальную дистанцию"". Это означает что нужно постоянно держать дистанцию в два метра с другими людьми.","What can I do to protect myself and others from COVID-19? You can protect yourself and others by these simple steps:  a. Practice“Social Distancing”.  This means, at all times, keep a distance of at least 2 metres between yourself and other people around you."
25,"Следуйте правилу двухметровой дистанции со всеми, кто не живет с вами в доме или квартире. Социальная дистанция очень важна для защиты себя и других. Дистанция помогает предотвратить распространение COVID-19.",Follow this rule of 2 metre distance for anybody who does not live in the same house as you.  “Social Distancing” is very important to protect yourself and others from the spread of COVID-19.
