,lts,eng,llg,ind
0,Olumbe lwa Korona,About Coronavirus,Na'de Virus Korona ,Tentang Virus Corona
1,,,,
3,,,,
4,,,Hambu kada dalak esa ka fo ei malelak tao leo be de virus korona ana la’e hataholi-la. ,
6,,,bafak ,
7,,,iduk ,
8,,,mata ,
9,,,Neni dalek neu nesik ,
10,,,Hataholi neulauk ,
11,,,Hataholi kamahedik ,
12,,,Virus ana la’e hataholi mete ma mbinu-ambe mana lambuk ia ,
13,,,Makadodook. Mete ma O makadodook meter 2 na mbinu-ambe ta lambu la’e O. ,
14,,,1,
15,,,"2m-0,5m",
16,,,Haaaci ! ,
17,,,De mete ma O mita hataholi esa ana bo’o/kisufani/namahedi na: ,
18,,,"Fe sala lalapa idu-bafak. De ala kisufani/bo’o nai lalapak dalek, fo suek ndia boso ana dai hataholi manai ba’ianak sila. ",
19,,,2,
20,,,Makasi no’uk *SROOT*,
21,,,DO,
22,,,Meda hataholi ia ta kamahedik. Kada ana nanea ao-inan. ,
23,,,"Hataholi fo mana hambu virus ia meda ta ana natudu hedis esa boe, tehu ana bisa neni virus fe hataholi fe’ek. ",
24,,,"Malole lenak makadodook neme hataholi mana makabubuak ala mai, te O ta bubuluk se ndia kamahedik. ",
25,,,Suluk ,
27,,,Kereta/oto toto’un ,
28,,,Lift nene’en ,
29,,,Tisu ,
30,,,Nggalaas ,
31,,,Bua elektronik ,
32,,,Boema lalapak dean,
33,,,Edak toto’un ,
34,,,komputer mous ,
35,,,Bolpoin ,
36,,,Lelesu toto’un ,
37,,,Sila liman ,
38,,,Hataholi kamahedik mbinu-amben bisa ana la’e… ,
39,,,Ei basanggei bisa mamahedi. ,
40,,,Do hataholi fo O suek ala mata-mbanan ,
41,,,Kokose matak ,
42,,,"Mete ma O kame la’e hata sila, boema O kamen neu O mata mbanan ala, ",
43,,,"mae tao heni virus ia na dalan kada esa ka, ndia safe henin nenik sabu, pemutih do alkohol.",
44,,,"Ei basanggei bisa mamahedi,",
45,,,Sabu,
47,,,"Hu ndia, de malole lenak tao tungga dalak fo nakadodook hedis ia. ",
48,,,Mafui oe munik sabu losa ia. ,
50,,,Lima bu’uk ,
51,,,Boso kame la’e O mata-mbanan (do hataholi fe’ek mata-mbanan). Mete ma leo ndiak na safe malalao ei limam makahuluk menik sabu.,
52,,,Samak leo soda sosodak “selamat ulang tahun” la’e dua. ,
53,,,lima fanggak ala ,
54,,,Losa detik 20,
55,,,lima ku’uk tadan ala ,
56,,,Safe lima deak ,
57,,,Nafui oe losa lalaok na tao leo bek? ,
58,,,Mete ma kame la’en na boso bi. Lai-lai fo mafui oe munik sabu.,
59,,,Boso kame la’e lalapak dean. ,
60,,,Ambe ana mbilu ,
61,,,"Mete ma lalapak nanapakek don seli, na bakteri la bisa lasoda lai lalapak dalen. ",
62,,,Mete ma O lalapa idu-bafan manggenggeok na nggali henin. Boso pake lalapak lena heni faik esa. ,
63,,,Pake sulu aidoo,
64,,,Kakanak,
65,,,Amak,
66,,,Ina,
67,,,Esa ko handun ,
68,,,"Boso pake makabubua nana’ak, pingga-suluk, nggalaas, ma handuk. ",
69,,,"O ta bisa la’e O matam ma lima bu’um pake lima bu’uk, hena O soba sudik.",
70,,,Malole lenak soi do kena lelesu pake lima bu’uk do aluk.  ,
71,,,UMA,
72,,,fali neme dea mai ,
73,,,Deifo mu’a-minu ,
74,,,Masanenedak fo mafui oe makahuluk munik sabu…. ,
75,,,"Hu ndia de, ",
77,,,Manea O ao-inam! ,
80,,,Les basa natutuduk fo manai susulak sila!,
81,,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
82,,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",
83,,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",
84,,,Susula natutudu hedi-laus: ,
85,,,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja. Saat membagikan komik ini, ingat 3 hal berikut: ﻿1) Dilarang mengedit gambar komik yang akan dibagikan. ﻿2) Komik ini tidak dapat diperjualbelikan. ﻿3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",
88,,,,Diterjemahkan dalam Bahasa Lole oleh Jermy Balukh
89,,,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi bahasa daerah : www.suluh.org"
90,,,,"Created by Weiman Kow, instagram: weimankow"
