,lts,wms,eng,ind
0,Olumbe lwa Korona,Virus Koronatak,About Coronavirus,Tentang Virus Corona
1,,,,
3,,,,
4,,Virus Koronane andagamondik komegemat eptage gogopwe dominugo luk nombongga sanggomo katkenaknantak ,,
5,,KOMEGEGE ,,
6,,Bonop ,,
7,,Kalit ,,
8,,Kelop ,,
9,,Kute etomat ,,
10,,Hinbalino kap,,
11,,Yayuno kap ,,
12,,Nemamo asin selenggetkandige viruse komegemat,,
13,,Wambemo kamgenakna.  Kamge 2 metetkenaknandik  asin asinamalo walokge dano gogopwe lawogettoe.,,
14,,1,,
15,,"2m-0,5m",,
16,,Ahi!! ,,
17,,Golo gogopwe hetaknano kapwe Apyokgup koyo hiwagilokgup koyo yayunggup kegetle nemanuna: ,,
18,,Yagoptage masketle nandakna. Emanunano  yagopwe hiwagilokdik  goyo apyokdik ewe masket topka asinano sinimo manggopwe lawontakdoe.,,
19,,2,,
20,,Matetik *SROOT*,,
21,,KOYO,,
22,,"Nombono kapwe epmo yayune tembetik, do ego andit wambemomopsigi masket haloge.",,
23,,"Viruskola lawatbono kapwe tepwe lapbesanmono goge katkenagettoendik, ego yayune kamo lapkomemomoge. ",,
24,,"Mitkuptage, awopdikga  yayunggup denopwe gogopwe amokgolo,  matet baline kap dagit talokge kanaget. ",,
25,,Andemop simbit ,,
26,,Hinbalino kap ,,
27,,Taksi topka lapdimo elan ,,
28,,Halik tombot ,,
29,,Tisu ,,
30,,Oktdim ,,
31,,Elektronik ambat ,,
32,,Masket mote besan nemet talok ,,
33,,Halik talokgo lapdiman ,,
34,,Mous ,,
35,,Botpen ,,
36,,Aptop gelendet ,,
37,,Yago bisit ,,
38,,"Emandik, yayuno kapko walokge nombenbep taloga lawomoge… ",,
39,,Emamane gogop mitkupwe yayumonamat.,,
40,,Koyo gogp sinimo manggopko kelopkalit ,,
41,,Koyo kelopwe lawo hopkotman ,,
42,,"Gogopwe manggopdoega, ewo mane baunbelo dako ga kelopkalit, ",,
43,,Matetbaline ewo imakeman ambatle sabungga goyo baikilin okga goyo alkoholo okga  ogogopnunandikga viruse tembetkemoge. ,,
44,,Viruse kenonggo imakeman ambat taloga bageno kitipke satkemo satkelopwe 24ke motomgemoge. ,,
45,,Sabun,,
46,,nombemanyepmo viruse haloganuna.,,
47,,"Ewoptakgolo, datlo lapkitman epdikge matetkayan ",,
48,,Sabungga ogoknonagano nombephalonggen.,,
50,,Bisit munggup ,,
51,,Gogo kelopkalitle laphetkonage.(Koyo awopko kelopkalitkup laphetkonaget.) Emamomopkegetle bisitle sabungga ogokmonagano bokge tembetkendik. ,,
52,,“Kawetbono talomo” gome ligenano motomgemogen yepkentak. ,,
53,,Bisit muktop ,,
54,,Kogeno 20 detikgentak ,,
55,,Bisit talon kakmontop ,,
56,,Bisit atat mimbanggup okgok betik ,,
57,,Bisitle andagambetik okgokmogenano bokge tembetkemat? ,,
58,,Lapwalenggegetle wasi sabungga bisit ogoknuna. ,,
59,,Masketla mote besane lawonaget ,,
60,,Walok hotgon ,,
61,,Masketle ugumgegenano motomgetkegele bokge ephalo bage amit kawemoge. ,,
62,,Gogo masketle bokgegenggegele sanun ka. Masketle ugumgenano satle duminuk laphalondoe. ,,
63,,Sendok kuakga ,,
64,,Amit ,,
65,,Bap ,,
66,,Nayop ,,
67,,Handokge egepkup-egepkup kenuna ,,
68,,"Andemowo, bilin sendokgo, okdimo, handokgomanepwe ketopdak-ketopdak monaget.",,
69,,"Bisit munggupkane gogo kelopkalilo bisit mungguwo ewe lawonagetoe, lapnamatkegetle ka emanuna.  ",,
70,,"Lapkitmonamatkegetle, aptop gelendetle bisit munggupka goyo manlingga bakbet katombetnuna. ",,
71,,AP,,
72,,Ap kanamalo topka ,,
73,,Andenamalo topka ,,
74,,Gogo bisitle alipkup satkup sabungga ogopnuna… ,,
75,,Batgotop ,,
77,,Wambembetik hinbalingga nambo! ,,
80,,Kitanggutlo lukge tulepon luk tatalokga etakgo katkenakna!,,
81,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
82,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
83,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
84,,Obat dagonano hinggenamokdeno manggop takgo luk kanetopdik: ,,
85,,"Kitanggutlo takbukman: Buku komik nombone yayun kitanggutla asinggp hiwagilonggup wambemomopsigindik. Gupwe yayune tembetik, nombono lukge alipkup satkup lapkitmalenggegle, yayun kitanggut talokge wambemomat. Referensi: Komik nombephalono COVID-19 sigino luk ewe yanggumalembone kogeno 28 Februari 2020 getbono buku tagemgup nekilep epka lawo oplawo ugumalembo.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi kitanggut: Komik nombone PDFka okmalembone nombephalo lawomoge: https://gumroad.com/weimankowart  Komik lawomowo yandit: Nombono Komikge gupwe wasi lawomat. Whatsapp kanggoyo Face Book talokga lapelo, ap talokgup, sekola talokgup, keleman talokgupka hetago kinggopmompsigindik.  Komik nombone dagatmomalo topwe tagemgupwo luk nombe hetago katkenak:  1. Komik top nombono bagetle laphamoget.  2. Komik nombone halonano tagetka takbikmomop sigindikdoe. 3. FB talokga dagatmomopkegele, nombono hitkup oknu: @weimankowart (IG), koyo link instagram.com/weimankow  Odo luk kitanggula hetago lapkitmomopwe  Nombono situpka luk hanotna kan: comicsforgood@gmail.com ",,
88,,,Diterjemahkan dalam Bahasa Wambon Kenon oleh Wambon Dumut,
89,,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org",
90,,,"Created by Weiman Kow, instagram: weimankow",
95,Olumbe lwa Korona                                                                                      Olumbe lwa Korona        ,"Virus Koronatak    Virus Koronane andagamondik komegemat eptage gogopwe dominugo luk nombongga sanggomo katkenaknantak  KOMEGEGE  Bonop  Kalit  Kelop  Kute etomat  Hinbalino kap Yayuno kap  Nemamo asin selenggetkandige viruse komegemat Wambemo kamgenakna.  Kamge 2 metetkenaknandik  asin asinamalo walokge dano gogopwe lawogettoe. 1 2m-0,5m Ahi!!  Golo gogopwe hetaknano kapwe Apyokgup koyo hiwagilokgup koyo yayunggup kegetle nemanuna:  Yagoptage masketle nandakna. Emanunano  yagopwe hiwagilokdik  goyo apyokdik ewe masket topka asinano sinimo manggopwe lawontakdoe. 2 Matetik *SROOT* KOYO Nombono kapwe epmo yayune tembetik, do ego andit wambemomopsigi masket haloge. Viruskola lawatbono kapwe tepwe lapbesanmono goge katkenagettoendik, ego yayune kamo lapkomemomoge.  Mitkuptage, awopdikga  yayunggup denopwe gogopwe amokgolo,  matet baline kap dagit talokge kanaget.  Andemop simbit  Hinbalino kap  Taksi topka lapdimo elan  Halik tombot  Tisu  Oktdim  Elektronik ambat  Masket mote besan nemet talok  Halik talokgo lapdiman  Mous  Botpen  Aptop gelendet  Yago bisit  Emandik, yayuno kapko walokge nombenbep taloga lawomoge…  Emamane gogop mitkupwe yayumonamat. Koyo gogp sinimo manggopko kelopkalit  Koyo kelopwe lawo hopkotman  Gogopwe manggopdoega, ewo mane baunbelo dako ga kelopkalit,  Matetbaline ewo imakeman ambatle sabungga goyo baikilin okga goyo alkoholo okga  ogogopnunandikga viruse tembetkemoge.  Viruse kenonggo imakeman ambat taloga bageno kitipke satkemo satkelopwe 24ke motomgemoge.  Sabun nombemanyepmo viruse haloganuna. Ewoptakgolo, datlo lapkitman epdikge matetkayan  Sabungga ogoknonagano nombephalonggen. Sabun Bisit munggup  Gogo kelopkalitle laphetkonage.(Koyo awopko kelopkalitkup laphetkonaget.) Emamomopkegetle bisitle sabungga ogokmonagano bokge tembetkendik.  “Kawetbono talomo” gome ligenano motomgemogen yepkentak.  Bisit muktop  Kogeno 20 detikgentak  Bisit talon kakmontop  Bisit atat mimbanggup okgok betik  Bisitle andagambetik okgokmogenano bokge tembetkemat?  Lapwalenggegetle wasi sabungga bisit ogoknuna.  Masketla mote besane lawonaget  Walok hotgon  Masketle ugumgegenano motomgetkegele bokge ephalo bage amit kawemoge.  Gogo masketle bokgegenggegele sanun ka. Masketle ugumgenano satle duminuk laphalondoe.  Sendok kuakga  Amit  Bap  Nayop  Handokge egepkup-egepkup kenuna  Andemowo, bilin sendokgo, okdimo, handokgomanepwe ketopdak-ketopdak monaget. Bisit munggupkane gogo kelopkalilo bisit mungguwo ewe lawonagetoe, lapnamatkegetle ka emanuna.   Lapkitmonamatkegetle, aptop gelendetle bisit munggupka goyo manlingga bakbet katombetnuna.  AP Ap kanamalo topka  Andenamalo topka  Gogo bisitle alipkup satkup sabungga ogopnuna…  Batgotop  Sabun Wambembetik hinbalingga nambo!  Wambembetik hinbalingga nambo!  Sabun Kitanggutlo lukge tulepon luk tatalokga etakgo katkenakna! ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020) ""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020) Obat dagonano hinggenamokdeno manggop takgo luk kanetopdik:  Kitanggutlo takbukman: Buku komik nombone yayun kitanggutla asinggp hiwagilonggup wambemomopsigindik. Gupwe yayune tembetik, nombono lukge alipkup satkup lapkitmalenggegle, yayun kitanggut talokge wambemomat. Referensi: Komik nombephalono COVID-19 sigino luk ewe yanggumalembone kogeno 28 Februari 2020 getbono buku tagemgup nekilep epka lawo oplawo ugumalembo.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi kitanggut: Komik nombone PDFka okmalembone nombephalo lawomoge: https://gumroad.com/weimankowart  Komik lawomowo yandit: Nombono Komikge gupwe wasi lawomat. Whatsapp kanggoyo Face Book talokga lapelo, ap talokgup, sekola talokgup, keleman talokgupka hetago kinggopmompsigindik.  Komik nombone dagatmomalo topwe tagemgupwo luk nombe hetago katkenak:  1. Komik top nombono bagetle laphamoget.  2. Komik nombone halonano tagetka takbikmomop sigindikdoe. 3. FB talokga dagatmomopkegele, nombono hitkup oknu: @weimankowart (IG), koyo link instagram.com/weimankow  Odo luk kitanggula hetago lapkitmomopwe  Nombono situpka luk hanotna kan: comicsforgood@gmail.com  Virus Koronatak        ","About Coronavirus                                                                                      About Coronavirus  Diterjemahkan dalam Bahasa Wambon Kenon oleh Wambon Dumut Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org Created by Weiman Kow, instagram: weimankow    ",Tentang Virus Corona                                                                                      Tentang Virus Corona        
