eng,bce,fra
What you need to know about the CORONAVIRUS or COVID-19,Yɔ́ yá pɔ̂ wé mǝ́ zínǝ́ nǒ kolona vilʉsǝ kɛ́ COVID-19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
,,
,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
,,
                    SUMMARY,                    Tsét'tsét'wě,                                                  SOMMAIRE
- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,- Kolona vilʉsǝ - Pǝ pɔ́t’nǝ́ - Mǝntyamé - Ntya lɔndɛ́mǝ - Ntya lɔ̌ mba’ ? - Ntya lɔ̌ mba’ ? - Á wé ŋó pǝ́ wút lyé ? - Mǝkɛnǝ mǝdítsáp tǝ̌nǝ ,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3 p.4 p.5 p.6 p.7 p.8 p.9,p.2 p.3 p.4 p.5 p.6 p.7 p.8
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Kolona vilʉsǝ kɛ́ COVID tsópnǝpú á ghǒ fí, á ta’ vilʉsǝ fǐ. Pǝ nǝ ndɛnǝ wé nǒ mbíshʉ̂ nǝshu sɩ́nǝ nǒ lyé’mbí tsopmǒ nǝ mǒmǝ ntyénǝ́ fwo syé kǝt’sǝmét. Mǝ́ntya mé ndǔ cwétyǝ́ lǝ̂ mbí á ghyǝ́ tǝ́ njwé ŋó nǒ mǝcyǝ mǝ́ntya gha’nǝ. Á fwo nǝghá mǝtɔmbí. Pǝ nká zí nǝfɛ’ ghɔ̌.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
Elderly person,Ntǝ́nkyé ŋó,Personne âgée
Person with a heart condition or disease,Ŋó nzɔ’ zónǝ kɛ́ mba ghyé ghɔ̌,Personne cardiaque ou souffrant de maladie
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Pǝ́ pɔ́t’nǝ   Mbí pǝ́ na wé ghɔ̌ fǐ ghywǝ. Pǝ ntǝ́nkyé nǝ pǝghyéghɔ̌ pa pǒ nǝ mbǝ́nǝ ngwé ghɔ̌ (ndǔ nghǝ̌nǝ, ghɔ̌ sǝ́ka, ghɔ̌ nzɔ’, ghɔ̌ mǝ́shʉ́) fí ndú mǝ́nkwɛnǝ ghá ǒ mvǝ ghɔ̌ gha’nǝ ntya vilʉsǝ ghywǝlyé.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
Fever Fatigue,Ghʉ́nǝ Nkǎ ,- Fièvre - Fatigue
Dry cough Muscle aches and pains,Nkwɛ́ nzomǝ Mǝ́zhʉ́ mbê nzɔ́’nǝ,- Toux sèche - Douleurs musculaires
