,lts,mkn,eng,ind
0,Olumbe lwa Korona,Soal virus Corona,About Coronavirus,Tentang Virus Corona
1,,,,
3,,,,
4,,Ada satu hal yang kotong dapa tau soal virus Corona pung tasebar karmana.,,
6,,mulu ,,
7,,idong ,,
8,,pung mata ,,
9,,pung aer liur maso pi ,,
10,,Orang sehat ,,
11,,Orang saki ,,
12,,Ini virus tasebar kalo,,
13,,Na jaga jarak. Bosong son akan kena orang saki pung aer liur kalo jaga jarak 2m.,,
14,,1,,
15,,"2m-0,5m",,
16,,Haachii!! ,,
17,,"Jadi, kalo bosong lia ada orang saki ko batuk ko bersin… ",,
18,,KASI DONG MASKER. Jadi dong bersin ko batuk na di dalam dong pung masker. Deng bagitu orang laen son kena. ,,
19,,2,,
20,,Makasi bam-banya “SROOOT” ,,
21,,ATO ,,
22,,"Orang pake bagini, bukan saki te dia ada jaga dia pung diri. ",,
23,,Kadang orang laen su kana ma kotong son lia dia pung gejala. Biar bagitu dia masi bisa kasi sebar dia pung virus tu. ,,
24,,"Le bae jang pi di tampa rame, tagal bosong sonde tau sapa yang su dapa ini panyaki/virus. ",,
25,,Alat makan ,,
27,,Kareta pung tampa pegang ,,
28,,Tombol lif ,,
29,,Tisu,,
30,,galás ,,
31,,Hp ko computer ,,
32,,Masker pung luar ,,
33,,tangga pung tampa pegang ,,
34,,Maus,,
35,,Bolpen,,
36,,Kanop pintu,,
37,,Dong pung tangan ,,
38,,"Jaga-jaga sa, te orang saki pung aer liur bisa tatempel di….",,
39,,na bosong samua bisa saki,,
40,,ato raba orang ruma dong pung muka ,,
41,,"ato goso mata, ",,
42,,"Kalo bosong son sengaja raba kena itu barang dong, ais raba bosong pung muka sandiri, ",,
43,,"Ada satu jalan bae ko bisa kasi ilang ini virus, andia deng cuci tangan pake sabun, bycline ko alkohol. ",,
44,,Ini virus bisa batahan di atas satu benda selama 24 jam ,,
45,,Sabun,,
46,,cara jaga diri dari ni virus.,,
47,,Andia ko le bae iko ini,,
48,,cuci tangan na cuci sampe siku,,
50,,Siku,,
51,,Jang raba bosong pung muka (ato orang laen pung). Le bae cuci tangan pake sabun babae dolu. ,,
52,,Bisa itong waktu pake manyanyi lagu “selamat ulang tahun” dua kali. ,,
53,,kuku dong ,,
54,,salama 20 detik ,,
55,,cela jari dong ,,
56,,cuci talapak tangan ,,
57,,Pake ini cara ko cuci tangan sampe barisi. ,,
58,,"Kalo son sengaja sonto kena, na capát cuci tangan pake sabun. ",,
59,,Jang sonto masker pung luar ,,
60,,aer liur ,,
61,,Bakteri bisa bakutu di dalam kalo pake talalu lama. ,,
62,,"Buang masker kalo su kotor. Kalo bisa pake satu hari sa, abis itu buang su. ",,
63,,Pake sendo sayur ,,
64,,Ana dong,,
65,,Papa,,
66,,Mama,,
67,,Sat-satu pake dia pung handuk. ,,
68,,Jang sama-sama pake alat makan ko alat pake macam ke galas ko handuk. ,,
69,,Kotong son bisa raba muka sandiri pake siku ko bahu to? ,,
70,,Kalo bisa na buka pintu pake siku ko bahu. ,,
71,,Ruma,,
72,,Sabalom maso ruma ,,
73,,Sabalom makan ,,
74,,Cuci tangan tarus deng sabun ,,
75,,Inga! ,,
77,,Jaga ko jang saki! ,,
80,,Silakan baca acara laen dong dari artikel di atas dong ,,
81,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
82,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
83,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
84,,Ini pasán dapa dari orang medis dong: ,,
85,,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
88,,,Diterjemahkan dalam Bahasa Melayu Kupang oleh Misriani Balle,
89,,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org",
90,,,"Created by Weiman Kow, instagram: weimankow",
