eng,yas,fra
What you need to know about the CORONAVIRUS or COVID-19,BƆ́ƆBƆ NO HÁANANAMƆ́ GO ÍYIME NAÁ OGƆNƆ́ YƆ́ƆYƆ KOLÓNAFILÚSU Ɛ́NA COVID-19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
,,
,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
,,
                    SUMMARY,                    ƐDÓƐ YA MASƆ́MƆ,                                                  SOMMAIRE
- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,- Kolónafilúsu - Batɔ báaba bá lɔ́mɔ́ dambɛ́gáalú naá kolónafilúsu - Monóógío - Godómbanɛna gá kolónafilúsu - Gobébeŋebeŋe go kolónafilúsu - O bɔ́gɔ́lɔ nɛɛ́nɛ go amɔ́ haagamɔ́ ogɔnɔ́ ? - Gofalona gá bɛbana bá ndɔlɛ ,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2  p.3 p.4 p.5 p.6 p.8 p.9,p.2 p.3 p.4 p.5 p.6 p.7 p.8
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Kolónafilúsu  Ogɔnɔ́ yɔ́ɔyɔ kolónafilúsu, bá gɔnɔ dɔ́ŋɔnɔ bá amɔ́ COVID-19 (KOFÍD-19), yó lɛ́ gɛpáa gá ogɔnɔ́. Yó lɛ́ bológáalú busío busío bá yɔ́ naá gɛantá gá gɛdɔŋɔ bá amɔ́ Chine, bó mba lɛ́ ofɛ́ yá mbuge yó ná medúgu 31, nnyómá ya 2019.  Monóógío má yɔ́ má fóanɛna na máama má gɛnɔ́nɔ́. Mɔtɔ a gúenene na yɔ́ yó amɔ́ yó áyɛnamɔ́ na bogaaga.  Ogɔnɔ́ yá ndiemi yó báa go saa naá gɛcɛcá gá bɛdɔŋɔ naá cí iŋkimée. Bá gá lɛ́ dɛ íyímé anáa yó ɛ́damɔ́ go úlene.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
Elderly person,Bɛsómba bá batɔ,Personne âgée
Person with a heart condition or disease,Mɔtɔ ba go nóma ogɔ́nɔ́ yá odɛ́má ɛ́na gɛkɔɔ́kɔnɛ́,Personne cardiaque ou souffrant de maladie
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Batɔ báaba bá lɔ́mɔ́ dambɛ́gáalú naá kolónafilúsu  Batɔ bá ogɛlɛ uŋkimée bá lɛ́ ba go nóma gɛpáa gá ogɔnɔ́ gɛ́ɛgɛ. Dómbadómbáa bɛsómba bá batɔ na bɛcóa bá bɛgɔnɔ́gɔnɔ bá ɛgɔnɔ aŋa (ogɔnɔ́ yá gihélume, ogɔnɔ́ yá sókasóka naá manɔ́ŋɔ́, ɛgɔnɔ́ ya bɛsómba odɛ́máa) bɔ́ɔ kanɛ́ ogɔnɔ́ yɔ́ɔyɔ yó lɔ́mɔ́ giyigilidie naá nnyɔ́dɔ sábɔ́.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
Fever Fatigue,-Nnyɔ́dɔ ya gobólɛgana -Gɛdɔmbɔ,- Fièvre - Fatigue
