,lgr,eng
0,Lukaotem COVID-19,Avoid COVID-19 (Africa) Poster
1,,
5,,Illustrations:  Ari and Elaine Vitikainen Information was taken from WHO websites such as https://www.who.int/emer gencies/diseases/novel-coronavir us-2019/advice-for-public Version 27.3.2020 Literacy for Women in Africa
8,,"Adapted by Paul Frank from original, Copyright © 2020, Illustrations by Elaine Vitikainen https://ev-visuals.com/"
11,,How to Create Posters with this Template
12,,"This template is for creating posters. You add pages that contain only a picture. Then you add text boxes to the page by right-clicking on the image and choosing ""Add Text Box to Image"":"
15,,"Type words into the box. If the box is not big enough, use the mouse to change the size of the box. You can also move the box around the page with the mouse."
19,Wasim han blong yu plande taem long evri de. Usim plade sop an wata.,"Wash your hands regularly with soap and water, or clean them with alcohol-based hand rub."
22,No tasim ae or nos or maos blong yu. Disfala siki hem laekim tumas ples long bodi wea hemi tuwet.,"Avoid touching eyes, nose and mouth."
24,Lukaotem COVID-19,Avoid Covid-19
27,Livim tufala mita melwan yu an nara man. No holem han blong nara man tu.,Maintain 2 meters distance between yourself and others.
28,"Sapos yu go long ples wea plande pipol i stap olsem maket, kavem nos an maos blong yu wetem 'mask'.",Wear a mask in public.
31,Folom gud olketa toktok blong dokta an Ministri blong Helti.,Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.
35,"Sapos yu kof, kavem nos an maos blong yu usim elbou—no usim han seleva.",Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose of the used tissue immediately.
39,"Sapos yu siki, stap long haos nomoa. Bat sapos yu fiva an kof, an yu no save brid, yu no stap nating—yu go stret long klinik, mekem olketa save helpim yu!","Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early."
42,"Lukaotem COVID-19    Lukaotem COVID-19               Wasim han blong yu plande taem long evri de. Usim plade sop an wata.   No tasim ae or nos or maos blong yu. Disfala siki hem laekim tumas ples long bodi wea hemi tuwet.  Lukaotem COVID-19   Livim tufala mita melwan yu an nara man. No holem han blong nara man tu. Sapos yu go long ples wea plande pipol i stap olsem maket, kavem nos an maos blong yu wetem 'mask'.   Folom gud olketa toktok blong dokta an Ministri blong Helti.    Sapos yu kof, kavem nos an maos blong yu usim elbou—no usim han seleva.    Sapos yu siki, stap long haos nomoa. Bat sapos yu fiva an kof, an yu no save brid, yu no stap nating—yu go stret long klinik, mekem olketa save helpim yu!  ","Avoid COVID-19 (Africa) Poster    Avoid COVID-19 (Africa) Poster Illustrations:  Ari and Elaine Vitikainen Information was taken from WHO websites such as https://www.who.int/emer gencies/diseases/novel-coronavir us-2019/advice-for-public Version 27.3.2020 Literacy for Women in Africa   Adapted by Paul Frank from original, Copyright © 2020, Illustrations by Elaine Vitikainen https://ev-visuals.com/   How to Create Posters with this Template This template is for creating posters. You add pages that contain only a picture. Then you add text boxes to the page by right-clicking on the image and choosing ""Add Text Box to Image"":   Type words into the box. If the box is not big enough, use the mouse to change the size of the box. You can also move the box around the page with the mouse.    Wash your hands regularly with soap and water, or clean them with alcohol-based hand rub.   Avoid touching eyes, nose and mouth.  Avoid Covid-19   Maintain 2 meters distance between yourself and others. Wear a mask in public.   Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.    Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose of the used tissue immediately.    Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.  "
