,fra,nwe,eng
0,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,BƏNU MI GO BƆ́ŊƆ́ LÉ ZÁ NDƆʼ NDÁTÉ CORONA-VIRUS  CONVID-19,What you need to know about the CORONAVIRUS or COVID-19
1,,,
2,,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
5,,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
8,,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon"
10,,,
11,                                                  SOMMAIRE,               ATU SOŊƏ,                    SUMMARY
12,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles,- Corona-virus (Convid-19) - Byɔ bi ébə ngɛ́ʼ mbɔ́ŋ           - Bənu mî échɨ ányɛ́ go le go be bɔ́ŋ mɛ̂ legwɔ                             - Bə-nza mî Corona-virus a bə lɔk nkwɔ ányɛ́ nwɔ     - Bə-nza á lé lɔk mbyɛ́p nyɛ́t      - Nwɔ gi a bɔ́ŋ a bə gâlɛ?    - Akiʼta ngǎ asoŋə                           ,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
16,p.2 p.3 p.4 p.5 p.6 p.7 p.8,lepap bya (2) lepap tat (3) lepap lekwɔ (4)  lepap ntɛ (5)  lepap nturi (6) lepap sâmbya (8) lepap lefɔ̌ (9) ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
17,"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.","CORONA-VIRUS (COVID-19)  Corona-virus gi bə́ za ntɔ́ŋ le Convid-19, á sé mbə́ légwɔ sɔ́. A le jí a China ányɛ́ eléʼe begəm-ntat mə̂ nchap-mɔʼfí ányɛ́ bə fwɔtʉ́ nchap-byá ányɛ́ nguʼ begəm-byá mə̂ nchap-lebrəʼɔ. Búʼ bo akwiʼi-atyɔ́ ésé mbə́ ébúŋ bí échɨ́ le go bə́ bɔ́ŋ mɛ̂ legwɔ. Agwɔ júnɛ́ a tyɔ́ ányɛ́ go leghâ, á zɔ́ go.  Ásaŋ mə̂ achɛʼɛka elɛ́ʼ. Bə kɛ̂ ntúŋɔ legwɔ júnɛ́ zá.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
20,Personne âgée,Nwɔ-ntyɔ (elderly person),Elderly person
22,Personne cardiaque ou souffrant de maladie,Nwɔ-gi a bɔ́ŋ legwɔ atá-nti,Person with a heart condition or disease
23,"Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.","Byɔ bi ébə gɛ́ʼ mb́ɔ́ŋ mɛ̂ legwɔ  Nwɔ-nchɛm a bə bɔ́ŋ mɛ̂ legwɔ. Byɔ bi lɛn mə̂  bó ma byɔ bi ebɔŋ emɔʼ egwɔ bɛ́ʼ (agwɔ fufuʼ-ntí, agwɔ̌ ngwáŋ bo shúga, agwɔ̌ atá-ntí, agwɔ̌ ali-nkɔʼɔ), ése mbə́ nkó gi legwɔ  gwɔ á bə tyɔ́ ányɛ́ bó.","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
26,- Fièvre - Fatigue,-Chú -Lekɛ́,Fever Fatigue
28,- Toux sèche - Douleurs musculaires,-Mbúʼakwíʼi -Nyɛt-njâŋ,Dry cough Muscle aches and pains
