,cak,kjb,spa,eng
0,Richin man niqak'än ta ri COVID-19,Kotaynejeq kob'a b'ay coronavirus,Cómo evitar el COVID-19,Avoid Covid-19
1,,,,
2,,Yajawil Kuyoj Konob' Xe'q'aq' Yajawil Kuyoj yin Kab'ti'ej,,
5,,,"Ilustraciones:  Ari and Elaine Vitikainen   La información se tomó de los sitios web﻿de la Organización Mundial de la Salud (OMS), como:﻿https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Versión 27.3.2020",
6,,,Literacy for Women in Africa,
7,,,"Coordinación: Emilio Ajquejay, Justo Magzul y Sophia Maldonado. Contextualización: Felipe Mateo Nicolás.                                           Edición: Sonia Raymundo González.",
9,,978-9929-794-28-3,978-9929-794-28-3,
10,"Mani nachop ri awäch, ri atza'n chuqa ri achi'.","Junjun el chi komitx' junoq tzet yetal, yowalil chi kotx'aj koq'ab' yetoq a'ej k'al xapon.",,
11,"Mani nachop ri awäch, ri atza'n chuqa ri achi'.","Man komonoq chi komitx' kosat, kotxam k'al koti'.",,
12,K'o chi natz'apej ri achi chuqa' ri atz'an rik'in jun wuj su't toq yatat'ixom chuqa' taq yatojb'er. K'a ri k'o chi chanin nak'äq ri su't wuj.,Chi komaqchej el koti' k'al kotxam yet chon at'ixhli ma yet chi tit sk'ilajil konuq'. Chi koq'an swasub'al koq'ab' ma junoq txanb'alej.,,
13,Taya' ka'i' metro a kojol kik'in ri winaqi'.,Najat chi jut koxol yetoq heb' jet animahil.,,
14,"Wi k'o k'atän chawij, k'o ojob' chawe' chuqa' wi man yatikir ta najq'aj awuxla', chanin takanuj jun aq'omanel.","Ta ay q'aq' jin, ay sq'aqachil konuq' k'ax ijan chi paxay kokaq'eq', ayman chon toj b'ay antewom.",,
15,Kan k'o chi nawak'axaj ri rutzijol pa ruwi' ri COVID-19. Kan tanimaj kitzij ri nkib'ij ri aq'omanela' pa ruwi' re yab'il re'.,Kosayeq ek' ab'ix yib'an  COVID-19. Jiqejeq tzet chi yal heb' koyajawil.,,
16,Tojtob'enik,Q'anleb'al,,
17,¿Achike ruk'amon nab'än richin man nak'än ta re coronavirus?,¿Maktxel hoq kosay yet chon mitx'chaj yuj coronavirus?,,
18,jantape nab'än moloj,Kuywajwom,,
19,jantape nach'äj aq'a',Antewom,,
20,jantape nab'än etz'anen,Ek'jab'wom,,
21,,,,
25,¿Achike ruk'amon nab'än kik'in ri winaqi'?,¿Tzet hoq jut kob'a yet ay sq'aqachil konuq?,,
26,naya' a kojol k'ik'in,Hoq komaqchej el koti',,
27,yatetz'an kik'in,Hoq komaqchej el kosat,,
28,namol awi' kik'in,Hoq komaqchej el kotxikin,,
34,"Richin man niqak'än ta ri COVID-19    Richin man niqak'än ta ri COVID-19      Mani nachop ri awäch, ri atza'n chuqa ri achi'. Mani nachop ri awäch, ri atza'n chuqa ri achi'. K'o chi natz'apej ri achi chuqa' ri atz'an rik'in jun wuj su't toq yatat'ixom chuqa' taq yatojb'er. K'a ri k'o chi chanin nak'äq ri su't wuj. Taya' ka'i' metro a kojol kik'in ri winaqi'. Wi k'o k'atän chawij, k'o ojob' chawe' chuqa' wi man yatikir ta najq'aj awuxla', chanin takanuj jun aq'omanel. Kan k'o chi nawak'axaj ri rutzijol pa ruwi' ri COVID-19. Kan tanimaj kitzij ri nkib'ij ri aq'omanela' pa ruwi' re yab'il re'. Tojtob'enik ¿Achike ruk'amon nab'än richin man nak'än ta re coronavirus? jantape nab'än moloj jantape nach'äj aq'a' jantape nab'än etz'anen    Tojtob'enik ¿Achike ruk'amon nab'än kik'in ri winaqi'? naya' a kojol k'ik'in yatetz'an kik'in namol awi' kik'in     ","Kotaynejeq kob'a b'ay coronavirus  Yajawil Kuyoj Konob' Xe'q'aq' Yajawil Kuyoj yin Kab'ti'ej  Kotaynejeq kob'a b'ay coronavirus     978-9929-794-28-3 Junjun el chi komitx' junoq tzet yetal, yowalil chi kotx'aj koq'ab' yetoq a'ej k'al xapon. Man komonoq chi komitx' kosat, kotxam k'al koti'. Chi komaqchej el koti' k'al kotxam yet chon at'ixhli ma yet chi tit sk'ilajil konuq'. Chi koq'an swasub'al koq'ab' ma junoq txanb'alej. Najat chi jut koxol yetoq heb' jet animahil. Ta ay q'aq' jin, ay sq'aqachil konuq' k'ax ijan chi paxay kokaq'eq', ayman chon toj b'ay antewom. Kosayeq ek' ab'ix yib'an  COVID-19. Jiqejeq tzet chi yal heb' koyajawil. Q'anleb'al ¿Maktxel hoq kosay yet chon mitx'chaj yuj coronavirus? Kuywajwom Antewom Ek'jab'wom    Q'anleb'al ¿Tzet hoq jut kob'a yet ay sq'aqachil konuq? Hoq komaqchej el koti' Hoq komaqchej el kosat Hoq komaqchej el kotxikin     ","Cómo evitar el COVID-19    Cómo evitar el COVID-19 Ilustraciones:  Ari and Elaine Vitikainen   La información se tomó de los sitios web﻿de la Organización Mundial de la Salud (OMS), como:﻿https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Versión 27.3.2020 Literacy for Women in Africa Coordinación: Emilio Ajquejay, Justo Magzul y Sophia Maldonado. Contextualización: Felipe Mateo Nicolás.                                           Edición: Sonia Raymundo González.  978-9929-794-28-3                        ",Avoid Covid-19    Avoid Covid-19                             
