,mya,ahk,mhx,eng
0,Covid-19ကို ရှောင်ရှားခြင်း , Covid-19ကို ရှောင်ရှားခြင်း,"Covid-19 re Lha"" Jao"" Khyo ",
1,,,,
5,,,,Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020
6,,,,Literacy for Women in Africa
7,,,,"Translator Zau Tawng, Illustrator Ai Yawn Kap"
11,,,,"Lo, re sabpya: we' khonhae"" re: cid' wa,. (Mngl) Yhid bobo yang: kad' to"" ra"" lo, cid' qang: we' lo, re nyang"" za: boe; cid' wa,."
12,,မျက်စိ၊ နှာခေါင်းနှင့် ပါးစပ်ကို မထိပါနှင့်။,"Lo, we' Nhad'- Nho- Myo, jid'- khyo mazao"" sho' lha"" jao"" wa,.","Avoid touching eyes, nose and mouth. "
13,,နှာချေ၊ ချောင်းဆိုးတဲ့အခါ သင့်နှာခေါင်းနဲ့ ပါးစပ်ကို တံတောင်ဆစ် (သို့) တစ်ရှူးနဲ့အုပ်ထားပါ။ ပြီးလျှင် ယင်းတစ်ရှူးကို ချက်ချင်းအမှိုက်ပုံးထဲ ထည့်ပါ။,"Khyaung: zhug' zhug'- ag' ci"" ci"" au: ni"" nho we' nhad' re lo, pau"" (Mngl) tidshu"" we' nghoe' wa,. Bin mung: tidshu"" re dalhang: dae basad gyan mae ke' wa,.",Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.   
14,,လူတစ်ယောက်နဲ့တစ်ယောက် အနည်းဆုံး ၂မီတာအကွာတွင် နေပါ။,"Dayaug we' dayaug 4 daung"" (6 pe:) kyo mung: na wa,.",Maintain 2 meters distance between yourself and others.  
15,,နေမကောင်းဖြစ်လျှင် အိမ်တွင်နေပါ။ ချောင်းဆိုးခြင်း၊ အသက်ရှူရခက်ခြင်းနှင့် အဖျားရှိနေပါက နီးစပ်ရာ ဆေးရုံ ဆေးခန်းသို့ အမြန်ဆုံး သွားရောက် ပြသပါ။ ,"Byu gaung mabyan:/ maqao"" lao"" yham mae za: na wa,. Gaung laung- khyaung: zhug' zhug'- so' she qug: lao"" jhao"" ra"" Mocid' Yung""- Mocid' Qe, khyo phyad ye: wa,.","Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.  "
16,,COVID-19 နှင့်ပတ်သက်၍ နောက်ဆုံးရသတင်း အချက်အလက်များကို ရယူပါ။ ကျန်းမာရေးဝန်ကြီးဌာနမှ အခါအားလျော်စွာထုတ်ပြန်ထားသည့် အကြံပြုချက်များကို ကောင်းစွာ လိုက်နာပါ။,"Covid-19 we' tin"" ra"" lo"" thao"" lau dao: jham re tae"" gyo: wa,. Mang: Din"" Qao"" Zin"" Qe, mae"" kyo"" lo: ra"" pha,jhi"" byid: dao: jham re nyang"" za: khae: yu cao"" pyang"" wa,.",Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.  
19,Covid-19ကို ရှောင်ရှားခြင်း     Covid-19ကို ရှောင်ရှားခြင်း               , Covid-19ကို ရှောင်ရှားခြင်း     Covid-19ကို ရှောင်ရှားခြင်း        မျက်စိ၊ နှာခေါင်းနှင့် ပါးစပ်ကို မထိပါနှင့်။ နှာချေ၊ ချောင်းဆိုးတဲ့အခါ သင့်နှာခေါင်းနဲ့ ပါးစပ်ကို တံတောင်ဆစ် (သို့) တစ်ရှူးနဲ့အုပ်ထားပါ။ ပြီးလျှင် ယင်းတစ်ရှူးကို ချက်ချင်းအမှိုက်ပုံးထဲ ထည့်ပါ။ လူတစ်ယောက်နဲ့တစ်ယောက် အနည်းဆုံး ၂မီတာအကွာတွင် နေပါ။ နေမကောင်းဖြစ်လျှင် အိမ်တွင်နေပါ။ ချောင်းဆိုးခြင်း၊ အသက်ရှူရခက်ခြင်းနှင့် အဖျားရှိနေပါက နီးစပ်ရာ ဆေးရုံ ဆေးခန်းသို့ အမြန်ဆုံး သွားရောက် ပြသပါ။  COVID-19 နှင့်ပတ်သက်၍ နောက်ဆုံးရသတင်း အချက်အလက်များကို ရယူပါ။ ကျန်းမာရေးဝန်ကြီးဌာနမှ အခါအားလျော်စွာထုတ်ပြန်ထားသည့် အကြံပြုချက်များကို ကောင်းစွာ လိုက်နာပါ။  ,"Covid-19 re Lha"" Jao"" Khyo     Covid-19 re Lha"" Jao"" Khyo         Lo, we' Nhad'- Nho- Myo, jid'- khyo mazao"" sho' lha"" jao"" wa,. Khyaung: zhug' zhug'- ag' ci"" ci"" au: ni"" nho we' nhad' re lo, pau"" (Mngl) tidshu"" we' nghoe' wa,. Bin mung: tidshu"" re dalhang: dae basad gyan mae ke' wa,. Dayaug we' dayaug 4 daung"" (6 pe:) kyo mung: na wa,. Byu gaung mabyan:/ maqao"" lao"" yham mae za: na wa,. Gaung laung- khyaung: zhug' zhug'- so' she qug: lao"" jhao"" ra"" Mocid' Yung""- Mocid' Qe, khyo phyad ye: wa,. Covid-19 we' tin"" ra"" lo"" thao"" lau dao: jham re tae"" gyo: wa,. Mang: Din"" Qao"" Zin"" Qe, mae"" kyo"" lo: ra"" pha,jhi"" byid: dao: jham re nyang"" za: khae: yu cao"" pyang"" wa,.  ","     Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020 Literacy for Women in Africa Translator Zau Tawng, Illustrator Ai Yawn Kap    Lo, re sabpya: we' khonhae"" re: cid' wa,. (Mngl) Yhid bobo yang: kad' to"" ra"" lo, cid' qang: we' lo, re nyang"" za: boe; cid' wa,. Avoid touching eyes, nose and mouth.  Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.    Maintain 2 meters distance between yourself and others.   Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.   Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.    "
