fra,mgo,eng
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Aŋa ya inug ne àghò bèri ni kyeri imbə̀ʼ  Kòronavayirɔ̀s kə̀ Kovid-19,What you need to know about the CORONAVIRUS or COVID-19
,,
,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon"
,,
                                                  SOMMAIRE,                          ITOG INUG ,                    SUMMARY
- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles,1) Kòronavayirɔ̀s kə aghə? 2) Bəd ne tì mbi bèrì aghɔn azọ kə mə̀we? 3) Ineni Kòronavayirɔ̀s 4) Icheg ne aghɔn kòronavayirɔ̀s ze dènè 5) Icheg ni kyèʼì ìwe nyɔd 6) Aghi ni ghì anyumə̀ ne àghò che bèrì Kòronavayirɔ̀s  ,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
p.2 p.3 p.4 p.5 p.6 p.7 p.8,p.2 p.3 p.4 p.5 p.6  p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.",Kòronavayirɔ̀s kə aghə?  Kòronavayirɔ̀s ya aghɔn mɔ̀ʼɔ ne mbe bə̀ kàrà ane KOVID-19. À ya vayirɔ̀s feg kə̀ aghɔn feg mɔ̀ʼɔ ne ko a Chayinà igun aneg 31 inga Iməg Krismed inga fituʼ 2019. Ze ya ghìyə̀ wə̀d icheg ìjwed. Ze ya mə̀ kà igun wə̀d wì ku. À ya aghɔn ne fə sàkà nyi inga iben ndan ndàn igun isəg. Chəyi mbi kiri kyeri asiŋi ne aghɔn azo̰ nɔʼi angu  kə̀ aghi ne ko aghɔn azo̰. Chəyi mbi bə kiri kyeri ifuʼ məd.,"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
Personne âgée,Bəd ne tì mbi zàmbà bèrì aghɔn azo̰ ya inun bəd,Elderly person
Personne cardiaque ou souffrant de maladie,Bəd ne beri aghɔn inga fìŋ kə̀ bəd ne ghɔ̰ fìŋ,Person with a heart condition or disease
"Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.","Bəd ne tì mbi bèrì aghɔn azọ kə mə̀we?  Aku bəd ajìm ze tì ze bèrì aghɔn feg azo̰ kə̀ vayirɔ̀s feg gho̰. Si ya gha bəd ne ze ya taŋ kà igun inɔb ya inun bəd tì bəd ne kə bi bèrì aghɔn icheg akwe ze ne ghìyə̀ wə̀d se kə̀b fum, kə̀ Aghɔn Sugà, kə̀ aghɔn fìŋ, kə̀ anəm ne kɔʼi chè.","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
