,spa,tnt,eng
0,Sobre el Coronavirus,Andumoro' i Ampoi Corona Anio',About Coronavirus
1,,,
2,,Tontemboan Matana'i,
3,,,
4,,Wayaké’ in esa si musti kailekan iow andumoro’ in tumambisa en ampoi Corona anio’,
5,,LUMAWÉ,
6,,Wa’ba,
7,,Ngirung,
8,,Weren,
9,,Muntep an untep,
10,,Tou ra’ica sumakit,
11,,Tou sumakit,
12,,Si ampoi anio’ lumawé sa rumesic in dura anio’,
13,,Teiran em pawuun. Icamu  maaman oka asi resicen in dura eng kerapi in tumeir im paawuun wona 2m.,
14,,1,
15,,"1,5m - 2m",
16,,Haachii!!,
17,,"Anaé, an tutuw sérén iow si tou sumekol/mawaan/sumakit, icamu ro’na:",
18,,WÉANIO’ MASKER SÉRA.﻿Anaé séra ro’na mawaan/sumekol an untep I maskerna en tumeir sé tou an li’cirna.,
19,,2,
20,,Makapulu’sama’,
21,,KUMA’PA,
22,,Wona si tou anio’ ra’ica sumakit.﻿Sia asalo tumeir in owakna.,
23,,"Sé tou sé kinalawéano, wona’ ra’ica ituruna en tuus-tuus sa sia kinalawéano, taan ro’nake’ ilawéna en sakit.",
24,,"Anaé, lébéh loor sa tumayang ang kakelian tou, ampa’paan ra’ica kailekan iow si sei waya sé tinena in sakit.",
25,,Papakén imakan,
26,,Sé tou ra’ica sumakit,
27,,Patimboian ﻿ang kereta,
28,,Pakutian in lift,
29,,Tisue,
30,,Paelepan,
31,,"HP, Laptop",
32,,Wo sé ang kesot i masker,
33,,Titimboian in daran,
34,,Mouse in Laptop,
35,,Papatic,
36,,Kukusi im papalen,
37,,Kama’ éra,
38,,"Mandé taniitu, sumangkum en dura é tou sumakit ro’na luméngkét ang…",
39,,Icamu im baya ro’na kasakitan,
40,,"Kuma’pa in amo tou walina an diitmu,",
41,,Kumisu im beren,
42,,"Sa ra’ica petutumu misu sé léléngkétan in ampoi Corona, wo isuemu an amomu in esa,",
43,,"En sumingkir in ampoi anio’ si lumoo-loor musti ulurenta eng kerapi maké' in sabong, si pakulo’, kuma’pa alcohol.",
44,,Eng ampoi anio’ ro’na tumang akar in 24 jam (rua ngapulu’ epat jam) an esa barang.,
45,,Sabong,
46,,tumambisa en anio’ iénto eng kerapi.,
47,,"Ampa’paan in ituo, lébéh loor kiitenta",
48,,Wuasén in sabong akar ambia’i,
50,,Siku ing kama’,
51,,Tioo lisun in amomu kumapa en amo ﻿e tou walina.,
52,,Tanu ing kumantar ing kakantaren “Happy Birthday” makarua,
53,,Sé an untep in sulu,
54,,Eng kauréna 20 detik,
55,,Am paawuun im buana ing kama,
56,,Wuaasen in licur ing kama,
57,,Tambisa muas ing kama akar maweresi?,
58,,"Sa kaisuan, tioo maindé. Kumala'us muas ing kama kerapi in sabong",
59,,Tioo misu si ang kesot i masker,
60,,Resic in dura,
61,,Bakteri ro’na makeli an untep i masker sa pakén ima uré -uréan.,
62,,Tia’ sé masker sa imakotoro. Ra’ica toro imaké i masker lumébé' asi sangando,
63,,Pakén en lépér in séndéén,
64,,Toyaang,
65,,Amang,
66,,Inang,
67,,Maké' in anduk esa wo iesa,
68,,"Tioo pakén mewali-wali kakanen, sé pengapakén ing kuman, gelas, wo in anduk",
69,,Ra’ica kaisuan iow en amo maké’ in siku ing kama’mu in esa,
70,,"Sa woo ro’na, sa muka’ kuma’pa menet im pepenet maké in siku in kama’ kuma’pa paluka",
71,,Walé,
72,,Kekawus iow kumesot am walé,
73,,En da’ipe cuman,
74,,Tatapke’ wuasan iow eng kama’ eng kerapi in sabong,
75,,Eng kaakaran,
77,,Tei-teiran wosama’ ra’ica sakitan,
78,,Bacan sé ro’na tumawang tanu sé  aipatico an dangka,
79,,"""This animation shows how far you sneeze can actually travel."" by Chia-Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
80,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy Report. (Jan 25, 2020)",
81,,"""How to Avoid the Coronavirus? Wash Your Hands"", by Elizabeth Rosenthal, in The New York Times, Opinion. (Jan28,2020)",
82,,Lemboi ing kumataré asi abar andumoro’ ing kasamaan:,
83,,"Keterangan tambahan:  lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini.  https://www.nytimes.com/2020/01/28/opinion /coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safetychina/ https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Referensi:  Komik dalam bentuk PDF dapat diunduh di sini: https://gumroad.com /weimankowart Informasi Tambahan  Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Pedoman Menyebarkan Komik Saat membagikan komik ini, ingat 3 hal berikut: 1) Dilarang mengedit gambar komik yang akan dibagikan. 2) Komik ini tidak dapat diperjualbelikan. 3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",
85,,,Diterjemahkan oleh Tim Tontemboan Matana'i Pusat Penerjemahan Alkitab GMIM
88,,,"Created by Weiman Kow, instagram: weimankow"
90,,,"Hak cipta © 2020, Weiman Kow Dilarang mengubah teks materi ini, tetapi Anda dapat menerjemahkan, atau mengadaptasinya ke dalam bentuk lain, dan membagikannya untuk tujuan non-komersial. Cantumkan hak cipta dan kredit penulis dan pelukis komik Weiman Kou. Versi bahasa Inggris dibuat oleh Paul Frank Versi asli dibuat oleh Weiman Kow, instagram: weimankow Silakan kunjungi atau hubungi kami di: Facebook: www.facebook.com/PusatPenerjemahanAlkitabGMIM/ IG: @PPA_GMIM Youtube: www.youtube.com/pusatpenerjemahanalkitab Email: ppa.tomohon@gmail.com"
