fra,nge,eng
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Anu Za MbáꞋa O Tsinɨ Nɨ Njɛ Mbɨ́Ꞌɨ Nɨghɔ Nɨ Korona Kə KOVID-19,What you need to know about the CORONAVIRUS or COVID-19
,,
,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon"
,,
                                                  SOMMAIRE,   ƗTÚ ƗNU A ƗMU AŊWÁꞋANƗ ZƗŊƏ                ƗTÚ ƗNU TSUMƏ,                    SUMMARY
- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles,- Nɨghɔ Nɨ korona - Ɨbɔrɨkɨ ɨben - Ɨlísə - Mɨdomɨnji mɨ mbyɛ́ʼɛ nɨghɔ nɨ korona - Mɨdomɨnji mɨ nkyɛ́m atúəmbəm zo - Be O byɛ́ʼɛ nɨghɔ nénə O ghɨ lə̂?                                              ,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
p.2 p.3 p.4 p.5 p.6 p.7 p.8,p.2 p.3 p.4 p.5 p.6 p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.","Nɨghɔ nɨ korona  Nɨghɔ nɨ korona mbáʼa bɨ kɨnə ntɔŋə ngə Kovid-19 lá, a nɨ nɨghɔ nə afíə. Ntsámbyi nkfu a ndzúʼə mbɨ́ʼɨ nɨghɔ nénə á bé lá a ɨmu sáŋ Abɨŋafɔ 31st, 2019 aláʼa China ghé. Ɨlisɨ nɨghɔ nénə tsi tso tsɨ sáŋə́, nɨ tsi kɨ zhwîtɨ ɨben bá nɨ tənɨ a nye bó ghé. Nɨ lámnɨ ɨláʼa tsɨ gháʼanɨ a ɨmu mbyi zɨŋə. Nkásɨ adɨ́ʼí zá mbáʼa a jwînɨ nɨghɔ nénə bɨ bvurɨ tɨ zhɛ́.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
Personne âgée, Tənkáŋ ŋwon,Elderly person
Personne cardiaque ou souffrant de maladie,Ngâŋ nɨghɔ nɨ ntəmə,Person with a heart condition or disease
"Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.","Bɨ mbɔrɨkɨnɨ  Nɨghɔ nə fí nenə tsi kon a nye nkaŋ ntsumə. Ɨben bá nɨghɔ nɨŋ tsi yáŋnɨ chwá wa Ɨ kɨ tən a nye bó a nɨ bɨtənkáŋ bɨ ɨben abɔ́ʼɔnɨ ɨben ba bɨ kwɛ̂nə ntsi nɨ mɨghɔ tsǒ (azhwîtɨ, nɨghɔ nɨ sə́ŋsə́ŋ, nɨghɔ nɨ ntəm bo nɨghɔ nɨ alɛmə).","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
- Fièvre - Fatigue,-Fíbâ -Nɨkə̂,Fever Fatigue
- Toux sèche - Douleurs musculaires,-Akwəgə zə zobɨnə -Ɨ ndzáŋnɨ́nɨ́ ɨnye,Dry cough Muscle aches and pains
