,cak,zaw,kjb,spa
0,Ka'i' oxi' tzij pa ruwi' ri CORONAVIRUS,Yälguijch guichgaroore nani laa “coronavirus”,Ab'ix yib'an corona virus,Sobre Coronavirus
1,,,,
2,,,Yajawil Kuyoj Konob' Xe'q'aq' Yajawil Kuyoj yin Kab'ti'ej,
3,,,¿Tzet yaq'on jun coronavirus ti'?,
4,,,Chi junb'i ek' sxol konob'.,
5,,,¿Tzet chi yun sjunb'i ek' coronavirus?,
6,,,yul stxam k'al yul sti',
7,,,sb'aq'sat,
8,,,kax chi oktoq yul,
9,,,Jun anima watx' sk'ul,
10,,,Jun anima      ya'ay,
11,,,Chi elteq yal sti',
12,,,¿Tzet chi jut kotaynen kob'a b'ay coronavirus?,
13,,,Axka tu' k'am chi ok jun ojob' tu' jin.,
14,,,Najat chon ok lekanoq,
15,,,Kab' ja' chi jut  koxol ,
16,,, ¡At'ixh! ta xhi junoq anima ya'ay,
17,,,"Chi jaq' junoq smaqil sti' jun anima ya'ay tu'. Axka tu', kaxk'almi chi at'ixhli k'am chi ok jun ilya' tu' jin.",
18,,,Kab' ja' chi jut koxol,
19,,,Yuj wal tyoxh,
20,,,"ma,",
21,,,Xiwil anima k'am chi mitx'chaj yuj jun ilya' ti'.,
22,,,Yuj tu' xan watx' chi koq'an smaqil koti'.,
23,,,"K'am chi stx'ox sb'a jun ojob' tu', asan xin chi b'onwaj k'al ta' heb'.",
24,,,"K'apaxoq, chi uj kocha'on coronavirus yin:",
25,,,smaqil na,
26,,,tx'anb'alej,
27,,,uk'b'al,
28,,,ch'en awteb'al,
29,,,smaqil ti'ej,
30,,,q'och,
31,,,mitx'q'ab'ej,
32,,,tz'ib'b'al,
33,,,stz'utz'al na,
34,,,q'ab'ej,
35,,,Ta k'am chi kotaynej kob'a.,
36,,,Hoqon mitx'chaj komasanil yuj jun ojob' ti'.,
37,,,Ta komon k'al chi komitx' kosat.,
38,,,Ta komon k'al chi komitx' koti' k'al kotxam.,
39,,,Kotx'ajeq koq'ab' yetoq a'ej,
40,,,Asannej yetoq a'ej k'al xapon chi kamel jun ilya' chi yiq coronavirus ti'.,
41,,,Kotx'ajeq koq'ab' yetoq xapon,
42,,,Yet k'am chon mitx'chaj yuj coronavirus.,
43,,,Watx' chi jiqej oyeb' nab'alej ti'.,
44,,,Chi kotx'aj koq'ab'.,
45,,,Kayti' ja',
46,,,Yetoq a'ej k'al xapon,
47,,,Kayti' k'amaqxa,
48,,,Kotx'ajeq koq'ab' yetoq a'ej k'al xapon.,
49,,,Watx' ta lanan kob'itni.,
50,,,Chi kotx'aj yalan jisq'aq.,
51,,,Junoq miman txolan.,
52,,,Chi kotx'aj snan yiximal koq'ab'.,
53,,,Chi kotx'aj yintaq koq'ab'.,
54,,,Stxolil koq'anon smaqil koti',
55,,,Amank'wan chi kotx'aj koq'ab' yetoq a'ej k'al xapon.,
56,,,Man komonoq chi komitx'ob'tanej smaqil koti' tu'.,
57,,,Ta mayal komitx' junoq tzet yetal ayok yal ti'ej yin.,
58,,,"Ta xiwil k'u chi koq'an smaqil koti', chi ch'ib' jun ilya' tu' yul.",
59,,,Man komonoq chi koq'an pichilej man jetoq,
60,,,Junjun k'al ajna yetoq spichil. ,
61,,,unin,
62,,,mamej,
63,,, txutxej,
64,,,"Man komonoq chi komitx' kosat, kotxikin k'al kotxam.",
65,,,,
66,,,Kosay skolwal antewom ta chon eq'ay aj yuj jun ilya' ti'.,
67,,,Koq'aneq smaqil koti'.  Koq'aneq xapon.,
68,,,¡Kotaynejeq kob'a!,
69,,,Q'anleb'al,
70,,,¿Jantaq chi yun koxol yetoq jet animahil yet k'am chi ok coronavirus jin?,
71,,,Kawil,
72,,,Najat,
73,,,Yalixh,
78,,,¿Tzet yetal chi aq'on kam coronavirus ti'?,
79,,,a'ej yetoq atz'am,
80,,,a'ej yetoq tan,
81,,,a'ej yetoq xapon,
86,,,,"Escrito por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0. Imágenes por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0."
87,,,,Adaptado al idioma Q'anjob'al Guatemala. Leer y Aprender de USAID Guatemala con el apoyo del Ministerio deEducación Guatemala.
88,,,,"Coordinación: Emilio Ajquejay, Justo Magzul y Sophia Maldonado. Contextualización: Felipe Mateo Nicolás.Edición: Sonia Raymundo"
89,,,,"Created by Weiman Kow, instagram: weimankow"
90,,,978-9929-794-28-3,978-9929-794-28-3
94,Ka'i' oxi' tzij pa ruwi' ri CORONAVIRUS                                                                                     Ka'i' oxi' tzij pa ruwi' ri CORONAVIRUS        ,Yälguijch guichgaroore nani laa “coronavirus”                                                                                     Yälguijch guichgaroore nani laa “coronavirus”        ,"Ab'ix yib'an corona virus  Yajawil Kuyoj Konob' Xe'q'aq' Yajawil Kuyoj yin Kab'ti'ej ¿Tzet yaq'on jun coronavirus ti'? Chi junb'i ek' sxol konob'. ¿Tzet chi yun sjunb'i ek' coronavirus? yul stxam k'al yul sti' sb'aq'sat kax chi oktoq yul Jun anima watx' sk'ul Jun anima      ya'ay Chi elteq yal sti' ¿Tzet chi jut kotaynen kob'a b'ay coronavirus? Axka tu' k'am chi ok jun ojob' tu' jin. Najat chon ok lekanoq Kab' ja' chi jut  koxol   ¡At'ixh! ta xhi junoq anima ya'ay Chi jaq' junoq smaqil sti' jun anima ya'ay tu'. Axka tu', kaxk'almi chi at'ixhli k'am chi ok jun ilya' tu' jin. Kab' ja' chi jut koxol Yuj wal tyoxh ma, Xiwil anima k'am chi mitx'chaj yuj jun ilya' ti'. Yuj tu' xan watx' chi koq'an smaqil koti'. K'am chi stx'ox sb'a jun ojob' tu', asan xin chi b'onwaj k'al ta' heb'. K'apaxoq, chi uj kocha'on coronavirus yin: smaqil na tx'anb'alej uk'b'al ch'en awteb'al smaqil ti'ej q'och mitx'q'ab'ej tz'ib'b'al stz'utz'al na q'ab'ej Ta k'am chi kotaynej kob'a. Hoqon mitx'chaj komasanil yuj jun ojob' ti'. Ta komon k'al chi komitx' kosat. Ta komon k'al chi komitx' koti' k'al kotxam. Kotx'ajeq koq'ab' yetoq a'ej Asannej yetoq a'ej k'al xapon chi kamel jun ilya' chi yiq coronavirus ti'. Kotx'ajeq koq'ab' yetoq xapon Yet k'am chon mitx'chaj yuj coronavirus. Watx' chi jiqej oyeb' nab'alej ti'. Chi kotx'aj koq'ab'. Kayti' ja' Yetoq a'ej k'al xapon Kayti' k'amaqxa Kotx'ajeq koq'ab' yetoq a'ej k'al xapon. Watx' ta lanan kob'itni. Chi kotx'aj yalan jisq'aq. Junoq miman txolan. Chi kotx'aj snan yiximal koq'ab'. Chi kotx'aj yintaq koq'ab'. Stxolil koq'anon smaqil koti' Amank'wan chi kotx'aj koq'ab' yetoq a'ej k'al xapon. Man komonoq chi komitx'ob'tanej smaqil koti' tu'. Ta mayal komitx' junoq tzet yetal ayok yal ti'ej yin. Ta xiwil k'u chi koq'an smaqil koti', chi ch'ib' jun ilya' tu' yul. Man komonoq chi koq'an pichilej man jetoq Junjun k'al ajna yetoq spichil.  unin mamej  txutxej Man komonoq chi komitx' kosat, kotxikin k'al kotxam.  Kosay skolwal antewom ta chon eq'ay aj yuj jun ilya' ti'. Koq'aneq smaqil koti'.  Koq'aneq xapon. ¡Kotaynejeq kob'a! Q'anleb'al ¿Jantaq chi yun koxol yetoq jet animahil yet k'am chi ok coronavirus jin? Kawil Najat Yalixh    Q'anleb'al ¿Tzet yetal chi aq'on kam coronavirus ti'? a'ej yetoq atz'am a'ej yetoq tan a'ej yetoq xapon    Ab'ix yib'an corona virus     978-9929-794-28-3   ","Sobre Coronavirus                                                                                     Sobre Coronavirus Escrito por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0. Imágenes por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0. Adaptado al idioma Q'anjob'al Guatemala. Leer y Aprender de USAID Guatemala con el apoyo del Ministerio deEducación Guatemala. Coordinación: Emilio Ajquejay, Justo Magzul y Sophia Maldonado. Contextualización: Felipe Mateo Nicolás.Edición: Sonia Raymundo Created by Weiman Kow, instagram: weimankow 978-9929-794-28-3   "
