source,translated,question,answer
"KÛRIGÎÎRIA MÛRIMO WA KORONA","KÛRIGÎÎRIA MÛRIMO WA KORONA ",,
"","",,
"","",,
"","",,
"","",,
"","",,
"","Tiga gûtonganga ûthiû, mûromo kana nyîûrû.",,
"","Kororera kana wathimûrîre mbarî ya ndeeni ya ngaakura yaku kana ûtûmîre karataati ga kîoro na ûgate bûra kûbatîîrue. ",,
"","Kara araaya na antû bara bangî (ta mita ciîrî ûgu).",,
"","Kara muciî weegua ûrî ûmwayie.  Weegua ûrî na rûkorora, kûbîîyanîra mwîîrî, kana kûremwa i kûbeeba bwega, îthi cibitaarî.",,
"","Kara ûkîthiingatagîîra bûra gûkwenderea mantûûni meegiî Korona na ûrûthe bûra atoongoria bakuuga.",,
"KÛRIGÎÎRIA MÛRIMO WA KORONA      KÛRIGÎÎRIA MÛRIMO WA KORONA          ","KÛRIGÎÎRIA MÛRIMO WA KORONA       KÛRIGÎÎRIA MÛRIMO WA KORONA     Tiga gûtonganga ûthiû, mûromo kana nyîûrû. Kororera kana wathimûrîre mbarî ya ndeeni ya ngaakura yaku kana ûtûmîre karataati ga kîoro na ûgate bûra kûbatîîrue.  Kara araaya na antû bara bangî (ta mita ciîrî ûgu). Kara muciî weegua ûrî ûmwayie.  Weegua ûrî na rûkorora, kûbîîyanîra mwîîrî, kana kûremwa i kûbeeba bwega, îthi cibitaarî. Kara ûkîthiingatagîîra bûra gûkwenderea mantûûni meegiî Korona na ûrûthe bûra atoongoria bakuuga.  ",,
